Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-12-20,14.0,15.0,,NOR,KAN,L 29-32,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Marquez Callaway,False,29,32
2020.0,2020-12-25,15.0,16.0,22.273,NOR,MIN,W 52-33,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,1,16,16.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,56%,0,0%,3,10%,False,Marquez Callaway,True,52,33
2020.0,2021-01-03,16.0,17.0,22.282,NOR,CAR,W 33-7,True,4,3,51,17.00,0,75.0%,12.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,73%,0,0%,0,0%,True,Marquez Callaway,True,33,7
2021.0,2021-09-12,1.0,1.0,23.169,NOR,GNB,W 38-3,True,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,False,Marquez Callaway,True,38,3
2021.0,2021-09-19,2.0,2.0,23.176,NOR,CAR,L 7-26,False,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,73%,0,0%,0,0%,True,Marquez Callaway,False,7,26
2021.0,2021-09-26,3.0,3.0,23.183,NOR,NWE,W 28-13,True,5,4,41,10.25,1,80.0%,8.20,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,61%,0,0%,0,0%,True,Marquez Callaway,True,28,13
2021.0,2021-10-03,4.0,4.0,23.19,NOR,NYG,L 21-27,True,2,2,74,37.00,0,100.0%,37.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,False,Marquez Callaway,False,21,27
2021.0,2021-10-10,5.0,5.0,23.197,NOR,WAS,W 33-22,True,8,4,85,21.25,2,50.0%,10.63,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Marquez Callaway,True,33,22
2021.0,2021-10-25,6.0,7.0,23.212,NOR,SEA,W 13-10,True,7,3,32,10.67,0,42.9%,4.57,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,92%,0,0%,5,20%,True,Marquez Callaway,True,13,10
2021.0,2021-10-31,7.0,8.0,23.218,NOR,TAM,W 36-27,True,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,78%,0,0%,0,0%,False,Marquez Callaway,True,36,27
