Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-12-06,12.0,13.0,23.047,CIN,CLE,W 37-3,True,22,98,4.45,1,1,0,0,,0,0.0%,0.00,,1,6,0,0,0,0,0,0,35,61%,0,0%,0,0%,True,Jeremy Hill,True,37,3
2015.0,2015-12-13,13.0,14.0,23.054,CIN,PIT,L 20-33,True,7,16,2.29,0,2,2,8,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,19,33%,0,0%,0,0%,False,Jeremy Hill,False,20,33
2015.0,2015-12-20,14.0,15.0,23.061,CIN,SFO,W 24-14,False,19,31,1.63,2,1,0,0,,0,0.0%,0.00,,2,12,1,1,0,0,0,0,27,42%,0,0%,0,0%,True,Jeremy Hill,True,24,14
2015.0,2015-12-28,15.0,16.0,23.069,CIN,DEN,L 17-20,True,19,63,3.32,0,2,2,-2,-1.00,0,100.0%,-1.00,,0,0,0,0,0,0,0,0,38,53%,0,0%,0,0%,True,Jeremy Hill,False,17,20
2015.0,2016-01-03,16.0,17.0,23.075,CIN,BAL,W 24-16,True,16,96,6.00,1,3,2,19,9.50,0,66.7%,6.33,,1,6,0,0,0,0,0,0,37,61%,0,0%,0,0%,False,Jeremy Hill,True,24,16
2016.0,2016-09-11,1.0,1.0,23.327,CIN,NYJ,W 23-22,True,9,31,3.44,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,29,51%,0,0%,0,0%,True,Jeremy Hill,True,23,22
2016.0,2016-09-18,2.0,2.0,23.334,CIN,PIT,L 16-24,True,11,22,2.00,0,5,3,37,12.33,0,60.0%,7.40,,0,0,0,0,0,0,0,0,29,38%,0,0%,0,0%,True,Jeremy Hill,False,16,24
2016.0,2016-09-25,3.0,3.0,23.341,CIN,DEN,L 17-29,True,17,97,5.71,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,Jeremy Hill,False,17,29
2016.0,2016-09-29,4.0,4.0,23.345,CIN,MIA,W 22-7,True,21,71,3.38,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,36,51%,0,0%,0,0%,False,Jeremy Hill,True,22,7
2016.0,2016-10-09,5.0,5.0,23.355,CIN,DAL,L 14-28,False,4,12,3.00,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,True,Jeremy Hill,False,14,28
2016.0,2016-10-16,6.0,6.0,23.362,CIN,NWE,L 17-35,False,13,38,2.92,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0,0,0,0,0,0,21,31%,0,0%,0,0%,True,Jeremy Hill,False,17,35
2016.0,2016-10-23,7.0,7.0,24.003,CIN,CLE,W 31-17,True,9,168,18.67,1,2,2,24,12.00,0,100.0%,12.00,,1,6,0,0,0,0,0,0,21,34%,0,0%,0,0%,False,Jeremy Hill,True,31,17
2016.0,2016-10-30,8.0,8.0,24.01,CIN,WAS,T 27-27,True,20,76,3.80,1,1,1,-3,-3.00,0,100.0%,-3.00,,1,6,0,0,0,0,0,0,39,44%,0,0%,0,0%,False,Jeremy Hill,False,27,27
2016.0,2016-11-14,9.0,10.0,24.025,CIN,NYG,L 20-21,True,15,46,3.07,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,27,47%,0,0%,0,0%,True,Jeremy Hill,False,20,21
2016.0,2016-11-20,10.0,11.0,24.031,CIN,BUF,L 12-16,True,16,62,3.88,0,2,2,1,0.50,0,100.0%,0.50,,0,0,0,0,0,0,0,0,29,40%,0,0%,0,0%,False,Jeremy Hill,False,12,16
