Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,22.295,MIA,ATL,False,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,False,7,19,Brian Hartline
2009,2009-09-21,2,2,22.303,MIA,IND,False,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,27,Brian Hartline
2009,2009-09-27,3,3,22.309,MIA,SDG,False,0,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,13,23,Brian Hartline
2009,2009-10-04,4,4,22.316,MIA,BUF,False,2,2,17,8.50,1,100.0%,8.50,1,-1,-1.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,10,Brian Hartline
2009,2009-10-12,5,5,22.324,MIA,NYJ,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,27,Brian Hartline
2009,2009-10-25,6,7,22.337,MIA,NOR,False,5,3,94,31.33,0,60.0%,18.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,34,46,Brian Hartline
2009,2009-11-01,7,8,22.344,MIA,NYJ,False,1,0,0,,0,0.0%,0.00,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,True,30,25,Brian Hartline
2009,2009-11-08,8,9,22.351,MIA,NWE,True,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,27,Brian Hartline
2009,2009-11-15,9,10,22.358,MIA,TAM,False,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,25,23,Brian Hartline
2009,2009-11-19,10,11,22.362,MIA,CAR,False,4,2,47,23.50,0,50.0%,11.75,0,0,,0,2,20,10.00,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,24,17,Brian Hartline
2009,2009-11-29,11,12,23.007,MIA,BUF,False,7,3,31,10.33,1,42.9%,4.43,0,0,,0,1,16,16.00,0,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,14,31,Brian Hartline
2009,2009-12-06,12,13,23.014,MIA,NWE,False,7,4,41,10.25,1,57.1%,5.86,0,0,,0,0,0,,0,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,22,21,Brian Hartline
