Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-10-08,5,5,23.075,NOR,,WAS,W 43-19,False,6,24,4.00,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,31,47%,0,0%,4,16%,False,Alvin Kamara
2018,2018-10-21,6,7,23.088,NOR,@,BAL,W 24-23,True,17,64,3.76,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,1,6,0,0,0,0,0,0,39,55%,0,0%,4,17%,True,Alvin Kamara
2018,2018-10-28,7,8,23.095,NOR,@,MIN,W 30-20,True,13,45,3.46,1,8,7,31,4.43,1,87.5%,3.88,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,,2,12,0,0,0,0,0,0,38,72%,0,0%,3,12%,True,Alvin Kamara
2018,2018-11-04,8,9,23.102,NOR,,LAR,W 45-35,True,19,82,4.32,2,5,4,34,8.50,1,80.0%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,0,41,58%,0,0%,1,3%,False,Alvin Kamara
2018,2018-11-11,9,10,23.109,NOR,@,CIN,W 51-14,True,12,56,4.67,2,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,,2,12,0,0,0,0,0,0,34,45%,0,0%,3,11%,True,Alvin Kamara
2018,2018-11-18,10,11,23.116,NOR,,PHI,W 48-7,True,13,71,5.46,0,1,1,37,37.00,1,100.0%,37.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,,1,6,0,0,0,0,0,0,44,63%,0,0%,5,18%,False,Alvin Kamara
2018,2018-11-22,11,12,23.120,NOR,,ATL,W 31-17,True,14,89,6.36,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,0,0,0,0,0,0,0,0,37,65%,0,0%,3,13%,False,Alvin Kamara
2018,2018-11-29,12,13,23.127,NOR,@,DAL,L 10-13,True,11,36,3.27,0,11,8,36,4.50,0,72.7%,3.27,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,1,0,0,0,0,0,36,69%,0,0%,3,15%,True,Alvin Kamara
2018,2018-12-09,13,14,23.137,NOR,@,TAM,W 28-14,True,12,51,4.25,0,6,5,36,7.20,0,83.3%,6.00,0,0,,0,0,0,,0,0,,,3,76,25.33,0,0,0,,0,1,0,2,0,0,0,0,0,0,41,64%,0,0%,3,12%,True,Alvin Kamara
2018,2018-12-17,14,15,23.145,NOR,@,CAR,W 12-9,True,14,67,4.79,1,9,7,36,5.14,0,77.8%,4.00,0,0,,0,0,0,,0,0,,,1,50,50.00,0,0,0,,0,,1,6,0,0,0,0,0,0,48,64%,0,0%,2,10%,True,Alvin Kamara
2018,2018-12-23,15,16,23.151,NOR,,PIT,W 31-28,False,7,23,3.29,2,6,4,82,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,40,61%,0,0%,6,21%,False,Alvin Kamara
2018,2018-12-30,16,17,,NOR,,CAR,L 14-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alvin Kamara
2019,2019-09-09,1,1,24.046,NOR,,HOU,W 30-28,True,13,97,7.46,0,8,7,72,10.29,0,87.5%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,50,76%,0,0%,0,0%,False,Alvin Kamara
2019,2019-09-15,2,2,24.052,NOR,@,LAR,L 9-27,True,13,45,3.46,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,True,Alvin Kamara
2019,2019-09-22,3,3,24.059,NOR,@,SEA,W 33-27,True,16,69,4.31,1,10,9,92,10.22,1,90.0%,9.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,49,88%,0,0%,1,4%,True,Alvin Kamara
2019,2019-09-29,4,4,24.066,NOR,,DAL,W 12-10,True,17,69,4.06,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,79%,0,0%,0,0%,False,Alvin Kamara
2019,2019-10-06,5,5,24.073,NOR,,TAM,W 31-24,True,16,62,3.88,0,7,6,42,7.00,0,85.7%,6.00,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,47,68%,0,0%,1,3%,False,Alvin Kamara
2019,2019-10-13,6,6,24.080,NOR,@,JAX,W 13-6,True,11,31,2.82,0,8,7,35,5.00,0,87.5%,4.38,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,39,59%,0,0%,0,0%,True,Alvin Kamara
2019,2019-10-20,7,7,,NOR,@,CHI,W 36-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Alvin Kamara
2019,2019-10-27,8,8,,NOR,,ARI,W 31-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alvin Kamara
2019,2019-11-10,9,10,24.108,NOR,,ATL,L 9-26,False,4,24,6.00,0,10,8,50,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,79%,0,0%,0,0%,False,Alvin Kamara
2019,2019-11-17,10,11,24.115,NOR,@,TAM,W 34-17,False,13,75,5.77,0,10,10,47,4.70,0,100.0%,4.70,0,0,,0,0,0,,0,0,,,0,0,,0,3,32,10.67,0,,0,0,1,0,0,0,0,0,42,63%,0,0%,3,12%,True,Alvin Kamara
