Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-11-04,8.0,9.0,,OAK,TAM,L 32-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrelle Pryor,False,32,42
2012.0,2012-11-11,9.0,10.0,,OAK,BAL,L 20-55,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrelle Pryor,False,20,55
2012.0,2012-11-18,10.0,11.0,,OAK,NOR,L 17-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrelle Pryor,False,17,38
2012.0,2012-11-25,11.0,12.0,,OAK,CIN,L 10-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrelle Pryor,False,10,34
2012.0,2012-12-02,12.0,13.0,,OAK,CLE,L 17-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Terrelle Pryor,False,17,20
2012.0,2012-12-06,13.0,14.0,,OAK,DEN,L 13-26,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Terrelle Pryor,False,13,26
2012.0,2012-12-16,14.0,15.0,23.179,OAK,KAN,W 15-0,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,3,4%,0,0%,0,0%,False,Terrelle Pryor,True,15,0
2012.0,2012-12-23,15.0,16.0,23.186,OAK,CAR,L 6-17,False,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,1,1,22,22.00,0,100.0%,22.00,1,2,2.00,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,True,Terrelle Pryor,False,6,17
2012.0,2012-12-30,16.0,17.0,23.193,OAK,SDG,L 21-24,True,13,28,46.43,150,2,1,72.0,0,0,5.36,5.18,0,0,0,,0,0.0%,,9,49,5.44,1,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Terrelle Pryor,False,21,24
2013.0,2013-09-08,1.0,1.0,24.08,OAK,IND,L 17-21,True,19,29,65.52,217,1,2,70.6,1,16,7.48,5.07,0,0,0,,0,0.0%,,13,112,8.62,0,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,True,Terrelle Pryor,False,17,21
