Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-10-13,5.0,6.0,24.01,MIA,WAS,L 16-17,False,7,3,51,17.00,0,42.9%,7.29,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,59%,0,0%,0,0%,False,Mike Gesicki,False,16,17
2019.0,2019-10-20,6.0,7.0,24.017,MIA,BUF,L 21-31,False,4,4,41,10.25,0,100.0%,10.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,44%,0,0%,0,0%,True,Mike Gesicki,False,21,31
2019.0,2019-10-28,7.0,8.0,24.025,MIA,PIT,L 14-27,False,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,65%,0,0%,0,0%,True,Mike Gesicki,False,14,27
2019.0,2019-11-03,8.0,9.0,24.031,MIA,NYJ,W 26-18,False,6,6,95,15.83,0,100.0%,15.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,61%,0,0%,1,3%,False,Mike Gesicki,True,26,18
2019.0,2019-11-10,9.0,10.0,24.038,MIA,IND,W 16-12,True,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,39,60%,0,0%,0,0%,True,Mike Gesicki,True,16,12
2019.0,2019-11-17,10.0,11.0,24.045,MIA,BUF,L 20-37,False,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,False,Mike Gesicki,False,20,37
2019.0,2019-11-24,11.0,12.0,24.052,MIA,CLE,L 24-41,False,7,3,28,9.33,1,42.9%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,Mike Gesicki,False,24,41
2019.0,2019-12-01,12.0,13.0,24.059,MIA,PHI,W 37-31,True,7,5,79,15.80,1,71.4%,11.29,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,75%,0,0%,1,3%,False,Mike Gesicki,True,37,31
2019.0,2019-12-08,13.0,14.0,24.066,MIA,NYJ,L 21-22,True,5,1,6,6.00,0,20.0%,1.20,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,0,0%,True,Mike Gesicki,False,21,22
2019.0,2019-12-15,14.0,15.0,24.073,MIA,NYG,L 20-36,False,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,77%,0,0%,0,0%,True,Mike Gesicki,False,20,36
