Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,24.142,WAS,@,HOU,L 6-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,246,49.20,1,0,0%,0,0%,7,32%,True,Tress Way
2014,2014-09-14,2,2,24.149,WAS,,JAX,W 41-10,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,199,49.75,0,0,0%,0,0%,20,61%,False,Tress Way
2014,2014-09-21,3,3,24.156,WAS,@,PHI,L 34-37,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,170,56.67,0,0,0%,0,0%,18,47%,True,Tress Way
2014,2014-09-25,4,4,24.160,WAS,,NYG,L 14-45,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,233,58.25,0,0,0%,0,0%,9,32%,False,Tress Way
2014,2014-10-06,5,5,24.171,WAS,,SEA,L 17-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,399,49.88,0,0,0%,0,0%,11,33%,False,Tress Way
2014,2014-10-12,6,6,24.177,WAS,@,ARI,L 20-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,1,0,0,0,0,0,0,0,0,5,237,47.40,0,0,0%,0,0%,9,26%,True,Tress Way
2014,2014-10-19,7,7,24.184,WAS,,TEN,W 19-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,124,41.33,0,0,0%,0,0%,8,30%,False,Tress Way
2014,2014-10-27,8,8,24.192,WAS,@,DAL,W 20-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,9,35%,True,Tress Way
2014,2014-11-02,9,9,24.198,WAS,@,MIN,L 26-29,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,8,29%,True,Tress Way
2014,2014-11-16,10,11,24.212,WAS,,TAM,L 7-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,177,44.25,0,0,0%,0,0%,7,29%,False,Tress Way
