Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,22.191,MIA,,NWE,W 33-20,False,,,,,,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,14,42%,False,Orleans Darkwa
2014,2014-09-14,2,2,22.198,MIA,@,BUF,L 10-29,False,0,0,,0,3,3,31,10.33,0,100.0%,10.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,11%,0,0%,21,68%,True,Orleans Darkwa
2014,2014-09-21,3,3,22.205,MIA,,KAN,L 15-34,False,,,,,,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,12,40%,False,Orleans Darkwa
2014,2014-09-28,4,4,22.212,MIA,@,OAK,W 38-14,False,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,7,27%,True,Orleans Darkwa
2014,2014-11-16,10,11,22.261,NYG,,SFO,L 10-16,False,,,,,,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,8,36%,False,Orleans Darkwa
2014,2014-11-23,11,12,22.268,NYG,,DAL,L 28-31,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,15,54%,False,Orleans Darkwa
2014,2014-11-30,12,13,22.275,NYG,@,JAX,L 24-25,False,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,22,71%,True,Orleans Darkwa
2014,2014-12-07,13,14,22.282,NYG,@,TEN,W 36-7,False,1,0,0.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,6,8%,0,0%,20,65%,True,Orleans Darkwa
2014,2014-12-14,14,15,22.289,NYG,,WAS,W 24-13,False,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,3,5%,0,0%,21,75%,False,Orleans Darkwa
2014,2014-12-21,15,16,22.296,NYG,@,STL,W 37-27,False,4,21,5.25,1,2,2,17,8.50,0,100.0%,8.50,,1,6,0.0,2,0,2,0,0,0,0,1,0,0,0,20,28%,0,0%,14,42%,True,Orleans Darkwa
2014,2014-12-28,16,17,22.303,NYG,,PHI,L 26-34,False,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,25,64%,False,Orleans Darkwa
2015,2015-09-13,1,1,23.197,NYG,@,DAL,L 26-27,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0%,0,0%,19,63%,True,Orleans Darkwa
2015,2015-09-20,2,2,23.204,NYG,,ATL,L 20-24,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,24,80%,False,Orleans Darkwa
2015,2015-09-24,3,3,23.208,NYG,,WAS,W 32-21,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,7,24%,False,Orleans Darkwa
2015,2015-10-04,4,4,23.218,NYG,@,BUF,W 24-10,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,2,3%,0,0%,26,87%,True,Orleans Darkwa
2015,2015-10-11,5,5,23.225,NYG,,SFO,W 30-27,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,23,79%,False,Orleans Darkwa
2015,2015-10-19,6,6,23.233,NYG,@,PHI,L 7-27,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0%,0,0%,26,96%,True,Orleans Darkwa
2015,2015-10-25,7,7,23.239,NYG,,DAL,W 27-20,False,8,48,6.00,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,14,26%,0,0%,21,78%,False,Orleans Darkwa
2015,2015-11-01,8,8,23.246,NYG,@,NOR,L 49-52,False,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,13,35%,True,Orleans Darkwa
