Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-11-26,11,12,24.363,MIA,@,NWE,L 17-35,True,9,8,70,8.75,0,88.9%,7.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,52,85%,0,0%,2,7%,True,Jarvis Landry
2017,2017-12-03,12,13,25.005,MIA,,DEN,W 35-9,True,6,5,62,12.40,0,83.3%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-5,-5.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,79%,0,0%,5,15%,False,Jarvis Landry
2017,2017-12-11,13,14,25.013,MIA,,NWE,W 27-20,True,8,8,46,5.75,2,100.0%,5.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,66,90%,0,0%,5,15%,False,Jarvis Landry
2017,2017-12-17,14,15,25.019,MIA,@,BUF,L 16-24,True,13,10,99,9.90,0,76.9%,7.62,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,93%,0,0%,4,15%,True,Jarvis Landry
2017,2017-12-24,15,16,25.026,MIA,@,KAN,L 13-29,True,7,5,51,10.20,0,71.4%,7.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,54,96%,0,0%,0,0%,True,Jarvis Landry
2017,2017-12-31,16,17,25.033,MIA,,BUF,L 16-22,True,10,9,92,10.22,1,90.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,73%,0,0%,0,0%,False,Jarvis Landry
2018,2018-09-09,1,1,25.285,CLE,,PIT,T 21-21,False,15,7,106,15.14,0,46.7%,7.07,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,91%,0,0%,0,0%,False,Jarvis Landry
2018,2018-09-16,2,2,25.292,CLE,@,NOR,L 18-21,True,7,5,69,13.80,0,71.4%,9.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,95%,0,0%,0,0%,True,Jarvis Landry
2018,2018-09-20,3,3,25.296,CLE,,NYJ,W 21-17,True,14,8,103,12.88,0,57.1%,7.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,86%,0,0%,4,13%,False,Jarvis Landry
2018,2018-09-30,4,4,25.306,CLE,@,OAK,L 42-45,True,10,4,34,8.50,1,40.0%,3.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,89%,0,0%,0,0%,True,Jarvis Landry
