Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,23.273,MIA,DEN,True,22,57,2.59,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,,,,,,,False,True,34,10,Ronnie Brown
2005,2005-09-18,2,2,23.280,MIA,NYJ,True,12,35,2.92,0,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,1,0,0,,,,,,,True,False,7,17,Ronnie Brown
2005,2005-09-25,3,3,23.287,MIA,CAR,True,23,132,5.74,1,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,24,Ronnie Brown
2005,2005-10-09,4,5,23.301,MIA,BUF,True,17,97,5.71,0,7,6,19,3.17,0,85.7%,2.71,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,False,14,20,Ronnie Brown
2005,2005-10-16,5,6,23.308,MIA,TAM,True,9,22,2.44,1,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,27,Ronnie Brown
2005,2005-10-21,6,7,23.313,MIA,KAN,True,8,95,11.88,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,20,30,Ronnie Brown
2005,2005-10-30,7,8,23.322,MIA,NOR,True,23,106,4.61,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,21,6,Ronnie Brown
2005,2005-11-06,8,9,23.329,MIA,ATL,True,12,67,5.58,0,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,10,17,Ronnie Brown
2005,2005-11-13,9,10,23.336,MIA,NWE,True,14,64,4.57,0,4,4,28,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,16,23,Ronnie Brown
2005,2005-11-20,10,11,23.343,MIA,CLE,True,12,56,4.67,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,False,0,22,Ronnie Brown
2005,2005-11-27,11,12,23.350,MIA,OAK,True,15,58,3.87,1,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,0,,2,2,0,0,0,0,,,,,,,True,True,33,21,Ronnie Brown
2005,2005-12-04,12,13,23.357,MIA,BUF,True,9,22,2.44,0,4,2,30,15.00,1,50.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,23,Ronnie Brown
2005,2005-12-11,13,14,23.364,MIA,SDG,True,11,30,2.73,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,True,23,21,Ronnie Brown
2005,2005-12-18,14,15,24.006,MIA,NYJ,True,12,45,3.75,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,20,Ronnie Brown
2005,2005-12-24,15,16,,MIA,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,10,Ronnie Brown
2005,2006-01-01,16,17,24.020,MIA,NWE,False,8,21,2.63,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,28,26,Ronnie Brown
2006,2006-09-07,1,1,24.269,MIA,PIT,True,15,30,2.00,2,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,0.0,,,,,,1,0,0,0,-5,0,,,,,,,True,False,17,28,Ronnie Brown
2006,2006-09-17,2,2,24.279,MIA,BUF,True,15,70,4.67,0,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,6,16,Ronnie Brown
2006,2006-09-24,3,3,24.286,MIA,TEN,True,26,90,3.46,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,13,10,Ronnie Brown
2006,2006-10-01,4,4,24.293,MIA,HOU,True,12,49,4.08,0,8,8,62,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,15,17,Ronnie Brown
2006,2006-10-08,5,5,24.300,MIA,NWE,True,17,39,2.29,1,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,False,10,20,Ronnie Brown
2006,2006-10-15,6,6,24.307,MIA,NYJ,True,22,127,5.77,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,17,20,Ronnie Brown
2006,2006-10-22,7,7,24.314,MIA,GNB,True,15,59,3.93,0,5,5,63,12.60,0,100.0%,12.60,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,24,34,Ronnie Brown
2006,2006-11-05,8,9,24.328,MIA,CHI,True,29,157,5.41,0,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,31,13,Ronnie Brown
2006,2006-11-12,9,10,24.335,MIA,KAN,True,25,89,3.56,1,2,1,-3,-3.00,0,50.0%,-1.50,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,-11,0,,,,,,,False,True,13,10,Ronnie Brown
2006,2006-11-19,10,11,24.342,MIA,MIN,True,11,5,0.45,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,24,20,Ronnie Brown
2006,2006-11-23,11,12,24.346,MIA,DET,True,15,68,4.53,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,10,Ronnie Brown
2006,2006-12-03,12,13,,MIA,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,24,Ronnie Brown
2006,2006-12-10,13,14,,MIA,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,21,0,Ronnie Brown
2006,2006-12-17,14,15,,MIA,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,0,21,Ronnie Brown
2006,2006-12-25,15,16,25.013,MIA,NYJ,False,18,110,6.11,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,10,13,Ronnie Brown
2006,2006-12-31,16,17,25.019,MIA,IND,True,21,115,5.48,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,True,False,22,27,Ronnie Brown
2007,2007-09-09,1,1,25.271,MIA,WAS,True,11,32,2.91,0,6,6,40,6.67,0,100.0%,6.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,16,Ronnie Brown
2007,2007-09-16,2,2,25.278,MIA,DAL,True,11,33,3.00,0,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,20,37,Ronnie Brown
2007,2007-09-23,3,3,25.285,MIA,NYJ,True,23,112,4.87,2,8,6,99,16.50,1,75.0%,12.38,0,0,,0,0,0,,,,,,0,0,,0,1,3,20,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,28,31,Ronnie Brown
