Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-09-07,1.0,1.0,22.35,TEN,JAX,W 17-10,True,15,93,6.20,0,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,17,10
2008.0,2008-09-14,2.0,2.0,22.357,TEN,CIN,W 24-7,True,19,109,5.74,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,24,7
2008.0,2008-09-21,3.0,3.0,22.364,TEN,HOU,W 31-12,False,16,74,4.63,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,31,12
2008.0,2008-09-28,4.0,4.0,23.005,TEN,MIN,W 30-17,True,17,61,3.59,2,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,30,17
2008.0,2008-10-05,5.0,5.0,23.012,TEN,BAL,W 13-10,True,18,44,2.44,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,13,10
2008.0,2008-10-19,6.0,7.0,23.026,TEN,KAN,W 34-10,True,18,168,9.33,1,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,34,10
2008.0,2008-10-27,7.0,8.0,23.034,TEN,IND,W 31-21,True,19,77,4.05,1,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,31,21
2008.0,2008-11-02,8.0,9.0,23.04,TEN,GNB,W 19-16,True,24,89,3.71,1,8,6,72,12.00,0,75.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,19,16
2008.0,2008-11-09,9.0,10.0,23.047,TEN,CHI,W 21-14,True,14,8,0.57,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,21,14
2008.0,2008-11-16,10.0,11.0,23.054,TEN,JAX,W 24-14,True,17,64,3.76,0,8,4,24,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,1,17,17.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,24,14
2008.0,2008-11-23,11.0,12.0,23.061,TEN,NYJ,L 13-34,True,10,46,4.60,0,7,3,15,5.00,0,42.9%,2.14,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Chris Johnson,False,13,34
2008.0,2008-11-27,12.0,13.0,23.065,TEN,DET,W 47-10,True,16,125,7.81,2,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Chris Johnson,True,47,10
2008.0,2008-12-07,13.0,14.0,23.075,TEN,CLE,W 28-9,True,19,136,7.16,1,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,28,9
2008.0,2008-12-14,14.0,15.0,23.082,TEN,HOU,L 12-13,True,13,65,5.00,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson,False,12,13
2008.0,2008-12-21,15.0,16.0,23.089,TEN,PIT,W 31-14,True,16,69,4.31,1,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson,True,31,14
