Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,21.037,ARI,SFO,False,7,29,4.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,16,20,Beanie Wells
2009,2009-09-20,2,2,21.044,ARI,JAX,False,7,44,6.29,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,2,1,0,0,0,0,,,,,,,True,True,31,17,Beanie Wells
2009,2009-09-27,3,3,21.051,ARI,IND,False,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Beanie Wells
2009,2009-10-11,4,5,21.065,ARI,HOU,False,7,24,3.43,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,21,Beanie Wells
2009,2009-10-18,5,6,21.072,ARI,SEA,False,12,29,2.42,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,3,Beanie Wells
2009,2009-10-25,6,7,21.079,ARI,NYG,False,14,67,4.79,1,3,3,10,3.33,0,100.0%,3.33,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,24,17,Beanie Wells
2009,2009-11-01,7,8,21.086,ARI,CAR,False,8,47,5.88,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,21,34,Beanie Wells
2009,2009-11-08,8,9,21.093,ARI,CHI,False,13,72,5.54,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,21,Beanie Wells
2009,2009-11-15,9,10,21.100,ARI,SEA,False,16,85,5.31,2,2,2,32,16.00,0,100.0%,16.00,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,20,Beanie Wells
2009,2009-11-22,10,11,21.107,ARI,STL,False,14,74,5.29,1,3,2,11,5.50,0,66.7%,3.67,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,21,13,Beanie Wells
2009,2009-11-29,11,12,21.114,ARI,TEN,False,8,20,2.50,0,1,1,21,21.00,0,100.0%,21.00,0,0,0.0,0,0,0,,,0,,0,1,-4,0,,,,,,,True,False,17,20,Beanie Wells
2009,2009-12-06,12,13,21.121,ARI,MIN,False,13,28,2.15,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,17,Beanie Wells
