Year,Date,G#,Week,Age,Tm,Opp,GS,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,33.293,PHI,GNB,False,0.0,,,,,,0,,0,0,0,0,7,283,40.43,0,,,,,,,True,False,13,16,Saverio Rocca
2007,2007-09-17,2,2,33.301,PHI,WAS,False,0.0,,,,,,0,,0,0,0,0,5,216,43.20,0,,,,,,,False,False,12,20,Saverio Rocca
2007,2007-09-23,3,3,33.307,PHI,DET,False,0.0,0,0,0,0,0,0,,0,0,0,0,3,131,43.67,0,,,,,,,False,True,56,21,Saverio Rocca
2007,2007-09-30,4,4,33.314,PHI,NYG,False,0.0,,,,,,0,,0,0,0,0,8,333,41.63,0,,,,,,,True,False,3,16,Saverio Rocca
2007,2007-10-14,5,6,33.328,PHI,NYJ,False,0.0,,,,,,0,,0,0,0,0,2,94,47.00,0,,,,,,,True,True,16,9,Saverio Rocca
2007,2007-10-21,6,7,33.335,PHI,CHI,False,0.0,,,,,,0,,0,0,0,0,4,132,33.00,0,,,,,,,False,False,16,19,Saverio Rocca
2007,2007-10-28,7,8,33.342,PHI,MIN,False,0.0,,,,,,0,,0,0,0,0,4,211,52.75,0,,,,,,,True,True,23,16,Saverio Rocca
2007,2007-11-04,8,9,33.349,PHI,DAL,False,0.0,,,,,,0,,0,0,0,0,3,113,37.67,0,,,,,,,False,False,17,38,Saverio Rocca
2007,2007-11-11,9,10,33.356,PHI,WAS,False,0.0,,,,,,0,,0,0,0,0,2,79,39.50,0,,,,,,,True,True,33,25,Saverio Rocca
2007,2007-11-18,10,11,33.363,PHI,MIA,False,0.0,,,,,,0,,0,0,0,0,5,220,44.00,0,,,,,,,False,True,17,7,Saverio Rocca
2007,2007-11-25,11,12,34.005,PHI,NWE,False,0.0,,,,,,0,,0,0,0,0,3,110,36.67,0,,,,,,,True,False,28,31,Saverio Rocca
2007,2007-12-02,12,13,34.012,PHI,SEA,False,0.0,1,0,1,0,0,0,,0,0,0,0,5,224,44.80,0,,,,,,,False,False,24,28,Saverio Rocca
2007,2007-12-09,13,14,34.019,PHI,NYG,False,0.0,0,0,0,0,0,0,,0,0,0,0,6,252,42.00,0,,,,,,,False,False,13,16,Saverio Rocca
2007,2007-12-16,14,15,34.026,PHI,DAL,False,0.0,0,0,0,0,0,0,,0,0,0,0,8,313,39.13,0,,,,,,,True,True,10,6,Saverio Rocca
2007,2007-12-23,15,16,34.033,PHI,NOR,False,0.0,0,0,0,0,0,0,,0,0,0,0,3,142,47.33,0,,,,,,,True,True,38,23,Saverio Rocca
2007,2007-12-30,16,17,34.040,PHI,BUF,False,0.0,1,0,1,0,0,0,,0,0,0,0,5,213,42.60,0,,,,,,,False,True,17,9,Saverio Rocca
2008,2008-09-07,1,1,34.292,PHI,STL,False,0.0,0,0,0,,,0,,0,0,0,0,4,186,46.50,0,,,,,,,False,True,38,3,Saverio Rocca
2008,2008-09-15,2,2,34.300,PHI,DAL,False,0.0,0,0,0,,,0,,0,0,0,0,3,155,51.67,0,,,,,,,True,False,37,41,Saverio Rocca
2008,2008-09-21,3,3,34.306,PHI,PIT,False,0.0,0,0,0,,,0,,0,0,0,0,5,222,44.40,0,,,,,,,False,True,15,6,Saverio Rocca
2008,2008-09-28,4,4,34.313,PHI,CHI,False,0.0,0,0,0,,,0,,0,0,0,0,6,266,44.33,0,,,,,,,True,False,20,24,Saverio Rocca
2008,2008-10-05,5,5,34.320,PHI,WAS,False,0.0,0,0,0,,,0,,0,0,0,0,5,251,50.20,0,,,,,,,False,False,17,23,Saverio Rocca
2008,2008-10-12,6,6,34.327,PHI,SFO,False,0.0,0,0,0,,,0,,0,0,0,0,2,77,38.50,0,,,,,,,True,True,40,26,Saverio Rocca
2008,2008-10-26,7,8,34.341,PHI,ATL,False,0.0,0,0,0,,,0,,0,0,0,0,7,286,40.86,0,,,,,,,False,True,27,14,Saverio Rocca
2008,2008-11-02,8,9,34.348,PHI,SEA,False,0.0,0,0,0,,,0,,0,0,0,0,5,235,47.00,0,,,,,,,True,True,26,7,Saverio Rocca
2008,2008-11-09,9,10,34.355,PHI,NYG,False,0.0,0,0,0,,,0,,0,0,0,0,5,228,45.60,0,,,,,,,False,False,31,36,Saverio Rocca
