Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,21.290,CIN,@,CHI,L 21-24,False,4,22,5.50,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,36%,0,0%,3,12%,True,Giovani Bernard
2013,2013-09-16,2,2,21.298,CIN,,PIT,W 20-10,False,8,38,4.75,1,2,1,27,27.00,1,50.0%,13.50,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,28,34%,0,0%,0,0%,False,Giovani Bernard
2013,2013-09-22,3,3,21.304,CIN,,GNB,W 34-30,False,10,50,5.00,1,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,54%,0,0%,0,0%,False,Giovani Bernard
2013,2013-09-29,4,4,21.311,CIN,@,CLE,L 6-17,False,10,37,3.70,0,7,6,38,6.33,0,85.7%,5.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,50,74%,0,0%,0,0%,True,Giovani Bernard
2013,2013-10-06,5,5,21.318,CIN,,NWE,W 13-6,False,13,62,4.77,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,34,49%,0,0%,0,0%,False,Giovani Bernard
2013,2013-10-13,6,6,21.325,CIN,@,BUF,W 27-24,False,15,28,1.87,0,7,6,72,12.00,1,85.7%,10.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,58%,0,0%,0,0%,True,Giovani Bernard
2013,2013-10-20,7,7,21.332,CIN,@,DET,W 27-24,False,7,27,3.86,0,6,5,32,6.40,0,83.3%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,49%,0,0%,0,0%,True,Giovani Bernard
2013,2013-10-27,8,8,21.339,CIN,,NYJ,W 49-9,False,5,18,3.60,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,46%,0,0%,0,0%,False,Giovani Bernard
2013,2013-10-31,9,9,21.343,CIN,@,MIA,L 20-22,False,9,79,8.78,2,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,48%,0,0%,0,0%,True,Giovani Bernard
2013,2013-11-10,10,10,21.353,CIN,@,BAL,L 17-20,False,14,58,4.14,0,8,8,37,4.63,1,100.0%,4.63,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,67%,0,0%,0,0%,True,Giovani Bernard
2013,2013-11-17,11,11,21.360,CIN,,CLE,W 41-20,False,10,45,4.50,0,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,0,0%,False,Giovani Bernard
2013,2013-12-01,12,13,22.009,CIN,@,SDG,W 17-10,False,14,57,4.07,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,50%,0,0%,0,0%,True,Giovani Bernard
2013,2013-12-08,13,14,22.016,CIN,,IND,W 42-28,False,12,99,8.25,0,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,55%,0,0%,0,0%,False,Giovani Bernard
