Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-11-14,10,11,24.002,TEN,IND,True,12,9,80,8.89,0,75.0%,6.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,False,False,27,30,Kendall Wright
2013,2013-11-24,11,12,24.012,TEN,OAK,True,7,6,103,17.17,1,85.7%,14.71,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,71,90%,0,0%,0,0%,True,True,23,19,Kendall Wright
2013,2013-12-01,12,13,24.019,TEN,IND,True,11,6,77,12.83,0,54.5%,7.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,71,95%,0,0%,0,0%,True,False,14,22,Kendall Wright
2013,2013-12-08,13,14,24.026,TEN,DEN,True,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,38,76%,0,0%,0,0%,True,False,28,51,Kendall Wright
2013,2013-12-15,14,15,24.033,TEN,ARI,True,20,12,150,12.50,0,60.0%,7.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,81,94%,0,0%,0,0%,False,False,34,37,Kendall Wright
2013,2013-12-22,15,16,24.040,TEN,JAX,True,7,4,22,5.50,0,57.1%,3.14,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,True,True,20,16,Kendall Wright
2013,2013-12-29,16,17,24.047,TEN,HOU,True,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,50,75%,0,0%,0,0%,False,True,16,10,Kendall Wright
2014,2014-09-07,1,1,24.299,TEN,KAN,True,7,6,46,7.67,1,85.7%,6.57,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,62,78%,0,0%,0,0%,True,True,26,10,Kendall Wright
2014,2014-09-14,2,2,24.306,TEN,DAL,True,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,42,86%,0,0%,0,0%,False,False,10,26,Kendall Wright
2014,2014-09-21,3,3,24.313,TEN,CIN,True,10,5,44,8.80,0,50.0%,4.40,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,78%,0,0%,0,0%,True,False,7,33,Kendall Wright
2014,2014-09-28,4,4,24.320,TEN,IND,True,8,5,55,11.00,0,62.5%,6.88,0,0,,0,0,0,,0,0,0,1,1,0,0,0,0,44,92%,0,0%,0,0%,True,False,17,41,Kendall Wright
2014,2014-10-05,5,5,24.327,TEN,CLE,True,8,6,47,7.83,2,75.0%,5.88,2,43,21.50,0,0,0,,0,2,12,0,0,0,0,0,0,55,81%,0,0%,0,0%,False,False,28,29,Kendall Wright
2014,2014-10-12,6,6,24.334,TEN,JAX,True,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,45,78%,0,0%,0,0%,False,True,16,14,Kendall Wright
2014,2014-10-19,7,7,24.341,TEN,WAS,True,9,6,68,11.33,1,66.7%,7.56,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,40,71%,0,0%,0,0%,True,False,17,19,Kendall Wright
2014,2014-10-26,8,8,24.348,TEN,HOU,False,5,3,53,17.67,0,60.0%,10.60,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,False,False,16,30,Kendall Wright
2014,2014-11-09,9,10,24.362,TEN,BAL,True,7,4,53,13.25,0,57.1%,7.57,1,1,1.00,0,0,0,,0,0,0,0,0,0,0,0,0,46,84%,0,0%,0,0%,True,False,7,21,Kendall Wright
2014,2014-11-17,10,11,25.005,TEN,PIT,False,8,4,70,17.50,0,50.0%,8.75,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,31,78%,0,0%,0,0%,False,False,24,27,Kendall Wright
2014,2014-11-23,11,12,25.011,TEN,PHI,True,6,1,28,28.00,0,16.7%,4.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,49,71%,0,0%,0,0%,True,False,24,43,Kendall Wright
2014,2014-11-30,12,13,25.018,TEN,HOU,True,9,7,132,18.86,1,77.8%,14.67,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,55,89%,0,0%,0,0%,True,False,21,45,Kendall Wright
2014,2014-12-07,13,14,,TEN,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,36,Kendall Wright
2014,2014-12-14,14,15,,TEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,11,16,Kendall Wright
2014,2014-12-18,15,16,25.036,TEN,JAX,True,5,4,73,18.25,0,80.0%,14.60,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,42,63%,0,0%,0,0%,True,False,13,21,Kendall Wright
2014,2014-12-28,16,17,25.046,TEN,IND,False,5,2,9,4.50,1,40.0%,1.80,1,10,10.00,0,0,0,,0,1,6,0,0,0,0,0,0,44,73%,0,0%,0,0%,False,False,10,27,Kendall Wright
2015,2015-09-13,1,1,25.305,TEN,TAM,True,4,4,101,25.25,1,100.0%,25.25,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,24,43%,0,0%,0,0%,True,True,42,14,Kendall Wright
2015,2015-09-20,2,2,25.312,TEN,CLE,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,64,80%,0,0%,0,0%,True,False,14,28,Kendall Wright
2015,2015-09-27,3,3,25.319,TEN,IND,True,12,7,95,13.57,1,58.3%,7.92,1,13,13.00,0,0,0,,0,1,6,0,0,0,0,0,0,60,74%,0,0%,0,0%,False,False,33,35,Kendall Wright
2015,2015-10-11,4,5,25.333,TEN,BUF,True,6,3,29,9.67,0,50.0%,4.83,1,1,1.00,0,0,0,,0,0,0,0,0,0,0,0,0,52,75%,0,0%,0,0%,False,False,13,14,Kendall Wright
2015,2015-10-18,5,6,25.340,TEN,MIA,True,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,59,86%,0,0%,0,0%,False,False,10,38,Kendall Wright
2015,2015-10-25,6,7,25.347,TEN,ATL,True,8,4,46,11.50,1,50.0%,5.75,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,40,74%,0,0%,0,0%,False,False,7,10,Kendall Wright
2015,2015-11-01,7,8,25.354,TEN,HOU,True,7,4,21,5.25,0,57.1%,3.00,1,7,7.00,0,0,0,,0,0,0,0,0,0,0,0,0,30,51%,0,0%,0,0%,True,False,6,20,Kendall Wright
2015,2015-11-08,8,9,,TEN,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,28,Kendall Wright
2015,2015-11-15,9,10,,TEN,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,27,Kendall Wright
2015,2015-11-19,10,11,,TEN,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,19,Kendall Wright
