Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,22.229,BUF,NYJ,False,,,,,,,0,0,0,0%,0,0%,5,17%,True,False,28,48,John Potter
2012,2012-09-16,2,2,22.236,BUF,KAN,False,,,,,,,0,0,0,0%,0,0%,6,19%,False,True,35,17,John Potter
2012,2012-09-23,3,3,22.243,BUF,CLE,False,,,,,,,0,0,0,0%,0,0%,5,18%,True,True,24,14,John Potter
2012,2012-09-30,4,4,22.250,BUF,NWE,False,,,,,,,0,0,0,0%,0,0%,5,14%,False,False,28,52,John Potter
2012,2012-10-07,5,5,22.257,BUF,SFO,False,,,,,,,0,0,0,0%,0,0%,2,7%,True,False,3,45,John Potter
2012,2012-10-14,6,6,22.264,BUF,ARI,False,,,,,,,0,0,0,0%,0,0%,3,9%,True,True,19,16,John Potter
2012,2012-10-21,7,7,,BUF,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,34,35,John Potter
2012,2012-11-04,8,9,,BUF,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,21,John Potter
2013,2013-09-15,2,2,23.234,WAS,GNB,False,2,2,100.0,,1,0.0,0,2,0,0%,0,0%,7,25%,True,False,20,38,John Potter
2013,2013-09-22,3,3,23.241,WAS,DET,False,2,2,100.0,2,2,100.0,0,8,0,0%,0,0%,9,28%,False,False,20,27,John Potter
2013,2013-09-29,4,4,23.248,WAS,OAK,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,9,29%,True,True,24,14,John Potter
,9 Games,,,,,,False,7,7,100.0,3,4,75.0,0,16,,,,,,,False,False,5,0,John Potter
