Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-27,3.0,3.0,23.196,ATL,DAL,W 39-28,True,30,141,4.70,3,5,5,52,10.40,0,100.0%,10.40,3,18,0.0,0,0,0,,,0,0,0,0,0,0,65,88%,0,0%,0,0%,True,Devonta Freeman,True,39,28
2015.0,2015-10-04,4.0,4.0,23.203,ATL,HOU,W 48-21,True,14,68,4.86,3,6,5,81,16.20,0,83.3%,13.50,3,18,0.0,0,0,0,,,0,0,0,0,0,0,41,58%,0,0%,0,0%,False,Devonta Freeman,True,48,21
2015.0,2015-10-11,5.0,5.0,23.21,ATL,WAS,W 25-19,True,27,153,5.67,1,8,7,44,6.29,0,87.5%,5.50,1,6,0.0,0,0,0,,,1,0,0,0,0,0,68,85%,0,0%,0,0%,False,Devonta Freeman,True,25,19
2015.0,2015-10-15,6.0,6.0,23.214,ATL,NOR,L 21-31,True,13,100,7.69,1,10,8,56,7.00,1,80.0%,5.60,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,63,86%,0,0%,0,0%,True,Devonta Freeman,False,21,31
2015.0,2015-10-25,7.0,7.0,23.224,ATL,TEN,W 10-7,True,25,116,4.64,0,3,2,14,7.00,0,66.7%,4.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,84%,0,0%,0,0%,True,Devonta Freeman,True,10,7
2015.0,2015-11-01,8.0,8.0,23.231,ATL,TAM,L 20-23,True,21,88,4.19,0,8,6,43,7.17,0,75.0%,5.38,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,67,84%,0,0%,0,0%,False,Devonta Freeman,False,20,23
2015.0,2015-11-08,9.0,9.0,23.238,ATL,SFO,L 16-17,True,12,12,1.00,0,10,8,67,8.38,1,80.0%,6.70,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,88%,0,0%,0,0%,True,Devonta Freeman,False,16,17
2015.0,2015-11-22,10.0,11.0,23.252,ATL,IND,L 21-24,True,3,43,14.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,0,0%,False,Devonta Freeman,False,21,24
2015.0,2015-11-29,11.0,12.0,,ATL,MIN,L 10-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Devonta Freeman,False,10,20
2015.0,2015-12-06,12.0,13.0,23.266,ATL,TAM,L 19-23,True,14,47,3.36,0,11,10,56,5.60,0,90.9%,5.09,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,72%,0,0%,0,0%,True,Devonta Freeman,False,19,23
2015.0,2015-12-13,13.0,14.0,23.273,ATL,CAR,L 0-38,True,12,40,3.33,0,5,3,22,7.33,0,60.0%,4.40,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,44,68%,0,0%,0,0%,True,Devonta Freeman,False,0,38
2015.0,2015-12-20,14.0,15.0,23.28,ATL,JAX,W 23-17,True,25,56,2.24,1,10,7,45,6.43,0,70.0%,4.50,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,77%,0,0%,0,0%,True,Devonta Freeman,True,23,17
2015.0,2015-12-27,15.0,16.0,23.287,ATL,CAR,W 20-13,True,22,73,3.32,1,5,3,17,5.67,0,60.0%,3.40,1,6,0.0,0,0,0,0,0,0,0,0,1,0,0,53,85%,0,0%,0,0%,False,Devonta Freeman,True,20,13
2015.0,2016-01-03,16.0,17.0,23.294,ATL,NOR,L 17-20,True,25,76,3.04,0,4,2,18,9.00,1,50.0%,4.50,1,6,0.0,0,0,0,,,1,1,0,0,0,0,59,88%,0,0%,0,0%,False,Devonta Freeman,False,17,20
2016.0,2016-09-11,1.0,1.0,24.18,ATL,TAM,L 24-31,True,11,20,1.82,0,4,4,20,5.00,0,100.0%,5.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,55%,0,0%,0,0%,False,Devonta Freeman,False,24,31
2016.0,2016-09-18,2.0,2.0,24.187,ATL,OAK,W 35-28,True,17,93,5.47,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,53%,0,0%,0,0%,True,Devonta Freeman,True,35,28
2016.0,2016-09-26,3.0,3.0,24.195,ATL,NOR,W 45-32,True,14,152,10.86,0,5,5,55,11.00,1,100.0%,11.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,59%,0,0%,0,0%,True,Devonta Freeman,True,45,32
2016.0,2016-10-02,4.0,4.0,24.201,ATL,CAR,W 48-33,True,13,57,4.38,1,3,2,7,3.50,0,66.7%,2.33,1,6,0.0,0,0,0,,,0,0,0,0,0,0,34,51%,0,0%,0,0%,False,Devonta Freeman,True,48,33
2016.0,2016-10-09,5.0,5.0,24.208,ATL,DEN,W 23-16,True,23,88,3.83,1,5,3,35,11.67,0,60.0%,7.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,60%,0,0%,0,0%,True,Devonta Freeman,True,23,16
2016.0,2016-10-16,6.0,6.0,24.215,ATL,SEA,L 24-26,True,12,40,3.33,0,5,3,10,3.33,0,60.0%,2.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,54%,0,0%,0,0%,True,Devonta Freeman,False,24,26
2016.0,2016-10-23,7.0,7.0,24.222,ATL,SDG,L 30-33,True,15,58,3.87,0,6,5,42,8.40,0,83.3%,7.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,75%,0,0%,0,0%,False,Devonta Freeman,False,30,33
2016.0,2016-10-30,8.0,8.0,24.229,ATL,GNB,W 33-32,True,11,35,3.18,1,6,4,23,5.75,1,66.7%,3.83,2,12,0.0,0,0,0,,,0,0,0,0,0,0,46,73%,0,0%,0,0%,False,Devonta Freeman,True,33,32
2016.0,2016-11-03,9.0,9.0,24.233,ATL,TAM,W 43-28,True,17,77,4.53,0,2,2,28,14.00,0,100.0%,14.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,63%,0,0%,0,0%,True,Devonta Freeman,True,43,28
2016.0,2016-11-13,10.0,10.0,24.243,ATL,PHI,L 15-24,True,12,49,4.08,0,3,3,32,10.67,0,100.0%,10.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,86%,0,0%,0,0%,True,Devonta Freeman,False,15,24
2016.0,2016-11-27,11.0,12.0,24.257,ATL,ARI,W 38-19,True,16,60,3.75,2,3,2,17,8.50,0,66.7%,5.67,2,12,0.0,0,0,0,,,0,0,0,0,0,0,39,56%,0,0%,0,0%,False,Devonta Freeman,True,38,19
2016.0,2016-12-04,12.0,13.0,24.264,ATL,KAN,L 28-29,True,15,56,3.73,2,5,4,49,12.25,0,80.0%,9.80,2,12,0.0,0,0,0,,,0,0,0,0,0,0,42,58%,0,0%,0,0%,False,Devonta Freeman,False,28,29
2016.0,2016-12-11,13.0,14.0,24.271,ATL,LAR,W 42-14,True,6,6,1.00,0,3,2,12,6.00,0,66.7%,4.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,38%,0,0%,0,0%,True,Devonta Freeman,True,42,14
