Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-11-03,9,9,27.327,SEA,TAM,True,5,3,49,16.33,0,60.0%,9.80,0,0,0,0,0,0,0,0,52,83%,0,0%,5,17%,False,True,27,24,Zach Miller
2013,2013-11-10,10,10,27.334,SEA,ATL,True,,,,,,0.0%,,0,0,0,,,0,0,0,56,81%,0,0%,7,26%,True,True,33,10,Zach Miller
2013,2013-11-17,11,11,27.341,SEA,MIN,True,5,4,69,17.25,0,80.0%,13.80,0,0,0,0,0,0,0,0,35,67%,0,0%,8,25%,False,True,41,20,Zach Miller
2013,2013-12-02,12,13,27.356,SEA,NOR,False,8,5,86,17.20,1,62.5%,10.75,1,6,0,0,0,0,0,0,61,86%,0,0%,6,24%,False,True,34,7,Zach Miller
2013,2013-12-08,13,14,27.362,SEA,SFO,True,3,1,13,13.00,0,33.3%,4.33,0,0,0,0,0,0,0,0,46,87%,0,0%,3,11%,True,False,17,19,Zach Miller
2013,2013-12-15,14,15,28.004,SEA,NYG,False,3,1,8,8.00,0,33.3%,2.67,0,0,0,0,0,0,0,0,47,68%,0,0%,5,19%,True,True,23,0,Zach Miller
2013,2013-12-22,15,16,28.011,SEA,ARI,True,3,1,11,11.00,1,33.3%,3.67,1,6,0,0,0,0,0,0,48,92%,0,0%,4,14%,False,False,10,17,Zach Miller
2013,2013-12-29,16,17,28.018,SEA,STL,True,5,3,21,7.00,0,60.0%,4.20,0,0,0,0,0,0,0,0,54,83%,0,0%,6,21%,False,True,27,9,Zach Miller
2014,2014-09-04,1,1,28.267,SEA,GNB,True,4,3,42,14.00,0,75.0%,10.50,0,0,0,0,0,0,0,0,54,77%,0,0%,6,22%,False,True,36,16,Zach Miller
2014,2014-09-14,2,2,28.277,SEA,SDG,True,1,1,22,22.00,0,100.0%,22.00,0,0,0,0,0,0,0,0,32,80%,0,0%,3,11%,True,False,21,30,Zach Miller
2014,2014-09-21,3,3,28.284,SEA,DEN,True,2,2,12,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,71,91%,0,0%,5,16%,False,True,26,20,Zach Miller
2014,2014-10-06,4,5,,SEA,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,17,Zach Miller
2014,2014-10-12,5,6,,SEA,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,23,30,Zach Miller
2014,2014-10-19,6,7,,SEA,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,26,28,Zach Miller
2014,2014-10-26,7,8,,SEA,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,13,9,Zach Miller
2014,2014-11-02,8,9,,SEA,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,24,Zach Miller
2014,2014-11-09,9,10,,SEA,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,17,Zach Miller
2014,2014-11-16,10,11,,SEA,KAN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,20,24,Zach Miller
2014,2014-11-23,11,12,,SEA,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,19,3,Zach Miller
2014,2014-11-27,12,13,,SEA,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,19,3,Zach Miller
2014,2014-12-07,13,14,,SEA,PHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,24,14,Zach Miller
2014,2014-12-14,14,15,,SEA,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,17,7,Zach Miller
2014,2014-12-21,15,16,,SEA,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,35,6,Zach Miller
2014,2014-12-28,16,17,,SEA,STL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,20,6,Zach Miller
,110 Games,,,,,,False,505,328,3804,11.60,20,65.0%,7.53,20,120,4,1,0,5,0,0,,,,,,,False,False,58,0,Zach Miller
