Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-12-14,13,14,23.205,ARI,@,SFO,L 9-24,True,2,3,1.50,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-12-20,14,15,23.211,ARI,@,DET,W 31-24,True,6,4,0.67,1,6,6,34,5.67,0,100.0%,5.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Tim Hightower
2009,2009-12-27,15,16,23.218,ARI,,STL,W 31-10,True,10,32,3.20,1,3,2,3,1.50,0,66.7%,1.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2009,2010-01-03,16,17,23.225,ARI,,GNB,L 7-33,True,6,24,4.00,0,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-09-12,1,1,24.112,ARI,@,STL,W 17-13,True,13,54,4.15,1,4,4,40,10.00,0,100.0%,10.00,0,0,,0,1,6,0.0,0,0,0,0,0,2,2,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-09-19,2,2,24.119,ARI,@,ATL,L 7-41,True,11,115,10.45,1,2,2,9,4.50,0,100.0%,4.50,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-09-26,3,3,24.126,ARI,,OAK,W 24-23,True,11,40,3.64,0,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-10-03,4,4,24.133,ARI,@,SDG,L 10-41,True,7,24,3.43,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-10-10,5,5,24.140,ARI,,NOR,W 30-20,True,4,6,1.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-10-24,6,7,24.154,ARI,@,SEA,L 10-22,False,6,59,9.83,0,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-10-31,7,8,24.161,ARI,,TAM,L 35-38,False,1,0,0.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Tim Hightower
2010,2010-11-07,8,9,24.168,ARI,@,MIN,L 24-27,True,13,39,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Tim Hightower
2010,2010-11-14,9,10,24.175,ARI,,SEA,L 18-36,True,13,39,3.00,1,3,2,23,11.50,0,66.7%,7.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Tim Hightower
