Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-18,6,6,23.060,LAR,@,SFO,L 16-24,True,14,88,6.29,0,0,0,4,,0,0.0%,,0,0,,0,0,0,32,53%,0,0%,0,0%,True,Darrell Henderson
2020,2020-10-26,7,7,23.068,LAR,,CHI,W 24-10,True,15,63,4.20,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,40,56%,0,0%,0,0%,False,Darrell Henderson
2020,2020-11-01,8,8,23.074,LAR,@,MIA,L 17-28,True,8,47,5.88,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,18,19%,0,0%,0,0%,True,Darrell Henderson
2020,2020-11-15,9,10,23.088,LAR,,SEA,W 23-16,True,7,28,4.00,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,6,23,33%,0,0%,0,0%,False,Darrell Henderson
2020,2020-11-23,10,11,23.096,LAR,@,TAM,W 27-24,True,8,5,0.63,0,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0,33,46%,0,0%,0,0%,True,Darrell Henderson
2020,2020-11-29,11,12,23.102,LAR,,SFO,L 20-23,True,10,19,1.90,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,20,32%,0,0%,0,0%,False,Darrell Henderson
2020,2020-12-06,12,13,23.109,LAR,@,ARI,W 38-28,True,3,49,16.33,1,3,2,25,12.50,0,66.7%,8.33,0,0,,0,1,6,17,21%,0,0%,0,0%,True,Darrell Henderson
2020,2020-12-10,13,14,23.113,LAR,,NWE,W 24-3,False,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,7,11%,0,0%,0,0%,False,Darrell Henderson
2020,2020-12-20,14,15,23.123,LAR,,NYJ,L 20-23,False,1,-2,-2.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,7,12%,0,0%,0,0%,False,Darrell Henderson
2020,2020-12-27,15,16,23.130,LAR,@,SEA,L 9-20,True,12,62,5.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,31,41%,0,0%,0,0%,True,Darrell Henderson
2020,2021-01-03,16,17,,LAR,,ARI,W 18-7,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Darrell Henderson
