Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,,NYG,@,DAL,L 3-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Wayne Gallman
2017,2017-09-18,2,2,,NYG,,DET,L 10-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Wayne Gallman
2017,2017-09-24,3,3,,NYG,@,PHI,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Wayne Gallman
2017,2017-10-01,4,4,23.000,NYG,@,TAM,L 23-25,False,11,42,3.82,0,2,2,8,4.00,1,100.0%,4.00,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,31,39%,0,0%,0,0%,True,Wayne Gallman
2017,2017-10-08,5,5,23.007,NYG,,LAC,L 22-27,False,11,57,5.18,0,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,6,19%,False,Wayne Gallman
2017,2017-10-15,6,6,23.014,NYG,@,DEN,W 23-10,False,9,27,3.00,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,28%,0,0%,6,21%,True,Wayne Gallman
2017,2017-10-22,7,7,23.021,NYG,,SEA,L 7-24,False,5,15,3.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,22,37%,0,0%,9,35%,False,Wayne Gallman
2017,2017-11-05,8,9,23.035,NYG,,LAR,L 17-51,False,9,41,4.56,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,17,25%,0,0%,19,56%,False,Wayne Gallman
2017,2017-11-12,9,10,23.042,NYG,@,SFO,L 21-31,False,3,22,7.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,14,58%,True,Wayne Gallman
2017,2017-11-19,10,11,23.049,NYG,,KAN,W 12-9,False,6,19,3.17,0,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,23%,0,0%,19,73%,False,Wayne Gallman
