Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-11-01,7.0,8.0,22.312,GNB,DEN,L 10-29,True,2,1,8,8.00,0,50.0%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,96%,0,0%,0,0%,True,Davante Adams,False,10,29
2015.0,2015-11-08,8.0,9.0,22.319,GNB,CAR,L 29-37,True,11,7,93,13.29,0,63.6%,8.45,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,75,97%,0,0%,0,0%,True,Davante Adams,False,29,37
2015.0,2015-11-15,9.0,10.0,22.326,GNB,DET,L 16-18,True,21,10,79,7.90,0,47.6%,3.76,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,87,100%,0,0%,0,0%,False,Davante Adams,False,16,18
2015.0,2015-11-22,10.0,11.0,22.333,GNB,MIN,W 30-13,True,4,3,36,12.00,0,75.0%,9.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,79%,0,0%,0,0%,True,Davante Adams,True,30,13
2015.0,2015-11-26,11.0,12.0,22.337,GNB,CHI,L 13-17,True,11,2,14,7.00,0,18.2%,1.27,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,88%,0,0%,0,0%,False,Davante Adams,False,13,17
2015.0,2015-12-03,12.0,13.0,22.344,GNB,DET,W 27-23,True,7,4,21,5.25,1,57.1%,3.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,96%,0,0%,0,0%,True,Davante Adams,True,27,23
2015.0,2015-12-13,13.0,14.0,22.354,GNB,DAL,W 28-7,True,3,2,12,6.00,0,66.7%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,82%,0,0%,0,0%,False,Davante Adams,True,28,7
2015.0,2015-12-20,14.0,15.0,22.361,GNB,OAK,W 30-20,True,8,5,32,6.40,0,62.5%,4.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,83%,0,0%,0,0%,True,Davante Adams,True,30,20
2015.0,2015-12-27,15.0,16.0,23.003,GNB,ARI,L 8-38,True,6,3,42,14.00,0,50.0%,7.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,71%,0,0%,0,0%,True,Davante Adams,False,8,38
2015.0,2016-01-03,16.0,17.0,23.01,GNB,MIN,L 13-20,False,6,4,54,13.50,0,66.7%,9.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,68%,0,0%,0,0%,False,Davante Adams,False,13,20
2016.0,2016-09-11,1.0,1.0,23.262,GNB,JAX,W 27-23,True,7,3,50,16.67,1,42.9%,7.14,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,92%,0,0%,0,0%,True,Davante Adams,True,27,23
2016.0,2016-09-18,2.0,2.0,23.269,GNB,MIN,L 14-17,True,7,3,26,8.67,0,42.9%,3.71,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,54,76%,0,0%,0,0%,True,Davante Adams,False,14,17
2016.0,2016-09-25,3.0,3.0,23.276,GNB,DET,W 34-27,False,2,2,23,11.50,1,100.0%,11.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,46%,0,0%,0,0%,False,Davante Adams,True,34,27
2016.0,2016-10-09,4.0,5.0,23.29,GNB,NYG,W 23-16,True,8,5,85,17.00,1,62.5%,10.63,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,75%,0,0%,0,0%,False,Davante Adams,True,23,16
2016.0,2016-10-16,5.0,6.0,23.297,GNB,DAL,L 16-30,True,3,2,34,17.00,0,66.7%,11.33,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,0,0%,False,Davante Adams,False,16,30
2016.0,2016-10-20,6.0,7.0,23.301,GNB,CHI,W 26-10,True,16,13,132,10.15,2,81.3%,8.25,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,70,80%,0,0%,0,0%,False,Davante Adams,True,26,10
2016.0,2016-10-30,7.0,8.0,23.311,GNB,ATL,L 32-33,True,14,12,74,6.17,0,85.7%,5.29,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,58,94%,0,0%,2,8%,True,Davante Adams,False,32,33
2016.0,2016-11-06,8.0,9.0,23.318,GNB,IND,L 26-31,True,8,4,41,10.25,1,50.0%,5.13,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,96%,0,0%,0,0%,False,Davante Adams,False,26,31
