Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-25,3,3,,CIN,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,8,13,Andrew Hawkins
2011,2011-10-02,4,4,25.206,CIN,BUF,False,3,2,43,21.50,0,66.7%,14.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Andrew Hawkins
2011,2011-10-09,5,5,25.213,CIN,JAX,False,2,2,6,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,30,20,Andrew Hawkins
2011,2011-10-16,6,6,25.220,CIN,IND,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,27,17,Andrew Hawkins
2011,2011-10-30,7,8,25.234,CIN,SEA,False,0,0,0,,0,0.0%,,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,12,Andrew Hawkins
2011,2011-11-06,8,9,25.241,CIN,TEN,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,24,17,Andrew Hawkins
2011,2011-11-13,9,10,25.248,CIN,PIT,False,6,5,56,11.20,0,83.3%,9.33,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,24,Andrew Hawkins
2011,2011-11-20,10,11,25.255,CIN,BAL,False,8,4,47,11.75,0,50.0%,5.88,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,False,24,31,Andrew Hawkins
2011,2011-11-27,11,12,25.262,CIN,CLE,False,3,2,27,13.50,0,66.7%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Andrew Hawkins
2011,2011-12-04,12,13,25.269,CIN,PIT,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,35,Andrew Hawkins
2011,2011-12-11,13,14,25.276,CIN,HOU,False,1,1,22,22.00,0,100.0%,22.00,1,4,4.00,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,False,19,20,Andrew Hawkins
2011,2011-12-18,14,15,25.283,CIN,STL,False,2,1,10,10.00,0,50.0%,5.00,1,8,8.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,13,Andrew Hawkins
2011,2011-12-24,15,16,25.289,CIN,ARI,False,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,True,23,16,Andrew Hawkins
2011,2012-01-01,16,17,25.297,CIN,BAL,False,4,3,34,11.33,0,75.0%,8.50,1,3,3.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,16,24,Andrew Hawkins
2012,2012-09-10,1,1,26.184,CIN,BAL,False,9,8,86,10.75,0,88.9%,9.56,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,50%,0,0%,10,33%,True,False,13,44,Andrew Hawkins
