Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,23.306,NYJ,BUF,False,4,4,45,11.25,1,100.0%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,68,68.00,1,2,12,0.0,0,0,0,,,0,0,0,0,0,0,22,34%,0,0%,3,10%,False,True,48,28,Jeremy Kerley
2012,2012-09-16,2,2,23.313,NYJ,PIT,False,4,2,67,33.50,0,50.0%,16.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,6,2.00,0,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,24,42%,0,0%,5,19%,True,False,10,27,Jeremy Kerley
2012,2012-09-23,3,3,23.320,NYJ,MIA,False,3,2,73,36.50,1,66.7%,24.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,45,15.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,37%,0,0%,5,15%,True,True,23,20,Jeremy Kerley
2012,2012-09-30,4,4,23.327,NYJ,SFO,False,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,55%,0,0%,4,15%,False,False,0,34,Jeremy Kerley
2012,2012-10-08,5,5,23.335,NYJ,HOU,True,9,5,94,18.80,0,55.6%,10.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,44,77%,0,0%,6,20%,False,False,17,23,Jeremy Kerley
2012,2012-10-14,6,6,23.341,NYJ,IND,False,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,3,11%,False,True,35,9,Jeremy Kerley
2012,2012-10-21,7,7,23.348,NYJ,NWE,True,11,7,120,17.14,0,63.6%,10.91,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,22,7.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,76%,0,0%,7,20%,True,False,26,29,Jeremy Kerley
2012,2012-10-28,8,8,23.355,NYJ,MIA,True,11,5,43,8.60,0,45.5%,3.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,79%,0,0%,6,19%,False,False,9,30,Jeremy Kerley
2012,2012-11-11,9,10,24.003,NYJ,SEA,True,8,5,57,11.40,0,62.5%,7.13,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,28,54%,0,0%,6,24%,True,False,7,28,Jeremy Kerley
2012,2012-11-18,10,11,24.010,NYJ,STL,False,3,3,43,14.33,0,100.0%,14.33,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,29%,0,0%,0,0%,True,True,27,13,Jeremy Kerley
2012,2012-11-22,11,12,24.014,NYJ,NWE,False,10,7,86,12.29,0,70.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,43,61%,0,0%,0,0%,False,False,19,49,Jeremy Kerley
2012,2012-12-02,12,13,24.024,NYJ,ARI,True,6,3,37,12.33,0,50.0%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,65%,0,0%,11,42%,False,True,7,6,Jeremy Kerley
2012,2012-12-09,13,14,24.031,NYJ,JAX,False,6,4,27,6.75,0,66.7%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,18,9.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,46,72%,0,0%,8,29%,True,True,17,10,Jeremy Kerley
