Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-11-23,11,12,22.018,NYG,,DAL,L 28-31,True,11,10,146,14.60,2,90.9%,13.27,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,68,91%,0,0%,4,14%,False,Odell Beckham Jr.
2014,2014-11-30,12,13,22.025,NYG,@,JAX,L 24-25,True,8,7,90,12.86,0,87.5%,11.25,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,48,9.60,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,69,93%,0,0%,7,23%,True,Odell Beckham Jr.
2014,2014-12-07,13,14,22.032,NYG,@,TEN,W 36-7,True,15,11,130,11.82,1,73.3%,8.67,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,4,49,12.25,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,67,91%,0,0%,5,16%,True,Odell Beckham Jr.
2014,2014-12-14,14,15,22.039,NYG,,WAS,W 24-13,True,15,12,143,11.92,3,80.0%,9.53,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,19,4.75,0,3,18,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,59,97%,0,0%,6,21%,False,Odell Beckham Jr.
2014,2014-12-21,15,16,22.046,NYG,@,STL,W 37-27,True,12,8,148,18.50,2,66.7%,12.33,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,68,96%,0,0%,5,15%,True,Odell Beckham Jr.
2014,2014-12-28,16,17,22.053,NYG,,PHI,L 26-34,True,21,12,185,15.42,1,57.1%,8.81,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,75,94%,0,0%,2,5%,False,Odell Beckham Jr.
2015,2015-09-13,1,1,22.312,NYG,@,DAL,L 26-27,True,8,5,44,8.80,0,62.5%,5.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,58,95%,0,0%,1,3%,True,Odell Beckham Jr.
2015,2015-09-20,2,2,22.319,NYG,,ATL,L 20-24,True,12,7,146,20.86,1,58.3%,12.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,94%,0,0%,0,0%,False,Odell Beckham Jr.
2015,2015-09-24,3,3,22.323,NYG,,WAS,W 32-21,True,9,7,79,11.29,1,77.8%,8.78,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,65,97%,0,0%,2,7%,False,Odell Beckham Jr.
2015,2015-10-04,4,4,22.333,NYG,@,BUF,W 24-10,True,12,5,38,7.60,0,41.7%,3.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,0,0%,True,Odell Beckham Jr.
2015,2015-10-11,5,5,22.340,NYG,,SFO,W 30-27,True,11,7,121,17.29,1,63.6%,11.00,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,59,75%,0,0%,0,0%,False,Odell Beckham Jr.
2015,2015-10-19,6,6,22.348,NYG,@,PHI,L 7-27,True,8,7,61,8.71,1,87.5%,7.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,97%,0,0%,0,0%,True,Odell Beckham Jr.
2015,2015-10-25,7,7,22.354,NYG,,DAL,W 27-20,True,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,49,92%,0,0%,0,0%,False,Odell Beckham Jr.
