Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-10-07,5,5,25.259,BAL,KAN,True,17,102,6.00,0,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,86%,0,0%,0,0%,True,True,9,6,Ray Rice
2012,2012-10-14,6,6,25.266,BAL,DAL,True,16,63,3.94,2,4,1,43,43.00,0,25.0%,10.75,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,45,88%,0,0%,0,0%,False,True,31,29,Ray Rice
2012,2012-10-21,7,7,25.273,BAL,HOU,True,9,42,4.67,0,5,5,12,2.40,0,100.0%,2.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,53,87%,0,0%,0,0%,True,False,13,43,Ray Rice
2012,2012-11-04,8,9,25.287,BAL,CLE,True,25,98,3.92,1,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,53,80%,0,0%,0,0%,True,True,25,15,Ray Rice
2012,2012-11-11,9,10,25.294,BAL,OAK,True,13,35,2.69,1,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,40,62%,0,0%,0,0%,False,True,55,20,Ray Rice
2012,2012-11-18,10,11,25.301,BAL,PIT,True,20,40,2.00,0,5,5,53,10.60,0,100.0%,10.60,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,0,0,0,50,83%,0,0%,0,0%,True,True,13,10,Ray Rice
2012,2012-11-25,11,12,25.308,BAL,SDG,True,22,97,4.41,0,9,8,67,8.38,0,88.9%,7.44,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,79,85%,0,0%,0,0%,True,True,16,13,Ray Rice
2012,2012-12-02,12,13,25.315,BAL,PIT,True,12,78,6.50,1,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,47,77%,0,0%,0,0%,False,False,20,23,Ray Rice
2012,2012-12-09,13,14,25.322,BAL,WAS,True,20,121,6.05,1,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,43,72%,0,0%,0,0%,True,False,28,31,Ray Rice
2012,2012-12-16,14,15,25.329,BAL,DEN,True,12,38,3.17,0,7,3,3,1.00,0,42.9%,0.43,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,55,85%,0,0%,0,0%,False,False,17,34,Ray Rice
