Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.095,CAR,@,SFO,W 23-3,True,13,47,3.62,0,7,5,38,7.60,0,71.4%,5.43,0,0,,0,0,0,,0,0,,,0,0,,0,3,7,2.33,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,47,70%,0,0%,4,20%,True,Christian McCaffrey
2017,2017-09-17,2,2,21.102,CAR,,BUF,W 9-3,False,8,10,1.25,0,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,5,30,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,64%,0,0%,6,27%,False,Christian McCaffrey
2017,2017-09-24,3,3,21.109,CAR,,NOR,L 13-34,True,4,16,4.00,0,11,9,101,11.22,0,81.8%,9.18,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,69%,0,0%,2,8%,False,Christian McCaffrey
2017,2017-10-01,4,4,21.116,CAR,@,NWE,W 33-30,False,6,16,2.67,0,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,,,3,58,19.33,0,2,25,12.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,76%,0,0%,7,25%,True,Christian McCaffrey
2017,2017-10-08,5,5,21.123,CAR,@,DET,W 27-24,True,3,7,2.33,0,7,5,31,6.20,1,71.4%,4.43,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,56%,0,0%,7,22%,True,Christian McCaffrey
2017,2017-10-12,6,6,21.127,CAR,,PHI,L 23-28,False,4,8,2.00,0,14,10,56,5.60,1,71.4%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,61,74%,0,0%,7,22%,False,Christian McCaffrey
2017,2017-10-22,7,7,21.137,CAR,@,CHI,L 3-17,True,7,10,1.43,0,9,7,36,5.14,0,77.8%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,74%,0,0%,6,27%,True,Christian McCaffrey
2017,2017-10-29,8,8,21.144,CAR,@,TAM,W 17-3,False,4,3,0.75,0,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,True,Christian McCaffrey
2017,2017-11-05,9,9,21.151,CAR,,ATL,W 20-17,True,15,66,4.40,1,6,5,28,5.60,0,83.3%,4.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,1,4%,False,Christian McCaffrey
2017,2017-11-13,10,10,21.159,CAR,,MIA,W 45-21,True,5,23,4.60,1,7,3,27,9.00,1,42.9%,3.86,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,42,58%,0,0%,2,7%,False,Christian McCaffrey
2017,2017-11-26,11,12,21.172,CAR,@,NYJ,W 35-27,False,7,62,8.86,0,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,22,11.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,69%,0,0%,3,8%,True,Christian McCaffrey
2017,2017-12-03,12,13,21.179,CAR,@,NOR,L 21-31,False,6,16,2.67,0,6,5,33,6.60,1,83.3%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,70%,0,0%,0,0%,True,Christian McCaffrey
2017,2017-12-10,13,14,21.186,CAR,,MIN,W 31-24,True,8,35,4.38,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,67%,0,0%,1,3%,False,Christian McCaffrey
2017,2017-12-17,14,15,21.193,CAR,,GNB,W 31-24,True,12,63,5.25,0,7,6,73,12.17,1,85.7%,10.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,69%,0,0%,1,4%,False,Christian McCaffrey
2017,2017-12-24,15,16,21.200,CAR,,TAM,W 22-19,True,9,39,4.33,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,80%,0,0%,1,4%,False,Christian McCaffrey
2017,2017-12-31,16,17,21.207,CAR,@,ATL,L 10-22,True,6,14,2.33,0,8,5,40,8.00,0,62.5%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,85%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-09-09,1,1,22.094,CAR,,DAL,W 16-8,True,10,50,5.00,0,9,6,45,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,57,85%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-09-16,2,2,22.101,CAR,@,ATL,L 24-31,True,8,37,4.63,0,15,14,102,7.29,0,93.3%,6.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,94%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-09-23,3,3,22.108,CAR,,CIN,W 31-21,True,28,184,6.57,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-10-07,4,5,22.122,CAR,,NYG,W 33-31,True,17,58,3.41,0,6,5,35,7.00,1,83.3%,5.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,97%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-10-14,5,6,22.129,CAR,@,WAS,L 17-23,True,8,20,2.50,0,8,7,46,6.57,0,87.5%,5.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-10-21,6,7,22.136,CAR,@,PHI,W 21-17,True,7,29,4.14,0,6,6,51,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-10-28,7,8,22.143,CAR,,BAL,W 36-21,True,14,45,3.21,1,6,4,11,2.75,1,66.7%,1.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,98%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-11-04,8,9,22.150,CAR,,TAM,W 42-28,True,17,79,4.65,2,6,5,78,15.60,0,83.3%,13.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,98%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-11-08,9,10,22.154,CAR,@,PIT,L 21-52,True,14,77,5.50,1,5,5,61,12.20,2,100.0%,12.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,1,0,0,54,95%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-11-18,10,11,22.164,CAR,@,DET,L 19-20,True,13,53,4.08,0,8,6,57,9.50,0,75.0%,7.13,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-11-25,11,12,22.171,CAR,,SEA,L 27-30,True,17,125,7.35,1,11,11,112,10.18,1,100.0%,10.18,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,3,0,0,0,0,0,59,100%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-12-02,12,13,22.178,CAR,@,TAM,L 17-24,True,10,106,10.60,0,10,9,55,6.11,1,90.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,1,4%,True,Christian McCaffrey
2018,2018-12-09,13,14,22.185,CAR,@,CLE,L 20-26,True,16,63,3.94,2,7,6,38,6.33,0,85.7%,5.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Christian McCaffrey
2018,2018-12-17,14,15,22.193,CAR,,NOR,L 9-12,True,15,53,3.53,0,11,8,67,8.38,0,72.7%,6.09,1,1,100.00,50,1,0,158.3,0,0,50.00,70.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-12-23,15,16,22.199,CAR,,ATL,L 10-24,True,21,101,4.81,0,13,12,77,6.42,0,92.3%,5.92,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,83,90%,0,0%,0,0%,False,Christian McCaffrey
2018,2018-12-30,16,17,22.206,CAR,@,NOR,W 33-14,True,4,18,4.50,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-09-08,1,1,23.093,CAR,,LAR,L 27-30,True,19,128,6.74,2,11,10,81,8.10,0,90.9%,7.36,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-09-12,2,2,23.097,CAR,,TAM,L 14-20,True,16,37,2.31,0,6,2,16,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-09-22,3,3,23.107,CAR,@,ARI,W 38-20,True,24,153,6.38,1,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,93%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-09-29,4,4,23.114,CAR,@,HOU,W 16-10,True,27,93,3.44,1,10,10,86,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-10-06,5,5,23.121,CAR,,JAX,W 34-27,True,19,176,9.26,2,8,6,61,10.17,1,75.0%,7.63,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,54,86%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-10-13,6,6,23.128,CAR,@,TAM,W 37-26,True,22,31,1.41,1,5,4,26,6.50,1,80.0%,5.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-10-27,7,8,23.142,CAR,@,SFO,L 13-51,True,14,117,8.36,1,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-11-03,8,9,23.149,CAR,,TEN,W 30-20,True,24,146,6.08,2,3,3,20,6.67,1,100.0%,6.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,61,86%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-11-10,9,10,23.156,CAR,@,GNB,L 16-24,True,20,108,5.40,1,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-11-17,10,11,23.163,CAR,,ATL,L 3-29,True,14,70,5.00,0,15,11,121,11.00,0,73.3%,8.07,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,93%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-11-24,11,12,23.170,CAR,@,NOR,L 31-34,True,22,64,2.91,1,9,9,69,7.67,1,100.0%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-12-01,12,13,23.177,CAR,,WAS,L 21-29,True,14,44,3.14,0,12,7,58,8.29,0,58.3%,4.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-12-08,13,14,23.184,CAR,@,ATL,L 20-40,True,11,53,4.82,0,12,11,82,7.45,0,91.7%,6.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,99%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-12-15,14,15,23.191,CAR,,SEA,L 24-30,True,19,87,4.58,2,10,8,88,11.00,0,80.0%,8.80,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Christian McCaffrey
2019,2019-12-22,15,16,23.198,CAR,@,IND,L 6-38,True,13,54,4.15,0,15,15,119,7.93,0,100.0%,7.93,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%,True,Christian McCaffrey
2019,2019-12-29,16,17,23.205,CAR,,NOR,L 10-42,True,9,26,2.89,1,10,7,72,10.29,0,70.0%,7.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,72%,0,0%,0,0%,False,Christian McCaffrey
2020,2020-09-13,1,1,24.098,CAR,,LVR,L 30-34,True,23,97,4.22,2,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65,97%,0,0%,0,0%,False,Christian McCaffrey
2020,2020-09-20,2,2,24.105,CAR,@,TAM,L 17-31,True,18,59,3.28,2,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,47,64%,0,0%,0,0%,True,Christian McCaffrey
2020,2020-09-27,3,3,,CAR,@,LAC,W 21-16,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Christian McCaffrey
2020,2020-10-04,4,4,,CAR,,ARI,W 31-21,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Christian McCaffrey
