Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,22.228,BAL,PIT,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,35,7,Torrey Smith
2011,2011-09-18,2,2,22.235,BAL,TEN,False,,,,,,0.0%,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,False,13,26,Torrey Smith
2011,2011-09-25,3,3,22.242,BAL,STL,True,8,5,152,30.40,3,62.5%,19.00,1,10,10.00,0,0,0,,0,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,True,True,37,7,Torrey Smith
2011,2011-10-02,4,4,22.249,BAL,NYJ,True,6,1,1,1.00,0,16.7%,0.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,17,Torrey Smith
2011,2011-10-16,5,6,22.263,BAL,HOU,True,5,3,84,28.00,0,60.0%,16.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,29,14,Torrey Smith
2011,2011-10-24,6,7,22.271,BAL,JAX,True,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,7,12,Torrey Smith
2011,2011-10-30,7,8,22.277,BAL,ARI,True,9,3,57,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,30,27,Torrey Smith
2011,2011-11-06,8,9,22.284,BAL,PIT,True,9,5,71,14.20,1,55.6%,7.89,0,0,,0,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,23,20,Torrey Smith
2011,2011-11-13,9,10,22.291,BAL,SEA,True,8,3,28,9.33,0,37.5%,3.50,1,16,16.00,0,1,24,24.00,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,22,Torrey Smith
2011,2011-11-20,10,11,22.298,BAL,CIN,True,7,6,165,27.50,1,85.7%,23.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,31,24,Torrey Smith
2011,2011-11-24,11,12,22.302,BAL,SFO,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,16,6,Torrey Smith
2011,2011-12-04,12,13,22.312,BAL,CLE,True,4,1,32,32.00,0,25.0%,8.00,1,-3,-3.00,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,10,Torrey Smith
2011,2011-12-11,13,14,22.319,BAL,IND,True,9,5,48,9.60,1,55.6%,5.33,1,16,16.00,0,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,24,10,Torrey Smith
2011,2011-12-18,14,15,22.326,BAL,SDG,True,7,6,77,12.83,1,85.7%,11.00,0,0,,0,0,0,,0,0,0,,0,,1,6,1,0,0,0,0,0,,,,,,,True,False,14,34,Torrey Smith
2011,2011-12-24,15,16,22.332,BAL,CLE,True,7,2,38,19.00,0,28.6%,5.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,20,14,Torrey Smith
2011,2012-01-01,16,17,22.340,BAL,CIN,True,7,5,33,6.60,0,71.4%,4.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,16,Torrey Smith
2012,2012-09-10,1,1,23.228,BAL,CIN,True,3,2,57,28.50,0,66.7%,19.00,1,13,13.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,82%,0,0%,0,0%,False,True,44,13,Torrey Smith
2012,2012-09-16,2,2,23.234,BAL,PHI,True,5,2,51,25.50,0,40.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,True,False,23,24,Torrey Smith
2012,2012-09-23,3,3,23.241,BAL,NWE,True,10,6,127,21.17,2,60.0%,12.70,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,70,97%,0,0%,0,0%,False,True,31,30,Torrey Smith
2012,2012-09-27,4,4,23.245,BAL,CLE,True,10,6,97,16.17,1,60.0%,9.70,1,0,0.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,67,82%,0,0%,0,0%,False,True,23,16,Torrey Smith
2012,2012-10-07,5,5,23.255,BAL,KAN,True,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,True,9,6,Torrey Smith
