Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,24.232,OAK,@,NYJ,L 14-19,False,0,0,,0,0,0,0,,0,0.0%,,3,67,22.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,18%,True,Latavius Murray
2014,2014-09-14,2,2,24.239,OAK,,HOU,L 14-30,False,1,6,6.00,0,0,0,0,,0,0.0%,,4,103,25.75,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,32%,0,0%,8,32%,False,Latavius Murray
2014,2014-09-21,3,3,24.246,OAK,@,NWE,L 9-16,False,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,13,52%,True,Latavius Murray
2014,2014-09-28,4,4,24.253,OAK,,MIA,L 14-38,False,0,0,,0,0,0,0,,0,0.0%,,5,112,22.40,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,4,6%,0,0%,12,46%,False,Latavius Murray
2014,2014-10-12,5,6,24.267,OAK,,SDG,L 28-31,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,15,48%,False,Latavius Murray
2014,2014-10-19,6,7,24.274,OAK,,ARI,L 13-24,False,,,,,0,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,10,38%,False,Latavius Murray
2014,2014-10-26,7,8,24.281,OAK,@,CLE,L 13-23,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,12,36%,True,Latavius Murray
2014,2014-11-02,8,9,24.288,OAK,@,SEA,L 24-30,False,0,0,,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,15%,0,0%,13,36%,True,Latavius Murray
2014,2014-11-09,9,10,24.295,OAK,,DEN,L 17-41,False,2,4,2.00,0,1,1,7,7.00,0,100.0%,7.00,2,48,24.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,21%,0,0%,14,39%,False,Latavius Murray
2014,2014-11-16,10,11,24.302,OAK,@,SDG,L 6-13,False,4,43,10.75,0,4,3,16,5.33,0,75.0%,4.00,4,75,18.75,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,45%,0,0%,21,68%,True,Latavius Murray
2014,2014-11-20,11,12,24.306,OAK,,KAN,W 24-20,False,4,112,28.00,2,0,0,0,,0,0.0%,,1,24,24.00,0,,2,12,0.0,1,0,1,0,0,1,0,0,0,0,0,9,13%,0,0%,7,22%,False,Latavius Murray
2014,2014-11-30,12,13,,OAK,@,STL,L 0-52,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Latavius Murray
2014,2014-12-07,13,14,24.323,OAK,,SFO,W 24-13,False,23,76,3.30,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,81%,0,0%,6,22%,False,Latavius Murray
2014,2014-12-14,14,15,24.330,OAK,@,KAN,L 13-31,True,12,59,4.92,0,6,2,17,8.50,0,33.3%,2.83,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,63%,0,0%,0,0%,True,Latavius Murray
2014,2014-12-21,15,16,24.337,OAK,,BUF,W 26-24,True,23,86,3.74,0,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,79%,0,0%,0,0%,False,Latavius Murray
