Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-12-21,15.0,16.0,27.258,STL,NYG,L 27-37,False,7,5,41,8.20,0,71.4%,5.86,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,62%,0,0%,1,3%,False,Jared Cook,False,27,37
2014.0,2014-12-28,16.0,17.0,27.265,STL,SEA,L 6-20,False,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,65%,0,0%,0,0%,True,Jared Cook,False,6,20
2015.0,2015-09-13,1.0,1.0,28.159,STL,SEA,W 34-31,True,6,5,85,17.00,0,83.3%,14.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,86%,0,0%,0,0%,False,Jared Cook,True,34,31
2015.0,2015-09-20,2.0,2.0,28.166,STL,WAS,L 10-24,True,7,5,47,9.40,0,71.4%,6.71,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,71%,0,0%,0,0%,True,Jared Cook,False,10,24
2015.0,2015-09-27,3.0,3.0,28.173,STL,PIT,L 6-12,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,84%,0,0%,0,0%,False,Jared Cook,False,6,12
2015.0,2015-10-04,4.0,4.0,28.18,STL,ARI,W 24-22,True,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,75%,0,0%,0,0%,True,Jared Cook,True,24,22
2015.0,2015-10-11,5.0,5.0,28.187,STL,GNB,L 10-24,False,6,1,8,8.00,0,16.7%,1.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,76%,0,0%,0,0%,True,Jared Cook,False,10,24
2015.0,2015-10-25,6.0,7.0,28.201,STL,CLE,W 24-6,True,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,49,92%,0,0%,0,0%,False,Jared Cook,True,24,6
2015.0,2015-11-01,7.0,8.0,28.208,STL,SFO,W 27-6,True,3,2,57,28.50,0,66.7%,19.00,0,0,,0,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,38,55%,0,0%,0,0%,False,Jared Cook,True,27,6
2015.0,2015-11-08,8.0,9.0,28.215,STL,MIN,L 18-21,True,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,73%,0,0%,0,0%,True,Jared Cook,False,18,21
2015.0,2015-11-15,9.0,10.0,28.222,STL,CHI,L 13-37,True,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,75%,0,0%,0,0%,False,Jared Cook,False,13,37
2015.0,2015-11-22,10.0,11.0,28.229,STL,BAL,L 13-16,True,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,72%,0,0%,0,0%,True,Jared Cook,False,13,16
2015.0,2015-11-29,11.0,12.0,28.236,STL,CIN,L 7-31,False,6,4,58,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,63%,0,0%,0,0%,True,Jared Cook,False,7,31
2015.0,2015-12-06,12.0,13.0,28.243,STL,ARI,L 3-27,False,9,3,22,7.33,0,33.3%,2.44,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,40,80%,0,0%,1,4%,False,Jared Cook,False,3,27
2015.0,2015-12-13,13.0,14.0,28.25,STL,DET,W 21-14,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,64%,0,0%,1,4%,False,Jared Cook,True,21,14
2015.0,2015-12-17,14.0,15.0,28.254,STL,TAM,W 31-23,False,6,4,64,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,46%,0,0%,1,3%,False,Jared Cook,True,31,23
2015.0,2015-12-27,15.0,16.0,28.264,STL,SEA,W 23-17,True,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,64%,0,0%,1,4%,True,Jared Cook,True,23,17
2015.0,2016-01-03,16.0,17.0,28.271,STL,SFO,L 16-19,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,54%,0,0%,0,0%,True,Jared Cook,False,16,19
2016.0,2016-09-11,1.0,1.0,29.157,GNB,JAX,W 27-23,True,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,52%,0,0%,5,18%,True,Jared Cook,True,27,23
2016.0,2016-09-18,2.0,2.0,29.164,GNB,MIN,L 14-17,True,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,46,65%,0,0%,0,0%,True,Jared Cook,False,14,17
2016.0,2016-09-25,3.0,3.0,29.171,GNB,DET,W 34-27,False,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,26%,0,0%,0,0%,False,Jared Cook,True,34,27
2016.0,2016-10-09,4.0,5.0,,GNB,NYG,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jared Cook,True,23,16
2016.0,2016-10-16,5.0,6.0,,GNB,DAL,L 16-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jared Cook,False,16,30
2016.0,2016-10-20,6.0,7.0,,GNB,CHI,W 26-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jared Cook,True,26,10
2016.0,2016-10-30,7.0,8.0,,GNB,ATL,L 32-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jared Cook,False,32,33
2016.0,2016-11-06,8.0,9.0,,GNB,IND,L 26-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jared Cook,False,26,31
2016.0,2016-11-13,9.0,10.0,,GNB,TEN,L 25-47,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jared Cook,False,25,47
2016.0,2016-11-20,10.0,11.0,29.227,GNB,WAS,L 24-42,True,11,6,105,17.50,1,54.5%,9.55,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,42,62%,0,0%,1,3%,True,Jared Cook,False,24,42
2016.0,2016-11-28,11.0,12.0,29.235,GNB,PHI,W 27-13,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,46%,0,0%,1,5%,True,Jared Cook,True,27,13
2016.0,2016-12-04,12.0,13.0,29.241,GNB,HOU,W 21-13,True,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,50%,0,0%,1,5%,False,Jared Cook,True,21,13
2016.0,2016-12-11,13.0,14.0,29.248,GNB,SEA,W 38-10,True,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,27%,0,0%,0,0%,False,Jared Cook,True,38,10
2016.0,2016-12-18,14.0,15.0,29.255,GNB,CHI,W 30-27,False,8,6,85,14.17,0,75.0%,10.63,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,66%,0,0%,0,0%,True,Jared Cook,True,30,27
2016.0,2016-12-24,15.0,16.0,29.261,GNB,MIN,W 38-25,False,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,59%,0,0%,2,6%,False,Jared Cook,True,38,25
2016.0,2017-01-01,16.0,17.0,29.269,GNB,DET,W 31-24,False,8,4,56,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,2,7%,True,Jared Cook,True,31,24
2017.0,2017-09-10,1.0,1.0,30.156,OAK,TEN,W 26-16,True,5,5,56,11.20,0,100.0%,11.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,71%,0,0%,0,0%,True,Jared Cook,True,26,16
2017.0,2017-09-17,2.0,2.0,30.163,OAK,NYJ,W 45-20,True,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,79%,0,0%,1,3%,False,Jared Cook,True,45,20
2017.0,2017-09-24,3.0,3.0,30.17,OAK,WAS,L 10-27,True,6,4,43,10.75,1,66.7%,7.17,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,80%,0,0%,0,0%,True,Jared Cook,False,10,27
