Year,Date,G#,Week,Age,Tm,Opp,GS,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-17,5,6,22.255,TAM,NOR,False,0.0,0,0,0,,,3,137,45.67,0,,,,,,,False,False,6,31,Robert Malone
2010,2010-10-24,6,7,22.262,TAM,STL,False,0.0,0,0,0,,,4,160,40.00,0,,,,,,,False,True,18,17,Robert Malone
2010,2010-10-31,7,8,22.269,TAM,ARI,False,0.0,0,0,0,,,6,252,42.00,0,,,,,,,True,True,38,35,Robert Malone
2010,2010-11-07,8,9,22.276,TAM,ATL,False,0.0,0,0,0,,,3,117,39.00,0,,,,,,,True,False,21,27,Robert Malone
2010,2010-11-14,9,10,22.283,TAM,CAR,False,0.0,0,0,0,,,4,177,44.25,0,,,,,,,False,True,31,16,Robert Malone
2010,2010-11-21,10,11,22.290,TAM,SFO,False,0.0,0,0,0,,,5,197,39.40,0,,,,,,,True,True,21,0,Robert Malone
2010,2010-11-28,11,12,22.297,TAM,BAL,False,0.0,0,0,0,,,9,340,37.78,0,,,,,,,True,False,10,17,Robert Malone
2010,2010-12-05,12,13,22.304,TAM,ATL,False,0.0,0,0,0,,,7,305,43.57,0,,,,,,,False,False,24,28,Robert Malone
2010,2010-12-12,13,14,22.311,TAM,WAS,False,0.0,0,0,0,,,4,176,44.00,0,,,,,,,True,True,17,16,Robert Malone
2010,2010-12-19,14,15,22.318,TAM,DET,False,0.0,0,0,0,,,3,118,39.33,0,,,,,,,False,False,20,23,Robert Malone
2010,2010-12-26,15,16,22.325,TAM,SEA,False,0.0,0,0,0,,,3,135,45.00,0,,,,,,,False,True,38,15,Robert Malone
2010,2011-01-02,16,17,22.332,TAM,NOR,False,0.0,0,0,0,,,1,46,46.00,0,,,,,,,True,True,23,13,Robert Malone
2011,2011-11-13,9,10,23.282,DET,CHI,False,0.0,1,0,1,0,0,0,0,,0,,,,,,,True,False,13,37,Robert Malone
2012,2012-09-09,1,1,24.218,NYJ,BUF,False,0.0,0,0,0,,,2,103,51.50,0,0,0%,0,0%,10,33%,False,True,48,28,Robert Malone
2012,2012-09-16,2,2,24.225,NYJ,PIT,False,0.0,0,0,0,,,6,272,45.33,0,0,0%,0,0%,8,30%,True,False,10,27,Robert Malone
2012,2012-09-23,3,3,24.232,NYJ,MIA,False,0.0,0,0,0,,,6,274,45.67,0,0,0%,0,0%,12,35%,True,True,23,20,Robert Malone
2012,2012-09-30,4,4,24.239,NYJ,SFO,False,0.0,0,1,1,0,0,7,303,43.29,1,0,0%,0,0%,8,30%,False,False,0,34,Robert Malone
2012,2012-10-08,5,5,24.247,NYJ,HOU,False,0.0,0,0,0,,,6,265,44.17,0,0,0%,0,0%,10,33%,False,False,17,23,Robert Malone
2012,2012-10-14,6,6,24.253,NYJ,IND,False,0.0,0,0,0,0,0,5,260,52.00,0,0,0%,0,0%,11,41%,False,True,35,9,Robert Malone
2012,2012-10-21,7,7,24.260,NYJ,NWE,False,0.0,0,0,0,0,0,3,170,56.67,0,0,0%,0,0%,10,29%,True,False,26,29,Robert Malone
2012,2012-10-28,8,8,24.267,NYJ,MIA,False,0.0,0,0,0,,,6,274,45.67,1,0,0%,0,0%,10,31%,False,False,9,30,Robert Malone
2012,2012-11-11,9,10,24.281,NYJ,SEA,False,0.0,0,0,0,,,7,321,45.86,0,0,0%,0,0%,8,32%,True,False,7,28,Robert Malone
2012,2012-11-18,10,11,24.288,NYJ,STL,False,0.0,0,0,0,0,0,3,127,42.33,0,0,0%,0,0%,11,42%,True,True,27,13,Robert Malone
2012,2012-11-22,11,12,24.292,NYJ,NWE,False,0.0,0,0,0,0,0,4,198,49.50,0,0,0%,0,0%,7,23%,False,False,19,49,Robert Malone
2012,2012-12-02,12,13,24.302,NYJ,ARI,False,0.0,0,0,0,0,0,6,263,43.83,0,0,0%,0,0%,9,35%,False,True,7,6,Robert Malone
2012,2012-12-09,13,14,24.309,NYJ,JAX,False,0.0,1,0,1,0,0,7,326,46.57,0,0,0%,0,0%,10,36%,True,True,17,10,Robert Malone
2012,2012-12-17,14,15,24.317,NYJ,TEN,False,0.0,1,0,1,0,0,6,254,42.33,0,0,0%,0,0%,8,30%,True,False,10,14,Robert Malone
2012,2012-12-23,15,16,24.323,NYJ,SDG,False,0.0,1,0,1,0,0,6,266,44.33,0,0,0%,0,0%,9,29%,False,False,17,27,Robert Malone
2012,2012-12-30,16,17,24.330,NYJ,BUF,False,0.0,0,0,0,,,4,172,43.00,0,0,0%,0,0%,8,29%,True,False,9,28,Robert Malone
2013,2013-09-08,1,1,25.216,NYJ,TAM,False,0.0,0,0,0,,,7,339,48.43,0,0,0%,0,0%,11,35%,False,True,18,17,Robert Malone
2013,2013-09-12,2,2,25.220,NYJ,NWE,False,0.0,0,0,0,,,9,401,44.56,0,0,0%,0,0%,12,35%,True,False,10,13,Robert Malone
,31 Games,,,,,,False,0.0,4,1,5,0,0,152,6748,44.39,2,,,,,,,False,False,17,0,Robert Malone
