Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-12-18,15,16,22.094,TEN,JAX,True,14,44,3.14,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,True,False,13,21,Bishop Sankey
2014,2014-12-28,16,17,22.104,TEN,IND,True,4,18,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,1,1,0,0,0,0,13,22%,0,0%,0,0%,False,False,10,27,Bishop Sankey
2015,2015-09-13,1,1,22.363,TEN,TAM,True,12,74,6.17,1,3,2,12,6.00,1,66.7%,4.00,1,17,17.00,0,2,12,1,0,0,0,0,0,22,39%,0,0%,2,8%,True,True,42,14,Bishop Sankey
2015,2015-09-20,2,2,23.005,TEN,CLE,True,12,42,3.50,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,32,40%,0,0%,5,19%,True,False,14,28,Bishop Sankey
2015,2015-09-27,3,3,23.012,TEN,IND,False,5,10,2.00,0,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,0,0,0,0,0,0,19,23%,0,0%,5,15%,False,False,33,35,Bishop Sankey
2015,2015-10-11,4,5,23.026,TEN,BUF,True,7,20,2.86,0,3,3,23,7.67,0,100.0%,7.67,2,33,16.50,0,0,0,0,0,0,0,0,0,23,33%,0,0%,3,12%,False,False,13,14,Bishop Sankey
2015,2015-10-18,5,6,23.033,TEN,MIA,False,3,13,4.33,0,3,1,7,7.00,0,33.3%,2.33,3,79,26.33,0,0,0,0,0,0,0,0,0,18,26%,0,0%,7,29%,False,False,10,38,Bishop Sankey
2015,2015-10-25,6,7,23.040,TEN,ATL,False,0,0,,0,1,0,0,,0,0.0%,0.00,1,27,27.00,0,0,0,0,0,0,0,0,0,2,4%,0,0%,3,14%,False,False,7,10,Bishop Sankey
2015,2015-11-01,7,8,23.047,TEN,HOU,False,0,0,,0,0,0,0,,0,0.0%,,2,36,18.00,0,0,0,1,1,0,0,0,0,0,0%,0,0%,2,7%,True,False,6,20,Bishop Sankey
2015,2015-11-08,8,9,,TEN,NOR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,34,28,Bishop Sankey
2015,2015-11-15,9,10,23.061,TEN,CAR,False,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,3,7%,0,0%,0,0%,False,False,10,27,Bishop Sankey
