Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-12-13,13,14,25.079,NYJ,TAM,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,26,3,Dustin Keller
2009,2009-12-20,14,15,25.086,NYJ,ATL,True,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,7,10,Dustin Keller
2009,2009-12-27,15,16,25.093,NYJ,IND,True,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,1,0,2,0,,0,0,0,0,,,,,,,True,True,29,15,Dustin Keller
2009,2010-01-03,16,17,25.100,NYJ,CIN,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,37,0,Dustin Keller
2010,2010-09-13,1,1,25.353,NYJ,BAL,True,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,9,10,Dustin Keller
2010,2010-09-19,2,2,25.359,NYJ,NWE,True,9,7,115,16.43,1,77.8%,12.78,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,28,14,Dustin Keller
2010,2010-09-26,3,3,26.001,NYJ,MIA,True,10,6,98,16.33,2,60.0%,9.80,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,True,31,23,Dustin Keller
2010,2010-10-03,4,4,26.008,NYJ,BUF,True,6,4,28,7.00,2,66.7%,4.67,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,True,38,14,Dustin Keller
2010,2010-10-11,5,5,26.016,NYJ,MIN,True,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,29,20,Dustin Keller
2010,2010-10-17,6,6,26.022,NYJ,DEN,False,6,3,75,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,24,20,Dustin Keller
2010,2010-10-31,7,8,26.036,NYJ,GNB,True,6,2,45,22.50,0,33.3%,7.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,0,9,Dustin Keller
2010,2010-11-07,8,9,26.043,NYJ,DET,True,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Dustin Keller
2010,2010-11-14,9,10,26.050,NYJ,CLE,False,9,3,25,8.33,0,33.3%,2.78,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,26,20,Dustin Keller
2010,2010-11-21,10,11,26.057,NYJ,HOU,True,6,2,7,3.50,0,33.3%,1.17,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,30,27,Dustin Keller
2010,2010-11-25,11,12,26.061,NYJ,CIN,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,26,10,Dustin Keller
2010,2010-12-06,12,13,26.072,NYJ,NWE,True,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,45,Dustin Keller
2010,2010-12-12,13,14,26.078,NYJ,MIA,True,12,3,34,11.33,0,25.0%,2.83,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,6,10,Dustin Keller
2010,2010-12-19,14,15,26.085,NYJ,PIT,True,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,22,17,Dustin Keller
2010,2010-12-26,15,16,26.092,NYJ,CHI,False,9,7,79,11.29,0,77.8%,8.78,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,34,38,Dustin Keller
2010,2011-01-02,16,17,26.099,NYJ,BUF,True,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,38,7,Dustin Keller
2011,2011-09-11,1,1,26.351,NYJ,DAL,True,8,5,61,12.20,1,62.5%,7.63,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,27,24,Dustin Keller
2011,2011-09-18,2,2,26.358,NYJ,JAX,True,6,6,101,16.83,1,100.0%,16.83,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,32,3,Dustin Keller
2011,2011-09-25,3,3,27.000,NYJ,OAK,True,9,5,87,17.40,0,55.6%,9.67,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,24,34,Dustin Keller
2011,2011-10-02,4,4,27.007,NYJ,BAL,True,8,2,12,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,34,Dustin Keller
2011,2011-10-09,5,5,27.014,NYJ,NWE,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,21,30,Dustin Keller
2011,2011-10-17,6,6,27.022,NYJ,MIA,True,5,2,51,25.50,0,40.0%,10.20,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,24,6,Dustin Keller
2011,2011-10-23,7,7,27.028,NYJ,SDG,True,8,4,53,13.25,0,50.0%,6.63,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,27,21,Dustin Keller
2011,2011-11-06,8,9,27.042,NYJ,BUF,False,7,4,64,16.00,0,57.1%,9.14,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,27,11,Dustin Keller
2011,2011-11-13,9,10,27.049,NYJ,NWE,False,4,2,37,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,16,37,Dustin Keller
2011,2011-11-17,10,11,27.053,NYJ,DEN,True,8,5,40,8.00,0,62.5%,5.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,17,Dustin Keller
2011,2011-11-27,11,12,27.063,NYJ,BUF,True,8,4,61,15.25,2,50.0%,7.63,0,0,,0,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,28,24,Dustin Keller
2011,2011-12-04,12,13,27.070,NYJ,WAS,True,6,3,12,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,34,19,Dustin Keller
2011,2011-12-11,13,14,27.077,NYJ,KAN,False,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,37,10,Dustin Keller
2011,2011-12-18,14,15,27.084,NYJ,PHI,True,6,3,73,24.33,0,50.0%,12.17,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,19,45,Dustin Keller
2011,2011-12-24,15,16,27.090,NYJ,NYG,True,18,8,77,9.63,0,44.4%,4.28,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,14,29,Dustin Keller
2011,2012-01-01,16,17,27.098,NYJ,MIA,True,7,7,45,6.43,1,100.0%,6.43,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,17,19,Dustin Keller
2012,2012-09-09,1,1,27.350,NYJ,BUF,True,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,29,45%,0,0%,2,7%,False,True,48,28,Dustin Keller
2012,2012-09-16,2,2,,NYJ,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,27,Dustin Keller
2012,2012-09-23,3,3,,NYJ,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,23,20,Dustin Keller
