Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-11-19,11,11,23.105,KAN,@,LAR,L 51-54,True,14,70,5.00,0,4,3,41,13.67,1,75.0%,10.25,,1,6,0,0,0,0,0,0,61,85%,0,0%,0,0%,True,Kareem Hunt
2019,2019-09-08,1,1,,CLE,,TEN,L 13-43,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Kareem Hunt
2019,2019-09-16,2,2,,CLE,@,NYJ,W 23-3,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Kareem Hunt
2019,2019-09-22,3,3,,CLE,,LAR,L 13-20,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Kareem Hunt
2019,2019-09-29,4,4,,CLE,@,BAL,W 40-25,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Kareem Hunt
2019,2019-10-07,5,5,,CLE,@,SFO,L 3-31,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Kareem Hunt
2019,2019-10-13,6,6,,CLE,,SEA,L 28-32,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Kareem Hunt
2019,2019-10-27,7,8,,CLE,@,NWE,L 13-27,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Kareem Hunt
2019,2019-11-03,8,9,,CLE,@,DEN,L 19-24,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Kareem Hunt
2019,2019-11-10,9,10,24.096,CLE,,BUF,W 19-16,False,4,30,7.50,0,9,7,44,6.29,0,77.8%,4.89,,0,0,0,0,0,0,0,0,38,55%,0,0%,0,0%,False,Kareem Hunt
2019,2019-11-14,10,11,24.100,CLE,,PIT,W 21-7,False,6,12,2.00,0,8,6,46,7.67,0,75.0%,5.75,,0,0,0,0,0,0,0,0,38,54%,0,0%,0,0%,False,Kareem Hunt
2019,2019-11-24,11,12,24.110,CLE,,MIA,W 41-24,False,8,37,4.63,1,3,2,9,4.50,0,66.7%,3.00,,1,6,1,0,0,0,-6,0,42,56%,0,0%,0,0%,False,Kareem Hunt
2019,2019-12-01,12,13,24.117,CLE,@,PIT,L 13-20,False,7,46,6.57,0,5,5,19,3.80,1,100.0%,3.80,,1,6,0,0,0,0,0,0,44,67%,0,0%,0,0%,True,Kareem Hunt
2019,2019-12-08,13,14,24.124,CLE,,CIN,W 27-19,True,9,28,3.11,1,2,2,40,20.00,0,100.0%,20.00,,1,6,0,0,0,0,0,0,34,63%,0,0%,0,0%,False,Kareem Hunt
2019,2019-12-15,14,15,24.131,CLE,@,ARI,L 24-38,True,4,14,3.50,0,9,8,62,7.75,0,88.9%,6.89,,0,0,0,0,0,0,0,0,43,61%,0,0%,0,0%,True,Kareem Hunt
2019,2019-12-22,15,16,24.138,CLE,,BAL,L 15-31,False,2,8,4.00,0,4,4,33,8.25,0,100.0%,8.25,,0,0,0,0,0,0,0,0,34,57%,0,0%,0,0%,False,Kareem Hunt
2019,2019-12-29,16,17,24.145,CLE,@,CIN,L 23-33,True,3,4,1.33,0,4,3,32,10.67,0,75.0%,8.00,,0,0,0,0,0,0,0,0,36,67%,0,0%,0,0%,True,Kareem Hunt
2020,2020-09-13,1,1,25.038,CLE,@,BAL,L 6-38,False,13,72,5.54,0,6,4,9,2.25,0,66.7%,1.50,,0,0,1,0,0,1,0,0,36,49%,0,0%,0,0%,True,Kareem Hunt
2020,2020-09-17,2,2,25.042,CLE,,CIN,W 35-30,False,10,86,8.60,1,2,2,15,7.50,1,100.0%,7.50,,2,12,0,0,0,0,0,0,20,34%,0,0%,0,0%,False,Kareem Hunt
2020,2020-09-27,3,3,25.052,CLE,,WAS,W 34-20,False,16,46,2.88,0,3,2,18,9.00,1,66.7%,6.00,,1,6,0,0,0,0,0,0,29,46%,0,0%,0,0%,False,Kareem Hunt
2020,2020-10-04,4,4,25.059,CLE,@,DAL,W 49-38,False,11,71,6.45,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,26,34%,0,0%,0,0%,True,Kareem Hunt
2020,2020-10-11,5,5,25.066,CLE,,IND,W 32-23,True,20,72,3.60,0,4,3,21,7.00,1,75.0%,5.25,,1,6,0,0,0,0,0,0,51,70%,0,0%,0,0%,False,Kareem Hunt
2020,2020-10-18,6,6,25.073,CLE,@,PIT,L 7-38,True,13,40,3.08,0,3,2,17,8.50,0,66.7%,5.67,,0,0,0,0,0,0,0,0,30,53%,0,0%,0,0%,True,Kareem Hunt
2020,2020-10-25,7,7,25.080,CLE,@,CIN,W 37-34,True,18,76,4.22,0,4,3,26,8.67,1,75.0%,6.50,,1,6,0,0,0,0,0,0,47,90%,0,0%,0,0%,True,Kareem Hunt
2020,2020-11-01,8,8,25.087,CLE,,LVR,L 6-16,True,14,66,4.71,0,3,2,7,3.50,0,66.7%,2.33,,0,0,0,0,0,0,0,0,42,86%,0,0%,0,0%,False,Kareem Hunt
2020,2020-11-15,9,10,25.101,CLE,,HOU,W 10-7,False,19,104,5.47,0,4,3,28,9.33,0,75.0%,7.00,,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,Kareem Hunt
2020,2020-11-22,10,11,25.108,CLE,,PHI,W 22-17,False,13,11,0.85,1,1,1,10,10.00,0,100.0%,10.00,,1,6,0,0,0,1,0,0,36,54%,0,0%,0,0%,False,Kareem Hunt
2020,2020-11-29,11,12,25.115,CLE,@,JAX,W 27-25,False,10,62,6.20,0,2,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,Kareem Hunt
2020,2020-12-06,12,13,25.122,CLE,@,TEN,W 41-35,False,14,33,2.36,0,3,3,24,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,35,48%,0,0%,0,0%,True,Kareem Hunt
2020,2020-12-14,13,14,25.130,CLE,,BAL,L 42-47,False,6,33,5.50,1,7,6,77,12.83,1,85.7%,11.00,,2,12,1,0,0,1,-2,0,39,46%,0,0%,0,0%,False,Kareem Hunt
2020,2020-12-20,14,15,25.136,CLE,@,NYG,W 20-6,False,7,21,3.00,0,3,3,7,2.33,0,100.0%,2.33,,0,0,0,0,0,1,0,0,21,33%,0,0%,0,0%,True,Kareem Hunt
2020,2020-12-27,15,16,25.143,CLE,@,NYJ,L 16-23,True,4,11,2.75,1,5,3,41,13.67,0,60.0%,8.20,,1,6,0,0,0,1,0,0,35,43%,0,0%,0,0%,True,Kareem Hunt
2020,2021-01-03,16,17,25.150,CLE,,PIT,W 24-22,False,10,37,3.70,0,1,1,4,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,False,Kareem Hunt
2021,2021-09-12,1,1,26.037,CLE,@,KAN,L 29-33,False,6,33,5.50,1,3,3,28,9.33,0,100.0%,9.33,1,1,8,0,0,0,0,0,0,28,47%,0,0%,0,0%,True,Kareem Hunt
2021,2021-09-19,2,2,26.044,CLE,,HOU,W 31-21,False,13,51,3.92,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,False,Kareem Hunt
2021,2021-09-26,3,3,26.051,CLE,,CHI,W 26-6,False,10,81,8.10,1,7,6,74,12.33,0,85.7%,10.57,,1,6,0,0,0,0,0,0,33,41%,0,0%,0,0%,False,Kareem Hunt
2021,2021-10-03,4,4,26.058,CLE,@,MIN,W 14-7,False,14,69,4.93,1,4,2,17,8.50,0,50.0%,4.25,,1,6,0,0,0,0,0,0,41,53%,0,0%,0,0%,True,Kareem Hunt
2021,2021-10-10,5,5,26.065,CLE,@,LAC,L 42-47,False,12,61,5.08,2,6,5,28,5.60,0,83.3%,4.67,,2,12,0,0,0,0,0,0,32,44%,0,0%,0,0%,True,Kareem Hunt
2021,2021-10-17,6,6,26.072,CLE,,ARI,L 14-37,True,14,66,4.71,0,3,3,12,4.00,0,100.0%,4.00,,0,0,0,0,0,0,0,0,41,69%,0,0%,0,0%,False,Kareem Hunt
2021,2021-10-21,7,7,,CLE,,DEN,W 17-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kareem Hunt
2021,2021-10-31,8,8,,CLE,,PIT,L 10-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kareem Hunt
2021,2021-11-07,9,9,,CLE,@,CIN,W 41-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kareem Hunt
2021,2021-11-14,10,10,,CLE,@,NWE,L 7-45,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kareem Hunt
2021,2021-11-21,11,11,,CLE,,DET,W 13-10,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kareem Hunt
2021,2021-11-28,12,12,26.114,CLE,@,BAL,L 10-16,False,7,20,2.86,0,1,0,0,,0,0.0%,0.00,,0,0,0,0,0,0,0,0,23,38%,0,0%,0,0%,True,Kareem Hunt
2021,2021-12-12,13,14,26.128,CLE,,BAL,W 24-22,False,2,5,2.50,0,2,2,13,6.50,0,100.0%,6.50,,0,0,0,0,0,0,0,0,13,20%,0,0%,0,0%,False,Kareem Hunt
2021,2021-12-20,14,15,,CLE,,LVR,L 14-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Kareem Hunt
2021,2021-12-25,15,16,,CLE,@,GNB,L 22-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Kareem Hunt
2021,2022-01-03,16,17,,CLE,@,PIT,L 14-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kareem Hunt
2021,2022-01-09,17,18,,CLE,,CIN,W 21-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kareem Hunt
,59 Games,,,,,,,38-21-0,False,772,3557,4.61,28,220,176,1596,9.07,16,80.0%,7.25,1,44,266,4,1,0,5,-8,0,,,,,,,False,Kareem Hunt
