Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-12-20,15,16,,DAL,BAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,24,33,Felix Jones
2008,2008-12-28,16,17,,DAL,PHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,6,44,Felix Jones
2009,2009-09-13,1,1,22.128,DAL,TAM,False,6,22,3.67,0,0,0,0,,0,0.0%,,2,50,25.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,21,Felix Jones
2009,2009-09-20,2,2,22.135,DAL,NYG,False,7,96,13.71,1,1,0,0,,0,0.0%,0.00,6,134,22.33,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,31,33,Felix Jones
2009,2009-09-28,3,3,22.143,DAL,CAR,True,8,94,11.75,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,7,Felix Jones
2009,2009-10-04,4,4,,DAL,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,17,Felix Jones
2009,2009-10-11,5,5,,DAL,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,26,20,Felix Jones
2009,2009-10-25,6,7,22.170,DAL,ATL,False,8,37,4.63,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,37,21,Felix Jones
2009,2009-11-01,7,8,22.177,DAL,SEA,False,8,39,4.88,0,1,1,30,30.00,0,100.0%,30.00,3,45,15.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,17,Felix Jones
2009,2009-11-08,8,9,22.184,DAL,PHI,False,4,10,2.50,0,0,0,0,,0,0.0%,,5,105,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,True,True,20,16,Felix Jones
2009,2009-11-15,9,10,22.191,DAL,GNB,False,3,6,2.00,0,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,17,Felix Jones
