Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,22.035,JAX,IND,W 27-20,True,16,62,3.88,0,1,1,28,28.00,0,100.0%,28.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,34,68%,0,0%,0,0%,False,James Robinson,True,27,20
2020.0,2020-09-20,2.0,2.0,22.042,JAX,TEN,L 30-33,True,16,102,6.38,1,4,3,18,6.00,0,75.0%,4.50,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,38,50%,0,0%,0,0%,True,James Robinson,False,30,33
2020.0,2020-09-24,3.0,3.0,22.046,JAX,MIA,L 13-31,True,11,46,4.18,2,6,6,83,13.83,0,100.0%,13.83,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,False,James Robinson,False,13,31
2020.0,2020-10-04,4.0,4.0,22.056,JAX,CIN,L 25-33,True,17,75,4.41,0,4,4,32,8.00,0,100.0%,8.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,76%,0,0%,0,0%,True,James Robinson,False,25,33
2020.0,2020-10-11,5.0,5.0,22.063,JAX,HOU,L 14-30,True,13,48,3.69,0,7,5,22,4.40,0,71.4%,3.14,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,43,57%,0,0%,0,0%,True,James Robinson,False,14,30
2020.0,2020-10-18,6.0,6.0,22.07,JAX,DET,L 16-34,True,12,29,2.42,0,4,4,24,6.00,1,100.0%,6.00,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,44,69%,0,0%,0,0%,False,James Robinson,False,16,34
2020.0,2020-10-25,7.0,7.0,22.077,JAX,LAC,L 29-39,True,22,119,5.41,1,6,4,18,4.50,1,66.7%,3.00,1,2,14,0.0,0,0,0,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,James Robinson,False,29,39
2020.0,2020-11-08,8.0,9.0,22.091,JAX,HOU,L 25-27,True,25,99,3.96,1,2,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,50,72%,0,0%,0,0%,False,James Robinson,False,25,27
2020.0,2020-11-15,9.0,10.0,22.098,JAX,GNB,L 20-24,True,23,109,4.74,0,5,2,3,1.50,0,40.0%,0.60,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,True,James Robinson,False,20,24
2020.0,2020-11-22,10.0,11.0,22.105,JAX,PIT,L 3-27,True,17,73,4.29,0,2,2,21,10.50,0,100.0%,10.50,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,71%,0,0%,0,0%,False,James Robinson,False,3,27
2020.0,2020-11-29,11.0,12.0,22.112,JAX,CLE,L 25-27,True,22,128,5.82,1,6,5,31,6.20,0,83.3%,5.17,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,63,97%,0,0%,0,0%,False,James Robinson,False,25,27
2020.0,2020-12-06,12.0,13.0,22.119,JAX,MIN,L 24-27,True,18,78,4.33,1,6,6,30,5.00,0,100.0%,5.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,85%,0,0%,0,0%,True,James Robinson,False,24,27
2020.0,2020-12-13,13.0,14.0,22.126,JAX,TEN,L 10-31,True,12,67,5.58,0,4,4,16,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,56%,0,0%,0,0%,False,James Robinson,False,10,31
2020.0,2020-12-20,14.0,15.0,22.133,JAX,BAL,L 14-40,True,16,35,2.19,0,3,3,18,6.00,1,100.0%,6.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,True,James Robinson,False,14,40
2020.0,2020-12-27,15.0,16.0,,JAX,CHI,L 17-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,James Robinson,False,17,41
2020.0,2021-01-03,16.0,17.0,,JAX,IND,L 14-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,James Robinson,False,14,28
