Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-10-12,5,5,24.210,PIT,@,SDG,W 24-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,26%,True,Chris Boswell
2015,2015-10-18,6,6,24.216,PIT,,ARI,W 25-13,False,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,41%,False,Chris Boswell
2015,2015-10-25,7,7,24.223,PIT,@,KAN,L 13-23,False,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,29%,True,Chris Boswell
2015,2015-11-01,8,8,24.230,PIT,,CIN,L 10-16,False,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,5,19%,False,Chris Boswell
2015,2015-11-08,9,9,24.237,PIT,,OAK,W 38-35,False,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,15,39%,False,Chris Boswell
2015,2015-11-15,10,10,24.244,PIT,,CLE,W 30-9,False,0,0,,0,0,0,,0,0,,,1,2,50.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,57%,False,Chris Boswell
2015,2015-11-29,11,12,24.258,PIT,@,SEA,L 30-39,False,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,12,39%,True,Chris Boswell
2015,2015-12-06,12,13,24.265,PIT,,IND,W 45-10,False,0,0,,0,0,0,,0,0,,,4,4,100.0,3,4,75.0,0,13,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,17,61%,False,Chris Boswell
2015,2015-12-13,13,14,24.272,PIT,@,CIN,W 33-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,48%,True,Chris Boswell
2015,2015-12-20,14,15,24.279,PIT,,DEN,W 34-27,False,0,0,,0,0,0,,0,0,,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,38%,False,Chris Boswell
2015,2015-12-27,15,16,24.286,PIT,@,BAL,L 17-20,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,7,28%,True,Chris Boswell
2015,2016-01-03,16,17,24.293,PIT,@,CLE,W 28-12,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,44%,True,Chris Boswell
2016,2016-09-12,1,1,25.180,PIT,@,WAS,W 38-16,False,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,52%,True,Chris Boswell
2016,2016-09-18,2,2,25.186,PIT,,CIN,W 24-16,False,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,26%,False,Chris Boswell
2016,2016-09-25,3,3,25.193,PIT,@,PHI,L 3-34,False,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,15%,True,Chris Boswell
2016,2016-10-02,4,4,25.200,PIT,,KAN,W 43-14,False,0,0,,0,0,0,,0,0,,,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,41%,False,Chris Boswell
2016,2016-10-09,5,5,25.207,PIT,,NYJ,W 31-13,False,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,12,43%,False,Chris Boswell
2016,2016-10-16,6,6,25.214,PIT,@,MIA,L 15-30,False,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,4,15%,True,Chris Boswell
2016,2016-10-23,7,7,25.221,PIT,,NWE,L 16-27,False,0,0,,0,0,0,,0,0,,,1,1,100.0,3,5,60.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,37%,False,Chris Boswell
2016,2016-11-06,8,9,25.235,PIT,@,BAL,L 14-21,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,6,17%,True,Chris Boswell
2016,2016-11-13,9,10,25.242,PIT,,DAL,L 30-35,False,0,0,,0,0,0,,0,0,,,,,,2,3,66.7,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,10,33%,False,Chris Boswell
2016,2016-11-20,10,11,25.249,PIT,@,CLE,W 24-9,False,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,43%,True,Chris Boswell
2016,2016-11-24,11,12,25.253,PIT,@,IND,W 28-7,False,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,41%,True,Chris Boswell
2016,2016-12-04,12,13,,PIT,,NYG,W 24-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Boswell
2016,2016-12-11,13,14,25.270,PIT,@,BUF,W 27-20,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,11,42%,True,Chris Boswell
