Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-10-31,8.0,8.0,24.04,CHI,MIN,W 20-10,True,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,53,87%,0,0%,1,4%,False,Cameron Meredith,True,20,10
2016.0,2016-11-13,9.0,10.0,24.053,CHI,TAM,L 10-36,True,2,1,50,50.00,1,50.0%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,54,96%,0,0%,0,0%,True,Cameron Meredith,False,10,36
2016.0,2016-11-20,10.0,11.0,24.06,CHI,NYG,L 16-22,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,56,89%,0,0%,0,0%,True,Cameron Meredith,False,16,22
2016.0,2016-11-27,11.0,12.0,24.067,CHI,TEN,L 21-27,True,9,2,19,9.50,0,22.2%,2.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,69,86%,0,0%,0,0%,False,Cameron Meredith,False,21,27
2016.0,2016-12-04,12.0,13.0,24.074,CHI,SFO,W 26-6,False,4,3,67,22.33,0,75.0%,16.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,49,78%,0,0%,1,3%,False,Cameron Meredith,True,26,6
2016.0,2016-12-11,13.0,14.0,24.081,CHI,DET,L 17-20,True,8,6,72,12.00,1,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,45,80%,0,0%,0,0%,True,Cameron Meredith,False,17,20
2016.0,2016-12-18,14.0,15.0,24.088,CHI,GNB,L 27-30,True,13,9,104,11.56,0,69.2%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,0,0,0,57,86%,0,0%,0,0%,False,Cameron Meredith,False,27,30
2016.0,2016-12-24,15.0,16.0,24.094,CHI,WAS,L 21-41,True,12,9,135,15.00,1,75.0%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,0,0,0,62,90%,0,0%,0,0%,False,Cameron Meredith,False,21,41
2016.0,2017-01-01,16.0,17.0,24.102,CHI,MIN,L 10-38,True,6,4,61,15.25,0,66.7%,10.17,0,0,,0,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,0,0,0,0,0,0,0,0,47,78%,0,0%,0,0%,True,Cameron Meredith,False,10,38
2018.0,2018-09-09,1.0,1.0,,NOR,TAM,L 40-48,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Cameron Meredith,False,40,48
