Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,21.081,MIN,,ATL,W 28-12,False,9,49,5.44,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,12,22%,0,0%,0,0%,False,Alexander Mattison
2019,2019-09-15,2,2,21.088,MIN,@,GNB,L 16-21,False,4,25,6.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,8,12%,0,0%,0,0%,True,Alexander Mattison
2019,2019-09-22,3,3,21.095,MIN,,OAK,W 34-14,False,12,58,4.83,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,19,31%,0,0%,0,0%,False,Alexander Mattison
2019,2019-09-29,4,4,21.102,MIN,@,CHI,L 6-16,False,2,5,2.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0,0,0,0,0,0,6,10%,0,0%,0,0%,True,Alexander Mattison
2019,2019-10-06,5,5,21.109,MIN,@,NYG,W 28-10,False,7,52,7.43,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,16,24%,0,0%,0,0%,True,Alexander Mattison
2019,2019-10-13,6,6,21.116,MIN,,PHI,W 38-20,False,14,63,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1,1,0,0,0,0,21,30%,0,0%,0,0%,False,Alexander Mattison
2019,2019-10-20,7,7,21.123,MIN,@,DET,W 42-30,False,7,18,2.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,1,0,0,21,29%,0,0%,0,0%,True,Alexander Mattison
2019,2019-10-24,8,8,21.127,MIN,,WAS,W 19-9,False,13,61,4.69,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,0,0,0,0,0,0,19,26%,0,0%,0,0%,False,Alexander Mattison
2019,2019-11-03,9,9,21.137,MIN,@,KAN,L 23-26,False,3,6,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,True,Alexander Mattison
2019,2019-11-10,10,10,21.144,MIN,@,DAL,W 28-24,False,8,52,6.50,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0,0,0,0,0,0,12,17%,0,0%,0,0%,True,Alexander Mattison
2019,2019-11-17,11,11,21.151,MIN,,DEN,W 27-23,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,Alexander Mattison
2019,2019-12-02,12,13,21.166,MIN,@,SEA,L 30-37,False,4,22,5.50,0,5,4,51,12.75,0,80.0%,10.20,0,0,,0,0,0,0,0,0,1,0,0,26,48%,0,0%,0,0%,True,Alexander Mattison
2019,2019-12-08,13,14,21.172,MIN,,DET,W 20-7,False,14,46,3.29,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,False,Alexander Mattison
2019,2019-12-15,14,15,,MIN,@,LAC,W 39-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Alexander Mattison
2019,2019-12-23,15,16,,MIN,,GNB,L 10-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Alexander Mattison
