Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-11-30,11.0,12.0,22.068,CLE,BAL,L 27-33,True,7,27,3.86,0,6,5,23,4.60,0,83.3%,3.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,64%,0,0%,1,3%,False,Duke Johnson,False,27,33
2015.0,2015-12-06,12.0,13.0,22.074,CLE,CIN,L 3-37,False,5,2,0.40,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,51%,0,0%,0,0%,False,Duke Johnson,False,3,37
2015.0,2015-12-13,13.0,14.0,22.081,CLE,SFO,W 24-10,True,13,78,6.00,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,56%,0,0%,0,0%,False,Duke Johnson,True,24,10
2015.0,2015-12-20,14.0,15.0,22.088,CLE,SEA,L 13-30,True,4,46,11.50,0,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,30,55%,0,0%,0,0%,True,Duke Johnson,False,13,30
2015.0,2015-12-27,15.0,16.0,22.095,CLE,KAN,L 13-17,True,8,26,3.25,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,60%,0,0%,0,0%,True,Duke Johnson,False,13,17
2015.0,2016-01-03,16.0,17.0,22.102,CLE,PIT,L 12-28,False,4,11,2.75,0,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,47%,0,0%,0,0%,False,Duke Johnson,False,12,28
2016.0,2016-09-11,1.0,1.0,22.354,CLE,PHI,L 10-29,False,3,22,7.33,0,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,44%,0,0%,1,3%,True,Duke Johnson,False,10,29
2016.0,2016-09-18,2.0,2.0,22.361,CLE,BAL,L 20-25,False,3,12,4.00,0,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,50%,0,0%,5,19%,False,Duke Johnson,False,20,25
2016.0,2016-09-25,3.0,3.0,23.002,CLE,MIA,L 24-30,False,10,69,6.90,0,7,5,12,2.40,0,71.4%,1.71,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,50%,0,0%,0,0%,True,Duke Johnson,False,24,30
2016.0,2016-10-02,4.0,4.0,23.009,CLE,WAS,L 20-31,False,8,45,5.63,0,8,6,31,5.17,0,75.0%,3.88,0,0,,0,0,0,,0,0,,,0,0,,0,1,18,18.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,41,57%,0,0%,1,4%,True,Duke Johnson,False,20,31
