Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-05,1.0,1.0,23.357,CHI,GNB,L 3-10,False,,,,1,1,100.0,0,3,0,0%,0,0%,3,12%,False,Eddy Pineiro,False,3,10
2019.0,2019-09-15,2.0,2.0,24.002,CHI,DEN,W 16-14,False,1,1,100.0,3,3,100.0,0,10,0,0%,0,0%,8,32%,True,Eddy Pineiro,True,16,14
2019.0,2019-09-23,3.0,3.0,24.01,CHI,WAS,W 31-15,False,4,4,100.0,1,2,50.0,0,7,0,0%,0,0%,6,29%,True,Eddy Pineiro,True,31,15
2019.0,2019-09-29,4.0,4.0,24.016,CHI,MIN,W 16-6,False,1,1,100.0,3,3,100.0,0,10,0,0%,0,0%,4,20%,False,Eddy Pineiro,True,16,6
2019.0,2019-10-06,5.0,5.0,24.023,CHI,OAK,L 21-24,False,3,3,100.0,,,,0,3,0,0%,0,0%,3,11%,True,Eddy Pineiro,False,21,24
2019.0,2019-10-20,6.0,7.0,24.037,CHI,NOR,L 25-36,False,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,8,23%,False,Eddy Pineiro,False,25,36
2019.0,2019-10-27,7.0,8.0,24.044,CHI,LAC,L 16-17,False,1,1,100.0,3,5,60.0,0,10,0,0%,0,0%,10,38%,False,Eddy Pineiro,False,16,17
2019.0,2019-11-03,8.0,9.0,24.051,CHI,PHI,L 14-22,False,2,2,100.0,,,,0,2,0,0%,0,0%,5,17%,True,Eddy Pineiro,False,14,22
2019.0,2019-11-10,9.0,10.0,24.058,CHI,DET,W 20-13,False,2,3,66.7,,,,0,2,0,0%,0,0%,7,23%,False,Eddy Pineiro,True,20,13
2019.0,2019-11-17,10.0,11.0,24.065,CHI,LAR,L 7-17,False,1,1,100.0,,2,0.0,0,1,0,0%,0,0%,5,20%,True,Eddy Pineiro,False,7,17
2019.0,2019-11-24,11.0,12.0,24.072,CHI,NYG,W 19-14,False,1,2,50.0,2,2,100.0,0,7,1,1%,0,0%,9,32%,False,Eddy Pineiro,True,19,14
2019.0,2019-11-28,12.0,13.0,24.076,CHI,DET,W 24-20,False,3,3,100.0,1,1,100.0,0,6,1,2%,0,0%,9,33%,True,Eddy Pineiro,True,24,20
2019.0,2019-12-05,13.0,14.0,24.083,CHI,DAL,W 31-24,False,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,11,37%,False,Eddy Pineiro,True,31,24
2019.0,2019-12-15,14.0,15.0,24.093,CHI,GNB,L 13-21,False,1,1,100.0,2,2,100.0,0,7,0,0%,0,0%,7,26%,True,Eddy Pineiro,False,13,21
2019.0,2019-12-22,15.0,16.0,24.1,CHI,KAN,L 3-26,False,,,,1,1,100.0,0,3,0,0%,0,0%,3,15%,False,Eddy Pineiro,False,3,26
2019.0,2019-12-29,16.0,17.0,24.107,CHI,MIN,W 21-19,False,1,1,100.0,4,4,100.0,0,13,0,0%,0,0%,11,44%,True,Eddy Pineiro,True,21,19
2021.0,2021-09-12,1.0,1.0,,WAS,LAC,L 16-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Eddy Pineiro,False,16,20
2021.0,2021-12-12,13.0,14.0,26.09,NYJ,NOR,L 9-30,False,,,,3,3,100.0,0,9,0,0%,0,0%,3,10%,False,Eddy Pineiro,False,9,30
2021.0,2021-12-19,14.0,15.0,26.097,NYJ,MIA,L 24-31,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,4,13%,True,Eddy Pineiro,False,24,31
2021.0,2021-12-26,15.0,16.0,26.104,NYJ,JAX,W 26-21,False,2,3,66.7,2,2,100.0,0,8,0,0%,0,0%,6,25%,False,Eddy Pineiro,True,26,21
2021.0,2022-01-02,16.0,17.0,26.111,NYJ,TAM,L 24-28,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,4,15%,False,Eddy Pineiro,False,24,28
2021.0,2022-01-09,17.0,18.0,26.118,NYJ,BUF,L 10-27,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,2,6%,True,Eddy Pineiro,False,10,27
,21 Games,,,,,,9-12-0,False,36,39,92.3,31,36,86.1,0,129,,,,,,,False,Eddy Pineiro,False,12,0
