Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,23.029,DEN,JAX,False,0,0,,0,0,0,,0,,,,2,2,1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,24,Tim Tebow
2010,2010-09-19,2,2,,DEN,SEA,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,31,14,Tim Tebow
2010,2010-09-26,3,3,,DEN,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,27,Tim Tebow
2010,2010-10-03,4,4,,DEN,TEN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,26,20,Tim Tebow
2010,2010-10-10,5,5,,DEN,BAL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,17,31,Tim Tebow
2010,2010-10-17,6,6,23.064,DEN,NYJ,False,0,0,,0,0,0,,0,,,,6,23,3.83,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,24,Tim Tebow
2010,2010-10-24,7,7,23.071,DEN,OAK,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,14,59,Tim Tebow
2010,2010-10-31,8,8,23.078,DEN,SFO,False,0,0,,0,0,0,,0,,,,2,1,0.50,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,16,24,Tim Tebow
2010,2010-11-14,9,10,23.092,DEN,KAN,False,1,1,100.00,3,1,0,118.7,0,0,3.00,23.00,2,2,1.00,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,49,29,Tim Tebow
2010,2010-11-22,10,11,23.100,DEN,SDG,False,,,,,,,,0,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,14,35,Tim Tebow
2010,2010-11-28,11,12,,DEN,STL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,33,36,Tim Tebow
2010,2010-12-05,12,13,,DEN,KAN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,6,10,Tim Tebow
2010,2010-12-12,13,14,,DEN,ARI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,43,Tim Tebow
2010,2010-12-19,14,15,23.127,DEN,OAK,True,8,16,50.00,138,1,0,100.5,2,9,8.63,9.88,8,78,9.75,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,39,Tim Tebow
2010,2010-12-26,15,16,23.134,DEN,HOU,True,16,29,55.17,308,1,1,89.4,1,3,10.62,9.76,10,27,2.70,1,,1,6,0.0,0,0,0,,,1,0,0,1,-1,0,,,,,,,False,True,24,23,Tim Tebow
2010,2011-01-02,16,17,23.141,DEN,SDG,True,16,36,44.44,205,2,2,58.2,3,14,5.69,4.31,13,94,7.23,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,28,33,Tim Tebow
2011,2011-09-12,1,1,,DEN,OAK,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,20,23,Tim Tebow
2011,2011-09-18,2,2,24.035,DEN,CIN,False,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,24,22,Tim Tebow
2011,2011-09-25,3,3,,DEN,TEN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,17,Tim Tebow
2011,2011-10-02,4,4,24.049,DEN,GNB,False,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,49,Tim Tebow
2011,2011-10-09,5,5,24.056,DEN,SDG,False,4,10,40.00,79,1,0,101.7,0,0,7.90,9.90,6,38,6.33,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,29,Tim Tebow
2011,2011-10-23,6,7,24.070,DEN,MIA,True,13,27,48.15,161,2,0,91.7,6,30,5.96,7.44,9,59,6.56,0,1,0,2,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,18,15,Tim Tebow
2011,2011-10-30,7,8,24.077,DEN,DET,True,18,39,46.15,172,1,1,56.8,7,55,4.41,3.77,10,63,6.30,0,,0,0,0.0,0,0,0,,,3,1,0,2,-3,0,,,,,,,False,False,10,45,Tim Tebow
2011,2011-11-06,8,9,24.084,DEN,OAK,True,10,21,47.62,124,2,0,98.1,1,11,5.90,7.81,13,118,9.08,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,24,Tim Tebow
2011,2011-11-13,9,10,24.091,DEN,KAN,True,2,8,25.00,69,1,0,102.6,0,0,8.63,11.13,9,43,4.78,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,10,Tim Tebow
2011,2011-11-17,10,11,24.095,DEN,NYJ,True,9,20,45.00,104,0,0,61.2,1,0,5.20,5.20,8,68,8.50,1,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,13,Tim Tebow
2011,2011-11-27,11,12,24.105,DEN,SDG,True,9,18,50.00,143,1,0,95.4,1,2,7.94,9.06,22,67,3.05,0,,0,0,0.0,0,0,0,,,1,0,0,0,-1,0,,,,,,,True,True,16,13,Tim Tebow
2011,2011-12-04,12,13,24.112,DEN,MIN,True,10,15,66.67,202,2,0,149.3,2,16,13.47,16.13,4,13,3.25,0,1,0,2,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,True,35,32,Tim Tebow
2011,2011-12-11,13,14,24.119,DEN,CHI,True,21,40,52.50,236,1,1,68.3,5,15,5.90,5.28,12,49,4.08,0,,0,0,0.0,0,0,0,,,2,1,0,0,0,0,,,,,,,False,True,13,10,Tim Tebow
2011,2011-12-18,14,15,24.126,DEN,NWE,True,11,22,50.00,194,0,0,80.5,4,53,8.82,8.82,12,93,7.75,2,,2,12,0.0,0,0,0,,,2,1,0,1,0,0,,,,,,,False,False,23,41,Tim Tebow
2011,2011-12-24,15,16,24.132,DEN,BUF,True,13,29,44.83,185,1,3,37.9,4,33,6.38,2.41,10,34,3.40,1,,1,6,0.0,0,0,0,,,2,1,0,0,0,0,,,,,,,True,False,14,40,Tim Tebow
2011,2012-01-01,16,17,24.140,DEN,KAN,True,6,22,27.27,60,0,1,20.6,2,10,2.73,0.68,6,16,2.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,3,7,Tim Tebow
2012,2012-09-09,1,1,25.026,NYJ,BUF,True,0,0,,0,0,0,,0,0,,,5,11,2.20,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,4,13%,False,True,48,28,Tim Tebow
2012,2012-09-16,2,2,25.033,NYJ,PIT,False,0,0,,0,0,0,,0,0,,,1,22,22.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,6,22%,True,False,10,27,Tim Tebow
2012,2012-09-23,3,3,25.040,NYJ,MIA,True,0,0,,0,0,0,,1,5,,,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,15%,0,0%,7,21%,True,True,23,20,Tim Tebow
2012,2012-09-30,4,4,25.047,NYJ,SFO,False,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,2,0,0.00,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,13%,0,0%,8,30%,False,False,0,34,Tim Tebow
2012,2012-10-08,5,5,25.055,NYJ,HOU,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,19,3.80,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,7,12%,0,0%,7,23%,False,False,17,23,Tim Tebow
2012,2012-10-14,6,6,25.061,NYJ,IND,False,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,4,7,1.75,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,6,22%,False,True,35,9,Tim Tebow
2012,2012-10-21,7,7,25.068,NYJ,NWE,False,0,0,,0,0,0,,0,0,,,4,12,3.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,6%,0,0%,3,9%,True,False,26,29,Tim Tebow
2012,2012-10-28,8,8,25.075,NYJ,MIA,False,0,0,,0,0,0,,0,0,,,1,2,2.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,6%,0,0%,8,25%,False,False,9,30,Tim Tebow
2012,2012-11-11,9,10,25.089,NYJ,SEA,False,3,3,100.00,8,0,0,79.2,0,0,2.67,2.67,4,14,3.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,15%,0,0%,5,20%,True,False,7,28,Tim Tebow
2012,2012-11-18,10,11,25.096,NYJ,STL,False,1,1,100.00,-1,0,0,79.2,0,0,-1.00,-1.00,2,-5,-2.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,5,19%,True,True,27,13,Tim Tebow
2012,2012-11-22,11,12,,NYJ,NWE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,19,49,Tim Tebow
2012,2012-12-02,12,13,,NYJ,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,7,6,Tim Tebow
2012,2012-12-09,13,14,,NYJ,JAX,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,17,10,Tim Tebow
2012,2012-12-17,14,15,25.125,NYJ,TEN,False,0,1,0.00,0,0,0,39.6,1,2,0.00,0.00,3,15,5.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,10%,0,0%,0,0%,True,False,10,14,Tim Tebow
2012,2012-12-23,15,16,,NYJ,SDG,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,17,27,Tim Tebow
2012,2012-12-30,16,17,25.138,NYJ,BUF,False,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,1,1%,0,0%,0,0%,True,False,9,28,Tim Tebow
,35 Games,,,,,,False,173,361,47.92,2422,17,9,75.3,41,258,6.71,6.53,197,989,5.02,12,2,12,76,0.0,1,1,2,0,0,14,6,0,4,-5,0,,,,,,,False,False,21,0,Tim Tebow
