Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,,KAN,LAC,W 38-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,True,38,28
2018.0,2018-09-16,2.0,2.0,,KAN,PIT,W 42-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,True,42,37
2018.0,2018-09-23,3.0,3.0,,KAN,SFO,W 38-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darrel Williams,True,38,27
2018.0,2018-10-01,4.0,4.0,,KAN,DEN,W 27-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,True,27,23
2018.0,2018-10-07,5.0,5.0,,KAN,JAX,W 30-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darrel Williams,True,30,14
2018.0,2018-10-14,6.0,6.0,,KAN,NWE,L 40-43,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,False,40,43
2018.0,2018-10-21,7.0,7.0,,KAN,CIN,W 45-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darrel Williams,True,45,10
2018.0,2018-10-28,8.0,8.0,,KAN,DEN,W 30-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darrel Williams,True,30,23
2018.0,2018-11-04,9.0,9.0,,KAN,CLE,W 37-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,True,37,21
2018.0,2018-11-11,10.0,10.0,23.21,KAN,ARI,W 26-14,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,76%,False,Darrel Williams,True,26,14
2018.0,2018-11-19,11.0,11.0,,KAN,LAR,L 51-54,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darrel Williams,False,51,54
2018.0,2018-12-02,12.0,13.0,23.231,KAN,OAK,W 40-33,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,4%,0,0%,10,31%,True,Darrel Williams,True,40,33
2018.0,2018-12-09,13.0,14.0,23.238,KAN,BAL,W 27-24,False,0,0,,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,2%,0,0%,15,52%,False,Darrel Williams,True,27,24
2018.0,2018-12-13,14.0,15.0,23.242,KAN,LAC,L 28-29,False,2,13,6.50,0,2,2,19,9.50,1,100.0%,9.50,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,25%,0,0%,12,52%,False,Darrel Williams,False,28,29
2018.0,2018-12-23,15.0,16.0,23.252,KAN,SEA,L 31-38,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,8,24%,True,Darrel Williams,False,31,38
2018.0,2018-12-30,16.0,17.0,23.259,KAN,OAK,W 35-3,False,11,31,2.82,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,30%,0,0%,3,16%,False,Darrel Williams,True,35,3
2019.0,2019-09-08,1.0,1.0,24.146,KAN,JAX,W 40-26,False,,,,,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,6,20%,True,Darrel Williams,True,40,26
2019.0,2019-09-15,2.0,2.0,24.153,KAN,OAK,W 28-10,False,,,,,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,5,7%,0,0%,8,32%,True,Darrel Williams,True,28,10
2019.0,2019-09-22,3.0,3.0,24.16,KAN,BAL,W 33-28,False,9,62,6.89,0,5,5,47,9.40,0,100.0%,9.40,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,37,54%,0,0%,2,7%,False,Darrel Williams,True,33,28
2019.0,2019-09-29,4.0,4.0,24.167,KAN,DET,W 34-30,False,8,13,1.63,2,4,3,43,14.33,0,75.0%,10.75,,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,34,50%,0,0%,0,0%,True,Darrel Williams,True,34,30
2019.0,2019-10-06,5.0,5.0,24.174,KAN,IND,L 13-19,False,,,,,,,,,,0.0%,,,0,0,,,,,,,0,,,0,0,0,13,21%,0,0%,13,52%,False,Darrel Williams,False,13,19
2019.0,2019-10-13,6.0,6.0,24.181,KAN,HOU,L 24-31,False,0,0,,0,2,1,52,52.00,0,50.0%,26.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,13%,0,0%,11,48%,False,Darrel Williams,False,24,31
2019.0,2019-10-17,7.0,7.0,24.185,KAN,DEN,W 30-6,False,2,1,0.50,0,2,2,5,2.50,0,100.0%,2.50,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,30%,0,0%,14,47%,True,Darrel Williams,True,30,6
2019.0,2019-10-27,8.0,8.0,24.195,KAN,GNB,L 24-31,False,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,15%,0,0%,11,41%,False,Darrel Williams,False,24,31
2019.0,2019-11-03,9.0,9.0,24.202,KAN,MIN,W 26-23,False,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,17%,0,0%,14,41%,False,Darrel Williams,True,26,23
2019.0,2019-11-10,10.0,10.0,24.209,KAN,TEN,L 32-35,False,2,6,3.00,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,21%,0,0%,14,44%,True,Darrel Williams,False,32,35
2019.0,2019-11-18,11.0,11.0,24.217,KAN,LAC,W 24-17,False,11,35,3.18,1,3,2,8,4.00,0,66.7%,2.67,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,43%,0,0%,14,52%,True,Darrel Williams,True,24,17
2019.0,2019-12-01,12.0,13.0,24.23,KAN,OAK,W 40-9,False,6,13,2.17,0,2,1,3,3.00,1,50.0%,1.50,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,17,26%,0,0%,1,4%,False,Darrel Williams,True,40,9
