Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-12-01,12.0,13.0,23.354,TAM,CAR,L 6-27,True,14,21,66.67,180,0,1,73.5,5,40,8.57,6.43,2,3,1.50,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,49,100%,0,0%,0,0%,True,Mike Glennon,False,6,27
2013.0,2013-12-08,13.0,14.0,23.361,TAM,BUF,W 27-6,True,9,25,36.00,90,2,2,40.4,1,9,3.60,1.60,1,0,0.00,0,0,0,0.0,0,0,0,,,0,0,0,1,0,0,66,100%,0,0%,0,0%,False,Mike Glennon,True,27,6
2013.0,2013-12-15,14.0,15.0,24.003,TAM,SFO,L 14-33,True,18,34,52.94,179,2,1,75.5,4,35,5.26,5.12,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,100%,0,0%,0,0%,False,Mike Glennon,False,14,33
2013.0,2013-12-22,15.0,16.0,24.01,TAM,STL,L 13-23,True,16,26,61.54,158,0,0,78.7,7,47,6.08,6.08,2,3,1.50,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,59,100%,0,0%,0,0%,True,Mike Glennon,False,13,23
2013.0,2013-12-29,16.0,17.0,24.017,TAM,NOR,L 17-42,True,22,41,53.66,219,2,1,75.2,2,4,5.34,5.22,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,98%,0,0%,0,0%,True,Mike Glennon,False,17,42
2014.0,2014-09-07,1.0,1.0,,TAM,CAR,L 14-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Mike Glennon,False,14,20
2014.0,2014-09-14,2.0,2.0,,TAM,STL,L 17-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Mike Glennon,False,17,19
2014.0,2014-09-18,3.0,3.0,24.28,TAM,ATL,L 14-56,False,17,24,70.83,121,1,0,96.0,2,18,5.04,5.88,3,19,6.33,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,41,68%,0,0%,0,0%,True,Mike Glennon,False,14,56
2014.0,2014-09-28,4.0,4.0,24.29,TAM,PIT,W 27-24,True,21,42,50.00,302,2,1,79.7,1,15,7.19,7.07,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Mike Glennon,True,27,24
2014.0,2014-10-05,5.0,5.0,24.297,TAM,NOR,L 31-37,True,19,32,59.38,249,2,1,91.8,1,1,7.78,7.63,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,-8,0,63,100%,0,0%,0,0%,True,Mike Glennon,False,31,37
