Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2005,2005-11-20,10,11,22.081,ARI,@,STL,W 38-28,True,11,9,104,11.56,1,81.8%,9.45,1,9,9.00,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2005,2005-11-27,11,12,22.088,ARI,,JAX,L 17-24,True,5,4,41,10.25,1,80.0%,8.20,1,-6,-6.00,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2005,2005-12-04,12,13,22.095,ARI,@,SFO,W 17-10,True,12,8,129,16.13,0,66.7%,10.75,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2005,2005-12-11,13,14,22.102,ARI,,WAS,L 13-17,True,7,4,23,5.75,0,57.1%,3.29,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2005,2005-12-18,14,15,22.109,ARI,@,HOU,L 19-30,True,12,6,85,14.17,1,50.0%,7.08,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2005,2005-12-24,15,16,22.115,ARI,,PHI,W 27-21,True,9,5,93,18.60,1,55.6%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2005,2006-01-01,16,17,22.123,ARI,@,IND,L 13-17,True,7,6,80,13.33,1,85.7%,11.43,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2006,2006-09-10,1,1,23.010,ARI,,SFO,W 34-27,True,14,9,133,14.78,0,64.3%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
2006,2006-09-17,2,2,23.017,ARI,@,SEA,L 10-21,True,7,4,52,13.00,0,57.1%,7.43,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0,,0,0,0,0,,,,,,,True,Larry Fitzgerald
2006,2006-09-24,3,3,23.024,ARI,,STL,L 14-16,True,11,6,65,10.83,1,54.5%,5.91,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6,0,,0,0,0,0,,,,,,,False,Larry Fitzgerald
