Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,23.193,CLE,,TEN,L 13-43,False,1,13,13.00,0,2,2,23,11.50,0,100.0%,11.50,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,13%,0,0%,10,30%,False,D'Ernest Johnson
2019,2019-09-16,2,2,23.201,CLE,@,NYJ,W 23-3,False,3,8,2.67,0,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,37%,0,0%,2,8%,True,D'Ernest Johnson
2019,2019-09-22,3,3,23.207,CLE,,LAR,L 13-20,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,6,25%,False,D'Ernest Johnson
2019,2019-09-29,4,4,23.214,CLE,@,BAL,W 40-25,False,0,0,,0,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,54%,True,D'Ernest Johnson
2019,2019-10-07,5,5,23.222,CLE,@,SFO,L 3-31,False,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,11%,0,0%,18,64%,True,D'Ernest Johnson
2019,2019-10-13,6,6,23.228,CLE,,SEA,L 28-32,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,16,62%,False,D'Ernest Johnson
2019,2019-10-27,7,8,23.242,CLE,@,NWE,L 13-27,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,1,1%,21,68%,True,D'Ernest Johnson
2019,2019-11-03,8,9,23.249,CLE,@,DEN,L 19-24,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,18,67%,True,D'Ernest Johnson
2019,2019-11-10,9,10,23.256,CLE,,BUF,W 19-16,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,15,63%,False,D'Ernest Johnson
2019,2019-11-14,10,11,23.260,CLE,,PIT,W 21-7,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1%,0,0%,19,73%,False,D'Ernest Johnson
2019,2019-11-24,11,12,23.270,CLE,,MIA,W 41-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,60%,False,D'Ernest Johnson
2019,2019-12-01,12,13,23.277,CLE,@,PIT,L 13-20,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,16,67%,True,D'Ernest Johnson
2019,2019-12-08,13,14,23.284,CLE,,CIN,W 27-19,False,,,,,,,,,,0.0%,,,,,,,,,,0,0,,,,,,,0,,,0,0,0,1,2%,0,0%,15,58%,False,D'Ernest Johnson
2019,2019-12-15,14,15,23.291,CLE,@,ARI,L 24-38,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,56%,True,D'Ernest Johnson
2019,2019-12-22,15,16,23.298,CLE,,BAL,L 15-31,False,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,16,67%,False,D'Ernest Johnson
2019,2019-12-29,16,17,23.305,CLE,@,CIN,L 23-33,False,0,0,,0,0,0,0,,0,0.0%,,2,76,38.00,0,1,9,9.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,18,62%,True,D'Ernest Johnson
2020,2020-09-13,1,1,24.199,CLE,@,BAL,L 6-38,False,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,5%,0,0%,17,68%,True,D'Ernest Johnson
