Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-09-08,1,1,22.011,NYG,DET,False,5,9,1.80,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,30%,0,0%,2,8%,True,False,14,35,Andre Williams
2014,2014-09-14,2,2,22.017,NYG,ARI,False,8,12,1.50,0,4,2,7,3.50,0,50.0%,1.75,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,26%,0,0%,1,4%,False,False,14,25,Andre Williams
2014,2014-09-21,3,3,22.024,NYG,HOU,False,6,18,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,23%,0,0%,2,6%,False,True,30,17,Andre Williams
2014,2014-09-25,4,4,22.028,NYG,WAS,False,15,66,4.40,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,33,41%,0,0%,4,14%,True,True,45,14,Andre Williams
2014,2014-10-05,5,5,22.038,NYG,ATL,False,20,65,3.25,1,2,2,18,9.00,0,100.0%,9.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,53%,0,0%,1,3%,False,True,30,20,Andre Williams
2014,2014-10-12,6,6,22.045,NYG,PHI,True,17,59,3.47,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,48%,0,0%,0,0%,True,False,0,27,Andre Williams
2014,2014-10-19,7,7,22.052,NYG,DAL,True,18,51,2.83,0,3,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,57%,0,0%,0,0%,True,False,21,31,Andre Williams
2014,2014-11-03,8,9,22.067,NYG,IND,True,12,22,1.83,1,1,1,24,24.00,0,100.0%,24.00,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,37,49%,0,0%,0,0%,False,False,24,40,Andre Williams
2014,2014-11-09,9,10,22.073,NYG,SEA,True,13,33,2.54,1,5,2,5,2.50,0,40.0%,1.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,65%,0,0%,0,0%,True,False,17,38,Andre Williams
2014,2014-11-16,10,11,22.080,NYG,SFO,False,2,2,1.00,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,0,0%,False,False,10,16,Andre Williams
2014,2014-11-23,11,12,22.087,NYG,DAL,False,10,35,3.50,1,2,1,12,12.00,0,50.0%,6.00,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,33%,0,0%,0,0%,False,False,28,31,Andre Williams
2014,2014-11-30,12,13,22.094,NYG,JAX,False,8,21,2.63,0,3,2,16,8.00,0,66.7%,5.33,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,35%,0,0%,0,0%,True,False,24,25,Andre Williams
2014,2014-12-07,13,14,22.101,NYG,TEN,True,24,131,5.46,1,5,3,16,5.33,0,60.0%,3.20,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,70%,0,0%,0,0%,True,True,36,7,Andre Williams
2014,2014-12-14,14,15,22.108,NYG,WAS,False,18,44,2.44,0,4,1,9,9.00,0,25.0%,2.25,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,92%,0,0%,0,0%,False,True,24,13,Andre Williams
2014,2014-12-21,15,16,22.115,NYG,STL,True,26,110,4.23,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,66%,0,0%,0,0%,True,True,37,27,Andre Williams
2014,2014-12-28,16,17,22.122,NYG,PHI,True,15,43,2.87,1,3,3,19,6.33,0,100.0%,6.33,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,34,42%,0,0%,0,0%,False,False,26,34,Andre Williams
2015,2015-09-13,1,1,23.016,NYG,DAL,False,6,14,2.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,23%,0,0%,5,17%,True,False,26,27,Andre Williams
2015,2015-09-20,2,2,23.023,NYG,ATL,False,6,43,7.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,3,10%,False,False,20,24,Andre Williams
2015,2015-09-24,3,3,23.027,NYG,WAS,False,14,29,2.07,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,23,34%,0,0%,4,14%,False,True,32,21,Andre Williams
2015,2015-10-04,4,4,23.037,NYG,BUF,False,11,35,3.18,0,1,0,0,,0,0.0%,0.00,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,18,25%,0,0%,2,7%,True,True,24,10,Andre Williams
2015,2015-10-11,5,5,23.044,NYG,SFO,False,3,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,10%,0,0%,13,45%,False,True,30,27,Andre Williams
2015,2015-10-19,6,6,23.052,NYG,PHI,False,5,6,1.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,13%,0,0%,9,33%,True,False,7,27,Andre Williams
2015,2015-10-25,7,7,23.058,NYG,DAL,False,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,11,41%,False,True,27,20,Andre Williams
2015,2015-11-01,8,8,23.065,NYG,NOR,False,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,16%,0,0%,16,43%,True,False,49,52,Andre Williams
2015,2015-11-08,9,9,23.072,NYG,TAM,False,7,30,4.29,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,17%,0,0%,15,56%,True,True,32,18,Andre Williams
2015,2015-11-15,10,10,23.079,NYG,NWE,False,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,3%,0,0%,13,41%,False,False,26,27,Andre Williams
2015,2015-11-29,11,12,23.093,NYG,WAS,False,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,14,50%,True,False,14,20,Andre Williams
2015,2015-12-06,12,13,23.100,NYG,NYJ,False,6,22,3.67,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,13,20%,0,0%,14,41%,False,False,20,23,Andre Williams
2015,2015-12-14,13,14,23.108,NYG,MIA,False,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,11%,1,1%,17,53%,True,True,31,24,Andre Williams
2015,2015-12-20,14,15,23.114,NYG,CAR,False,6,21,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,9%,0,0%,19,50%,False,False,35,38,Andre Williams
2015,2015-12-27,15,16,23.121,NYG,MIN,False,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,19,50%,True,False,17,49,Andre Williams
2015,2016-01-03,16,17,23.128,NYG,PHI,False,5,26,5.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,11%,0,0%,16,53%,False,False,30,35,Andre Williams
2016,2016-09-11,1,1,,SDG,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,27,33,Andre Williams
2016,2016-09-18,2,2,,SDG,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,14,Andre Williams
2016,2017-01-01,16,17,24.126,SDG,KAN,False,18,87,4.83,0,2,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,41%,0,0%,0,0%,False,False,27,37,Andre Williams
2017,2017-10-08,5,5,25.041,LAC,NYG,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,44%,True,True,27,22,Andre Williams
2017,2017-10-15,6,6,25.048,LAC,OAK,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,8,36%,True,True,17,16,Andre Williams
2017,2017-10-22,7,7,25.055,LAC,DEN,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,14,58%,False,True,21,0,Andre Williams
2017,2017-10-29,8,8,,LAC,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,13,21,Andre Williams
2017,2017-11-12,9,10,25.076,LAC,JAX,False,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,53%,True,False,17,20,Andre Williams
