Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,,GNB,SEA,W 17-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Aaron Jones,True,17,9
2017.0,2017-09-17,2.0,2.0,22.289,GNB,ATL,L 23-34,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,0,0%,0,0%,8,29%,True,Aaron Jones,False,23,34
2017.0,2017-09-24,3.0,3.0,22.296,GNB,CIN,W 27-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,0,0%,0,0%,12,36%,False,Aaron Jones,True,27,24
2017.0,2017-09-28,4.0,4.0,22.3,GNB,CHI,W 35-14,False,13,49,3.77,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,30,55%,0,0%,8,31%,False,Aaron Jones,True,35,14
2017.0,2017-10-08,5.0,5.0,22.31,GNB,DAL,W 35-31,True,19,125,6.58,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,6,0,0,0,0,0,0,53,88%,0,0%,0,0%,True,Aaron Jones,True,35,31
2017.0,2017-10-15,6.0,6.0,22.317,GNB,MIN,L 10-23,False,13,41,3.15,0,4,1,1,1.00,0,25.0%,0.25,0,0,,0,0,0,0,0,0,0,0,0,43,65%,0,0%,3,12%,True,Aaron Jones,False,10,23
2017.0,2017-10-22,7.0,7.0,22.324,GNB,NOR,L 17-26,True,17,131,7.71,1,5,3,7,2.33,0,60.0%,1.40,0,0,,0,1,6,0,0,0,0,0,0,44,80%,0,0%,0,0%,False,Aaron Jones,False,17,26
2017.0,2017-11-06,8.0,9.0,22.339,GNB,DET,L 17-30,True,5,12,2.40,0,5,2,-1,-0.50,0,40.0%,-0.20,0,0,,0,0,0,0,0,0,0,0,0,20,34%,0,0%,0,0%,False,Aaron Jones,False,17,30
2017.0,2017-11-12,9.0,10.0,22.345,GNB,CHI,W 23-16,True,3,12,4.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,True,Aaron Jones,True,23,16
2017.0,2017-11-19,10.0,11.0,,GNB,BAL,L 0-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Aaron Jones,False,0,23
2017.0,2017-11-26,11.0,12.0,,GNB,PIT,L 28-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Aaron Jones,False,28,31
2017.0,2017-12-03,12.0,13.0,23.001,GNB,TAM,W 26-20,False,1,20,20.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0,0,0,0,0,0,2,4%,0,0%,0,0%,False,Aaron Jones,True,26,20
2017.0,2017-12-10,13.0,14.0,23.008,GNB,CLE,W 27-21,False,4,-2,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,Aaron Jones,True,27,21
2017.0,2017-12-17,14.0,15.0,23.015,GNB,CAR,L 24-31,False,3,47,15.67,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,0,0,0,0,0,0,26,38%,0,0%,1,4%,True,Aaron Jones,False,24,31
2017.0,2017-12-23,15.0,16.0,23.021,GNB,MIN,L 0-16,False,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,False,Aaron Jones,False,0,16
2017.0,2017-12-31,16.0,17.0,,GNB,DET,L 11-35,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Aaron Jones,False,11,35
2018.0,2018-09-09,1.0,1.0,,GNB,CHI,W 24-23,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Aaron Jones,True,24,23
2018.0,2018-09-16,2.0,2.0,,GNB,MIN,T 29-29,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Aaron Jones,False,29,29
2018.0,2018-09-23,3.0,3.0,23.295,GNB,WAS,L 17-31,False,6,42,7.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,17,25%,0,0%,7,24%,True,Aaron Jones,False,17,31
2018.0,2018-09-30,4.0,4.0,23.302,GNB,BUF,W 22-0,False,11,65,5.91,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,1,6,0,0,0,0,0,0,29,38%,0,0%,1,4%,False,Aaron Jones,True,22,0
2018.0,2018-10-07,5.0,5.0,23.309,GNB,DET,L 23-31,False,7,40,5.71,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,0,0,0,0,0,0,22,27%,0,0%,3,11%,True,Aaron Jones,False,23,31
2018.0,2018-10-15,6.0,6.0,23.317,GNB,SFO,W 33-30,True,8,41,5.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,19,27%,0,0%,3,9%,False,Aaron Jones,True,33,30
2018.0,2018-10-28,7.0,8.0,23.33,GNB,LAR,L 27-29,True,12,86,7.17,1,2,2,0,0.00,0,100.0%,0.00,0,0,,0,1,6,0,0,0,0,0,0,32,62%,0,0%,2,6%,True,Aaron Jones,False,27,29
2018.0,2018-11-04,8.0,9.0,23.337,GNB,NWE,L 17-31,True,14,75,5.36,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,1,1,0,0,0,0,43,58%,0,0%,2,7%,True,Aaron Jones,False,17,31
2018.0,2018-11-11,9.0,10.0,23.344,GNB,MIA,W 31-12,True,15,145,9.67,2,5,3,27,9.00,0,60.0%,5.40,0,0,,0,2,12,0,0,0,0,0,0,42,74%,0,0%,0,0%,False,Aaron Jones,True,31,12
2018.0,2018-11-15,10.0,11.0,23.348,GNB,SEA,L 24-27,True,11,40,3.64,1,6,5,63,12.60,1,83.3%,10.50,0,0,,0,2,12,0,0,0,0,0,0,44,90%,0,0%,0,0%,True,Aaron Jones,False,24,27
