Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-27,3,3,23.123,NYG,,SFO,L 9-36,True,17,32,53.13,179,0,1,56.6,2,14,5.59,4.19,5,49,9.80,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-5,0,52,100%,0,0%,0,0%,False,Daniel Jones
2020,2020-10-04,4,4,23.130,NYG,@,LAR,L 9-17,True,23,36,63.89,190,0,1,65.7,5,31,5.28,4.03,6,45,7.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,True,Daniel Jones
2020,2020-10-11,5,5,23.137,NYG,@,DAL,L 34-37,True,20,33,60.61,222,0,0,80.6,2,11,6.73,6.73,2,-7,-3.50,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,True,Daniel Jones
2020,2020-10-18,6,6,23.144,NYG,,WAS,W 20-19,True,12,19,63.16,112,1,1,74.9,1,4,5.89,4.58,7,74,10.57,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,48,100%,0,0%,0,0%,False,Daniel Jones
2020,2020-10-22,7,7,23.148,NYG,@,PHI,L 21-22,True,20,30,66.67,187,2,1,91.9,3,22,6.23,6.07,4,92,23.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,True,Daniel Jones
2020,2020-11-02,8,8,23.159,NYG,,TAM,L 23-25,True,25,41,60.98,256,2,2,74.8,3,18,6.24,5.02,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,False,Daniel Jones
2020,2020-11-08,9,9,23.165,NYG,@,WAS,W 23-20,True,23,34,67.65,212,1,0,94.2,5,28,6.24,6.82,6,4,0.67,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,0,0,77,100%,0,0%,0,0%,True,Daniel Jones
2020,2020-11-15,10,10,23.172,NYG,,PHI,W 27-17,True,21,28,75.00,244,0,0,100.9,3,13,8.71,8.71,9,64,7.11,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Daniel Jones
2020,2020-11-29,11,12,23.186,NYG,@,CIN,W 19-17,True,16,27,59.26,213,0,0,84.3,0,0,7.89,7.89,6,19,3.17,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,63%,0,0%,0,0%,True,Daniel Jones
2020,2020-12-06,12,13,,NYG,@,SEA,W 17-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Daniel Jones
