Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021.0,2021-09-12,1.0,1.0,21.195,CIN,,MIN,W 27-24,True,7,5,101,20.2,1,71.4%,14.43,1,-2,-2.0,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62.0,90%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-09-19,2.0,2.0,21.202,CIN,@,CHI,L 17-20,True,4,2,54,27.0,1,50.0%,13.5,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51.0,93%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-09-26,3.0,3.0,21.209,CIN,@,PIT,W 24-10,True,5,4,65,16.25,2,80.0%,13.0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,39.0,83%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-09-30,4.0,4.0,21.213,CIN,,JAX,W 24-21,True,9,6,77,12.83,0,66.7%,8.56,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46.0,79%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-10-10,5.0,5.0,21.223,CIN,,GNB,L 22-25,True,10,6,159,26.5,1,60.0%,15.9,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61.0,91%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-10-17,6.0,6.0,21.23,CIN,@,DET,W 34-11,True,6,4,97,24.25,0,66.7%,16.17,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,57.0,79%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-10-24,7.0,7.0,21.237,CIN,@,BAL,W 41-17,True,10,8,201,25.13,1,80.0%,20.1,0,0,,0,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,53.0,84%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-10-31,8.0,8.0,21.244,CIN,@,NYJ,L 31-34,True,9,3,32,10.67,1,33.3%,3.56,1,9,9.0,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,52.0,95%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-11-07,9.0,9.0,21.251,CIN,,CLE,L 16-41,True,13,6,49,8.17,0,46.2%,3.77,2,0,0.0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,71.0,95%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-11-21,10.0,11.0,21.265,CIN,@,LVR,W 32-13,True,6,3,32,10.67,1,50.0%,5.33,2,8,4.0,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68.0,92%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-11-28,11.0,12.0,21.272,CIN,,PIT,W 41-10,True,3,3,39,13.0,0,100.0%,13.0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52.0,76%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-12-05,12.0,13.0,21.279,CIN,,LAC,L 22-41,True,8,5,52,10.4,0,62.5%,6.5,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,73.0,96%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-12-12,13.0,14.0,21.286,CIN,,SFO,L 23-26,True,8,5,77,15.4,2,62.5%,9.63,1,6,6.0,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,65.0,97%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2021-12-19,14.0,15.0,21.293,CIN,@,DEN,W 15-10,True,4,1,3,3.0,0,25.0%,0.75,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51.0,96%,0.0,0%,0.0,0%,True,Ja'Marr Chase
2021.0,2021-12-26,15.0,16.0,21.3,CIN,,BAL,W 41-21,True,10,7,125,17.86,0,70.0%,12.5,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69.0,91%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2022-01-02,16.0,17.0,21.307,CIN,,KAN,W 34-31,True,12,11,266,24.18,3,91.7%,22.17,0,0,,0,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,64.0,91%,0.0,0%,0.0,0%,False,Ja'Marr Chase
2021.0,2022-01-09,17.0,18.0,21.314,CIN,@,CLE,L 16-21,True,4,2,26,13.0,0,50.0%,6.5,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5.0,9%,0.0,0%,0.0,0%,True,Ja'Marr Chase
,17 Games,,,,,,,10-7-0,False,128,81,1455,17.96,13,63.3%,11.37,7,21,3.0,0,13,78,0.0,2,0,2,0,0,2,1,0,0,0,0,,,,,,,False,Ja'Marr Chase
