Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-23,7,7,26.049,OAK,KAN,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,0,28,Brandon Myers
2011,2011-11-06,8,9,26.063,OAK,DEN,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,38,Brandon Myers
2011,2011-11-10,9,10,26.067,OAK,SDG,False,3,2,11,5.50,0,66.7%,3.67,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,True,24,17,Brandon Myers
2011,2011-11-20,10,11,26.077,OAK,MIN,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,21,Brandon Myers
2011,2011-11-27,11,12,26.084,OAK,CHI,False,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,True,25,20,Brandon Myers
2011,2011-12-04,12,13,26.091,OAK,MIA,False,6,3,33,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,False,14,34,Brandon Myers
2011,2011-12-11,13,14,26.098,OAK,GNB,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,16,46,Brandon Myers
2011,2011-12-18,14,15,26.105,OAK,DET,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,27,28,Brandon Myers
2011,2011-12-24,15,16,26.111,OAK,KAN,False,0,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,16,13,Brandon Myers
2011,2012-01-01,16,17,26.119,OAK,SDG,False,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,26,38,Brandon Myers
2012,2012-09-10,1,1,27.006,OAK,SDG,True,5,5,65,13.00,0,100.0%,13.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,94%,0,0%,12,44%,False,False,14,22,Brandon Myers
2012,2012-09-16,2,2,27.012,OAK,MIA,True,6,6,86,14.33,0,100.0%,14.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,75%,0,0%,6,17%,True,False,13,35,Brandon Myers
2012,2012-09-23,3,3,27.019,OAK,PIT,True,4,4,55,13.75,0,100.0%,13.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,82%,0,0%,8,29%,False,True,34,31,Brandon Myers
2012,2012-09-30,4,4,27.026,OAK,DEN,True,2,1,22,22.00,0,50.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,95%,0,0%,15,54%,True,False,6,37,Brandon Myers
2012,2012-10-14,5,6,27.040,OAK,ATL,True,7,5,62,12.40,0,71.4%,8.86,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,10,33%,True,False,20,23,Brandon Myers
2012,2012-10-21,6,7,27.047,OAK,JAX,True,10,7,44,6.29,0,70.0%,4.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,6,15%,False,True,26,23,Brandon Myers
2012,2012-10-28,7,8,27.054,OAK,KAN,True,3,3,49,16.33,0,100.0%,16.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,8,23%,True,True,26,16,Brandon Myers
2012,2012-11-04,8,9,27.061,OAK,TAM,True,13,8,59,7.38,2,61.5%,4.54,0,0,,0,,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,81,100%,0,0%,6,17%,False,False,32,42,Brandon Myers
2012,2012-11-11,9,10,27.068,OAK,BAL,True,7,5,57,11.40,0,71.4%,8.14,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,56,75%,0,0%,4,11%,True,False,20,55,Brandon Myers
2012,2012-11-18,10,11,27.075,OAK,NOR,True,10,6,55,9.17,1,60.0%,5.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,93%,0,0%,4,14%,False,False,17,38,Brandon Myers
2012,2012-11-25,11,12,27.082,OAK,CIN,True,6,5,37,7.40,0,83.3%,6.17,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,97%,0,0%,6,21%,True,False,10,34,Brandon Myers
2012,2012-12-02,12,13,27.089,OAK,CLE,True,15,14,130,9.29,1,93.3%,8.67,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,96%,0,0%,6,23%,False,False,17,20,Brandon Myers
2012,2012-12-06,13,14,27.093,OAK,DEN,True,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,94%,0,0%,5,21%,False,False,13,26,Brandon Myers
2012,2012-12-16,14,15,27.103,OAK,KAN,True,4,2,15,7.50,0,50.0%,3.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,77,100%,0,0%,4,17%,False,True,15,0,Brandon Myers
2012,2012-12-23,15,16,27.110,OAK,CAR,True,4,3,10,3.33,0,75.0%,2.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,92%,0,0%,5,23%,True,False,6,17,Brandon Myers
2012,2012-12-30,16,17,27.117,OAK,SDG,True,7,4,53,13.25,0,57.1%,7.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,97%,0,0%,7,23%,True,False,21,24,Brandon Myers
2013,2013-09-08,1,1,28.004,NYG,DAL,True,9,7,66,9.43,1,77.8%,7.33,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,98%,0,0%,5,15%,True,False,31,36,Brandon Myers
2013,2013-09-15,2,2,28.011,NYG,DEN,True,10,6,74,12.33,0,60.0%,7.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,72%,0,0%,5,14%,False,False,23,41,Brandon Myers
2013,2013-09-22,3,3,28.018,NYG,CAR,True,6,3,33,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,89%,0,0%,1,4%,True,False,0,38,Brandon Myers
2013,2013-09-29,4,4,28.025,NYG,KAN,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,89%,0,0%,2,7%,True,False,7,31,Brandon Myers
2013,2013-10-06,5,5,28.032,NYG,PHI,True,5,2,35,17.50,0,40.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,93%,0,0%,3,8%,False,False,21,36,Brandon Myers
2013,2013-10-10,6,6,28.036,NYG,CHI,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,56%,0,0%,3,12%,True,False,21,27,Brandon Myers
2013,2013-10-21,7,7,28.047,NYG,MIN,True,3,2,15,7.50,0,66.7%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,72%,0,0%,5,16%,False,True,23,7,Brandon Myers
2013,2013-10-27,8,8,28.053,NYG,PHI,False,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,72%,0,0%,6,23%,True,True,15,7,Brandon Myers
2013,2013-11-10,9,10,28.067,NYG,OAK,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,48,74%,0,0%,4,14%,False,True,24,20,Brandon Myers
2013,2013-11-17,10,11,28.074,NYG,GNB,True,4,3,32,10.67,0,75.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,91%,0,0%,5,18%,False,True,27,13,Brandon Myers
2013,2013-11-24,11,12,28.081,NYG,DAL,False,5,3,39,13.00,1,60.0%,7.80,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,84%,0,0%,3,11%,False,False,21,24,Brandon Myers
2013,2013-12-01,12,13,28.088,NYG,WAS,True,6,5,61,12.20,1,83.3%,10.17,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,91%,0,0%,4,14%,True,True,24,17,Brandon Myers
2013,2013-12-08,13,14,28.095,NYG,SDG,True,7,4,26,6.50,1,57.1%,3.71,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,87%,0,0%,2,8%,True,False,14,37,Brandon Myers
2013,2013-12-15,14,15,28.102,NYG,SEA,True,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,78%,0,0%,0,0%,False,False,0,23,Brandon Myers
2013,2013-12-22,15,16,28.109,NYG,DET,True,7,4,53,13.25,0,57.1%,7.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,89%,0,0%,5,16%,True,True,23,20,Brandon Myers
2013,2013-12-29,16,17,28.116,NYG,WAS,True,5,2,9,4.50,0,40.0%,1.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,93%,0,0%,5,16%,False,True,20,6,Brandon Myers
2014,2014-09-07,1,1,29.003,TAM,CAR,False,8,6,41,6.83,0,75.0%,5.13,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,45,80%,0,0%,2,8%,False,False,14,20,Brandon Myers
2014,2014-09-14,2,2,29.010,TAM,STL,True,2,2,33,16.50,0,100.0%,16.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,96%,0,0%,4,17%,False,False,17,19,Brandon Myers
2014,2014-09-18,3,3,29.014,TAM,ATL,True,5,5,33,6.60,0,100.0%,6.60,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,95%,0,0%,2,6%,True,False,14,56,Brandon Myers
2014,2014-09-28,4,4,29.024,TAM,PIT,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,42%,0,0%,5,17%,True,True,27,24,Brandon Myers
2014,2014-10-05,5,5,29.031,TAM,NOR,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,22,35%,0,0%,6,19%,True,False,31,37,Brandon Myers
2014,2014-10-12,6,6,29.038,TAM,BAL,True,2,2,29,14.50,0,100.0%,14.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,34%,0,0%,5,15%,False,False,17,48,Brandon Myers
2014,2014-10-26,7,8,29.052,TAM,MIN,False,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,35%,0,0%,3,10%,False,False,13,19,Brandon Myers
2014,2014-11-02,8,9,29.059,TAM,CLE,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,30,46%,0,0%,11,41%,True,False,17,22,Brandon Myers
2014,2014-11-09,9,10,29.066,TAM,ATL,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,29,40%,0,0%,9,38%,False,False,17,27,Brandon Myers
2014,2014-11-16,10,11,29.073,TAM,WAS,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,42%,0,0%,11,46%,True,True,27,7,Brandon Myers
2014,2014-11-23,11,12,29.080,TAM,CHI,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,22%,0,0%,4,13%,True,False,13,21,Brandon Myers
2014,2014-11-30,12,13,,TAM,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,13,14,Brandon Myers
2014,2014-12-07,13,14,,TAM,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,34,Brandon Myers
2014,2014-12-14,14,15,29.101,TAM,CAR,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,69%,0,0%,0,0%,True,False,17,19,Brandon Myers
2014,2014-12-21,15,16,29.108,TAM,GNB,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,67%,0,0%,0,0%,False,False,3,20,Brandon Myers
2014,2014-12-28,16,17,29.115,TAM,NOR,True,6,4,21,5.25,0,66.7%,3.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,69%,0,0%,0,0%,False,False,20,23,Brandon Myers
2015,2015-09-13,1,1,30.009,TAM,TEN,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,13,50%,False,False,14,42,Brandon Myers
2015,2015-09-20,2,2,30.016,TAM,NOR,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,11,39%,True,True,26,19,Brandon Myers
2015,2015-09-27,3,3,30.023,TAM,HOU,True,4,3,18,6.00,0,75.0%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,68%,0,0%,10,32%,True,False,9,19,Brandon Myers
2015,2015-10-04,4,4,30.030,TAM,CAR,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,71%,0,0%,8,25%,False,False,23,37,Brandon Myers
2015,2015-10-11,5,5,30.037,TAM,JAX,True,2,2,34,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,63%,0,0%,8,25%,False,True,38,31,Brandon Myers
2015,2015-10-25,6,7,30.051,TAM,WAS,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,50%,0,0%,12,40%,True,False,30,31,Brandon Myers
2015,2015-11-01,7,8,30.058,TAM,ATL,False,3,3,32,10.67,0,100.0%,10.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,54%,0,0%,11,46%,True,True,23,20,Brandon Myers
2015,2015-11-08,8,9,30.065,TAM,NYG,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,38%,0,0%,12,44%,False,False,18,32,Brandon Myers
2015,2015-11-15,9,10,30.072,TAM,DAL,False,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,42%,0,0%,6,27%,False,True,10,6,Brandon Myers
2015,2015-11-22,10,11,30.079,TAM,PHI,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,27%,0,0%,11,34%,True,True,45,17,Brandon Myers
2015,2015-11-29,11,12,30.086,TAM,IND,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,15%,0,0%,7,25%,True,False,12,25,Brandon Myers
2015,2015-12-06,12,13,,TAM,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,23,19,Brandon Myers
2015,2015-12-13,13,14,,TAM,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,24,Brandon Myers
2015,2015-12-17,14,15,,TAM,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,23,31,Brandon Myers
2015,2015-12-27,15,16,,TAM,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,26,Brandon Myers
