Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-10-05,4,4,22.207,KAN,,NWE,W 26-10,True,4,4,27,6.75,1,100.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,26,46%,0,0%,7,30%,False,Mecole Hardman
2020,2020-10-11,5,5,22.213,KAN,,LVR,L 32-40,True,3,2,50,25.00,0,66.7%,16.67,0,0,,0,2,45,22.50,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,17,53%,False,Mecole Hardman
2020,2020-10-19,6,6,22.221,KAN,@,BUF,W 26-17,True,1,0,0,,0,0.0%,0.00,0,0,,0,2,33,16.50,0,2,2,1.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,40%,0,0%,12,48%,True,Mecole Hardman
2020,2020-10-25,7,7,22.227,KAN,@,DEN,W 43-16,True,2,2,57,28.50,0,100.0%,28.50,1,13,13.00,0,0,0,,0,2,21,10.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,43%,0,0%,7,23%,True,Mecole Hardman
2020,2020-11-01,8,8,22.234,KAN,,NYJ,W 35-9,False,9,7,96,13.71,1,77.8%,10.67,0,0,,0,0,0,,0,2,14,7.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,9,31%,False,Mecole Hardman
2020,2020-11-08,9,9,22.241,KAN,,CAR,W 33-31,True,4,3,48,16.00,0,75.0%,12.00,0,0,,0,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,68%,0,0%,11,35%,False,Mecole Hardman
2020,2020-11-22,10,11,22.255,KAN,@,LVR,W 35-31,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,22%,0,0%,7,27%,True,Mecole Hardman
2020,2020-11-29,11,12,22.262,KAN,@,TAM,W 27-24,False,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,4,20,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,30%,0,0%,10,35%,True,Mecole Hardman
2020,2020-12-06,12,13,22.269,KAN,,DEN,W 22-16,False,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,33%,0,0%,5,19%,False,Mecole Hardman
2020,2020-12-13,13,14,22.276,KAN,@,MIA,W 33-27,False,3,3,40,13.33,0,100.0%,13.33,0,0,,0,1,15,15.00,0,1,67,67.00,1,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,19,31%,0,0%,18,53%,True,Mecole Hardman
2020,2020-12-20,14,15,22.283,KAN,@,NOR,W 32-29,False,9,3,22,7.33,1,33.3%,2.44,1,-5,-5.00,0,0,0,,0,4,-2,-0.50,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,33%,0,0%,16,47%,True,Mecole Hardman
2020,2020-12-27,15,16,22.290,KAN,,ATL,W 17-14,True,6,3,24,8.00,0,50.0%,4.00,1,20,20.00,0,1,21,21.00,0,4,20,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,11,50%,False,Mecole Hardman
2020,2021-01-03,16,17,22.297,KAN,,LAC,L 21-38,True,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,32,60%,0,0%,3,14%,False,Mecole Hardman
2021,2021-09-12,1,1,23.184,KAN,,CLE,W 33-29,True,3,3,19,6.33,0,100.0%,6.33,0,0,,0,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,69%,0,0%,2,8%,False,Mecole Hardman
2021,2021-09-19,2,2,23.191,KAN,@,BAL,L 35-36,True,8,5,55,11.00,0,62.5%,6.88,0,0,,0,0,3,,0,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,78%,0,0%,4,14%,True,Mecole Hardman
2021,2021-09-26,3,3,23.198,KAN,,LAC,L 24-30,True,4,3,33,11.00,1,75.0%,8.25,1,2,2.00,0,0,0,,0,2,7,3.50,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,65%,0,0%,3,13%,False,Mecole Hardman
2021,2021-10-03,4,4,23.205,KAN,@,PHI,W 42-30,False,3,2,16,8.00,0,66.7%,5.33,2,25,12.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,52%,0,0%,1,4%,True,Mecole Hardman
2021,2021-10-10,5,5,23.212,KAN,,BUF,L 20-38,True,12,9,76,8.44,0,75.0%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,69%,0,0%,4,14%,False,Mecole Hardman
2021,2021-10-17,6,6,23.219,KAN,@,WAS,W 31-13,False,5,4,62,15.50,0,80.0%,12.40,1,6,6.00,0,0,0,,0,2,56,28.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,60%,0,0%,4,16%,True,Mecole Hardman
2021,2021-10-24,7,7,23.226,KAN,@,TEN,L 3-27,True,5,4,28,7.00,0,80.0%,5.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,49,68%,0,0%,2,11%,True,Mecole Hardman
2021,2021-11-01,8,8,23.234,KAN,,NYG,W 20-17,True,7,5,63,12.60,0,71.4%,9.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,49%,0,0%,4,16%,False,Mecole Hardman
2021,2021-11-07,9,9,23.240,KAN,,GNB,W 13-7,True,6,3,20,6.67,0,50.0%,3.33,0,0,,0,1,12,12.00,0,2,3,1.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,42,65%,0,0%,5,23%,False,Mecole Hardman
2021,2021-11-14,10,10,23.247,KAN,@,LVR,W 41-14,False,3,2,27,13.50,0,66.7%,9.00,1,3,3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,32%,0,0%,1,4%,True,Mecole Hardman
2021,2021-11-21,11,11,23.254,KAN,,DAL,W 19-9,False,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,0,0%,False,Mecole Hardman
2021,2021-12-05,12,13,23.268,KAN,,DEN,W 22-9,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,9,16%,0,0%,1,5%,False,Mecole Hardman
2021,2021-12-12,13,14,23.275,KAN,,LVR,W 48-9,False,2,2,59,29.50,0,100.0%,29.50,1,0,0.00,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,35%,0,0%,4,15%,False,Mecole Hardman
2021,2021-12-16,14,15,23.279,KAN,@,LAC,W 34-28,False,4,2,11,5.50,0,50.0%,2.75,1,0,0.00,0,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,43%,0,0%,1,5%,True,Mecole Hardman
2021,2021-12-26,15,16,23.289,KAN,,PIT,W 36-10,False,5,3,31,10.33,1,60.0%,6.20,0,0,,0,1,20,20.00,0,1,18,18.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,44%,0,0%,3,12%,False,Mecole Hardman
2021,2022-01-02,16,17,23.296,KAN,@,CIN,L 31-34,False,1,1,53,53.00,0,100.0%,53.00,0,0,,0,0,0,,0,1,29,29.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,31%,0,0%,2,7%,True,Mecole Hardman
2021,2022-01-08,17,18,23.302,KAN,@,DEN,W 28-24,True,11,8,103,12.88,0,72.7%,9.36,1,10,10.00,0,0,0,,0,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,83%,0,0%,1,4%,True,Mecole Hardman
,49 Games,,,,,,,38-11-0,False,186,126,1791,14.21,12,67.7%,9.63,16,94,5.88,0,38,923,24.29,1,56,500,8.93,1,1,14,86,0.0,1,0,1,0,0,7,6,0,2,0,0,,,,,,,False,Mecole Hardman
