Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-22,10,11,27.195,KAN,@,SDG,W 33-3,True,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,13,6.50,0,0,0,0,0,0,0,0,0,51,81%,0,0%,6,21%,True,Jeremy Maclin
2015,2015-11-29,11,12,27.202,KAN,,BUF,W 30-22,True,11,9,160,17.78,1,81.8%,14.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,55,89%,0,0%,0,0%,False,Jeremy Maclin
2015,2015-12-06,12,13,27.209,KAN,@,OAK,W 34-20,True,10,9,95,10.56,2,90.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,1,1,0,0,0,0,46,90%,0,0%,0,0%,True,Jeremy Maclin
2015,2015-12-13,13,14,27.216,KAN,,SDG,W 10-3,True,9,6,68,11.33,0,66.7%,7.56,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,52,96%,0,0%,0,0%,False,Jeremy Maclin
2015,2015-12-20,14,15,27.223,KAN,@,BAL,W 34-14,True,10,7,50,7.14,1,70.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,0,0,0,0,0,48,86%,0,0%,0,0%,True,Jeremy Maclin
2015,2015-12-27,15,16,27.230,KAN,,CLE,W 17-13,True,7,5,49,9.80,1,71.4%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,49,91%,0,0%,0,0%,False,Jeremy Maclin
2015,2016-01-03,16,17,27.237,KAN,,OAK,W 23-17,True,4,3,54,18.00,1,75.0%,13.50,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,49,75%,0,0%,0,0%,False,Jeremy Maclin
2016,2016-09-11,1,1,28.123,KAN,,SDG,W 33-27,True,7,5,63,12.60,1,71.4%,9.00,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Jeremy Maclin
2016,2016-09-18,2,2,28.130,KAN,@,HOU,L 12-19,True,15,6,68,11.33,0,40.0%,4.53,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,True,Jeremy Maclin
2016,2016-09-25,3,3,28.137,KAN,,NYJ,W 24-3,True,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,False,Jeremy Maclin
