Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,22.229,MIA,@,SEA,L 10-12,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,13,52%,True,Kenyan Drake
2016,2016-09-18,2,2,22.236,MIA,@,NWE,L 24-31,False,2,12,6.00,1,2,2,6,3.00,0,100.0%,3.00,1,15,15.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,17,61%,True,Kenyan Drake
2016,2016-09-25,3,3,22.243,MIA,,CLE,W 30-24,True,9,37,4.11,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,40%,0,0%,21,62%,False,Kenyan Drake
2016,2016-09-29,4,4,22.247,MIA,@,CIN,L 7-22,False,2,15,7.50,0,0,0,0,,0,0.0%,,1,17,17.00,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,16%,0,0%,21,75%,True,Kenyan Drake
2016,2016-10-09,5,5,22.257,MIA,,TEN,L 17-30,False,2,4,2.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,16%,0,0%,19,66%,False,Kenyan Drake
2016,2016-10-16,6,6,22.264,MIA,,PIT,W 30-15,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,1%,0,0%,13,50%,False,Kenyan Drake
2016,2016-10-23,7,7,22.271,MIA,,BUF,W 28-25,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,23,72%,False,Kenyan Drake
2016,2016-11-06,8,9,22.285,MIA,,NYJ,W 27-23,False,0,0,,0,1,1,6,6.00,0,100.0%,6.00,2,123,61.50,1,,1,6,0.0,0,1,1,0,0,0,0,0,0,0,0,3,5%,0,0%,18,56%,False,Kenyan Drake
2016,2016-11-13,9,10,22.292,MIA,@,SDG,W 31-24,False,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,4%,0,0%,14,48%,True,Kenyan Drake
2016,2016-11-20,10,11,22.299,MIA,@,LAR,W 14-10,False,1,2,2.00,0,0,0,0,,0,0.0%,,1,18,18.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,7,24%,True,Kenyan Drake
2016,2016-11-27,11,12,22.306,MIA,,SFO,W 31-24,False,1,9,9.00,0,0,0,0,,0,0.0%,,3,99,33.00,0,,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,3,5%,0,0%,15,52%,False,Kenyan Drake
2016,2016-12-04,12,13,22.313,MIA,@,BAL,L 6-38,False,1,1,1.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,9,38%,True,Kenyan Drake
