Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,21.121,NWE,CIN,W 38-24,True,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,38,24
2010.0,2010-09-19,2.0,2.0,21.128,NWE,NYJ,L 14-28,False,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,False,14,28
2010.0,2010-09-26,3.0,3.0,21.135,NWE,BUF,W 38-30,False,3,3,43,14.33,1,100.0%,14.33,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,38,30
2010.0,2010-10-04,4.0,4.0,21.143,NWE,MIA,W 41-14,True,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,41,14
2010.0,2010-10-17,5.0,6.0,21.156,NWE,BAL,W 23-20,True,1,1,24,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,23,20
2010.0,2010-10-24,6.0,7.0,21.163,NWE,SDG,W 23-20,True,2,2,10,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,23,20
2010.0,2010-10-31,7.0,8.0,21.17,NWE,MIN,W 28-18,False,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,28,18
2010.0,2010-11-07,8.0,9.0,21.177,NWE,CLE,L 14-34,True,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,,0,,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,Rob Gronkowski,False,14,34
2010.0,2010-11-14,9.0,10.0,21.184,NWE,PIT,W 39-26,True,5,5,72,14.40,3,100.0%,14.40,0,0,,0,0,0,,0,,3,18,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,39,26
2010.0,2010-11-21,10.0,11.0,21.191,NWE,IND,W 31-28,True,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,31,28
2010.0,2010-11-25,11.0,12.0,21.195,NWE,DET,W 45-24,True,5,5,65,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,45,24
2010.0,2010-12-06,12.0,13.0,21.206,NWE,NYJ,W 45-3,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,45,3
2010.0,2010-12-12,13.0,14.0,21.212,NWE,CHI,W 36-7,False,6,5,43,8.60,1,83.3%,7.17,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,36,7
2010.0,2010-12-19,14.0,15.0,21.219,NWE,GNB,W 31-27,True,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,31,27
2010.0,2010-12-26,15.0,16.0,21.226,NWE,BUF,W 34-3,True,7,4,54,13.50,2,57.1%,7.71,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,34,3
2010.0,2011-01-02,16.0,17.0,21.233,NWE,MIA,W 38-7,True,10,6,102,17.00,1,60.0%,10.20,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,38,7
2011.0,2011-09-12,1.0,1.0,22.121,NWE,MIA,W 38-24,True,7,6,86,14.33,1,85.7%,12.29,0,0,,0,1,11,11.00,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,38,24
2011.0,2011-09-18,2.0,2.0,22.127,NWE,SDG,W 35-21,True,6,4,86,21.50,2,66.7%,14.33,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,35,21
2011.0,2011-09-25,3.0,3.0,22.134,NWE,BUF,L 31-34,True,9,7,109,15.57,2,77.8%,12.11,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,False,31,34
2011.0,2011-10-02,4.0,4.0,22.141,NWE,OAK,W 31-19,True,5,1,15,15.00,0,20.0%,3.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,31,19
2011.0,2011-10-09,5.0,5.0,22.148,NWE,NYJ,W 30-21,True,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,30,21
2011.0,2011-10-16,6.0,6.0,22.155,NWE,DAL,W 20-16,True,7,7,74,10.57,0,100.0%,10.57,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,20,16
2011.0,2011-10-30,7.0,8.0,22.169,NWE,PIT,L 17-25,True,9,7,94,13.43,0,77.8%,10.44,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,False,17,25
2011.0,2011-11-06,8.0,9.0,22.176,NWE,NYG,L 20-24,True,15,8,101,12.63,1,53.3%,6.73,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,False,20,24
2011.0,2011-11-13,9.0,10.0,22.183,NWE,NYJ,W 37-16,True,11,8,113,14.13,2,72.7%,10.27,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,37,16
2011.0,2011-11-21,10.0,11.0,22.191,NWE,KAN,W 34-3,True,7,4,96,24.00,2,57.1%,13.71,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,34,3
2011.0,2011-11-27,11.0,12.0,22.197,NWE,PHI,W 38-20,True,4,4,59,14.75,1,100.0%,14.75,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,38,20
2011.0,2011-12-04,12.0,13.0,22.204,NWE,IND,W 31-24,True,6,5,64,12.80,2,83.3%,10.67,1,2,2.00,1,0,0,,0,,3,18,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,31,24
2011.0,2011-12-11,13.0,14.0,22.211,NWE,WAS,W 34-27,True,10,6,160,26.67,2,60.0%,16.00,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,34,27
2011.0,2011-12-18,14.0,15.0,22.218,NWE,DEN,W 41-23,True,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Rob Gronkowski,True,41,23
2011.0,2011-12-24,15.0,16.0,22.224,NWE,MIA,W 27-24,True,9,7,78,11.14,0,77.8%,8.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,27,24
2011.0,2012-01-01,16.0,17.0,22.232,NWE,BUF,W 49-21,True,10,8,108,13.50,2,80.0%,10.80,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,Rob Gronkowski,True,49,21
2012.0,2012-09-09,1.0,1.0,23.118,NWE,TEN,W 34-13,True,6,6,60,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,66,99%,0,0%,10,36%,True,Rob Gronkowski,True,34,13
2012.0,2012-09-16,2.0,2.0,23.125,NWE,ARI,L 18-20,True,9,6,75,12.50,1,66.7%,8.33,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,79,99%,0,0%,10,31%,False,Rob Gronkowski,False,18,20
2012.0,2012-09-23,3.0,3.0,23.132,NWE,BAL,L 30-31,True,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,6,19%,True,Rob Gronkowski,False,30,31
2012.0,2012-09-30,4.0,4.0,23.139,NWE,BUF,W 52-28,True,11,5,104,20.80,1,45.5%,9.45,0,0,,0,0,0,,0,,1,6,0,0,0,0,1,1,0,0,0,0,68,88%,0,0%,11,31%,True,Rob Gronkowski,True,52,28
2012.0,2012-10-07,5.0,5.0,23.146,NWE,DEN,W 31-21,True,5,4,35,8.75,0,80.0%,7.00,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,0,0,0,0,95,100%,0,0%,6,25%,False,Rob Gronkowski,True,31,21
2012.0,2012-10-14,6.0,6.0,23.153,NWE,SEA,L 23-24,True,8,6,61,10.17,0,75.0%,7.63,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,69,80%,0,0%,5,18%,True,Rob Gronkowski,False,23,24
2012.0,2012-10-21,7.0,7.0,23.16,NWE,NYJ,W 29-26,True,9,6,78,13.00,2,66.7%,8.67,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,76,96%,0,0%,5,14%,False,Rob Gronkowski,True,29,26
2012.0,2012-10-28,8.0,8.0,23.167,NWE,STL,W 45-7,True,13,8,146,18.25,2,61.5%,11.23,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,54,76%,0,0%,7,26%,True,Rob Gronkowski,True,45,7
2012.0,2012-11-11,9.0,10.0,23.181,NWE,BUF,W 37-31,True,4,3,31,10.33,1,75.0%,7.75,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,70,97%,0,0%,7,23%,False,Rob Gronkowski,True,37,31
2012.0,2012-11-18,10.0,11.0,23.188,NWE,IND,W 59-24,True,7,7,137,19.57,2,100.0%,19.57,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,50,82%,0,0%,11,31%,False,Rob Gronkowski,True,59,24
2012.0,2012-11-22,11.0,12.0,,NWE,NYJ,W 49-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,True,49,19
2012.0,2012-12-02,12.0,13.0,,NWE,MIA,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,True,23,16
2012.0,2012-12-10,13.0,14.0,,NWE,HOU,W 42-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rob Gronkowski,True,42,14
2012.0,2012-12-16,14.0,15.0,,NWE,SFO,L 34-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rob Gronkowski,False,34,41
2012.0,2012-12-23,15.0,16.0,,NWE,JAX,W 23-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,True,23,16
2012.0,2012-12-30,16.0,17.0,23.23,NWE,MIA,W 28-0,True,4,2,42,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,24,31%,0,0%,0,0%,False,Rob Gronkowski,True,28,0
2013.0,2013-09-08,1.0,1.0,,NWE,BUF,W 23-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,True,23,21
2013.0,2013-09-12,2.0,2.0,,NWE,NYJ,W 13-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rob Gronkowski,True,13,10
2013.0,2013-09-22,3.0,3.0,,NWE,TAM,W 23-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rob Gronkowski,True,23,3
2013.0,2013-09-29,4.0,4.0,,NWE,ATL,W 30-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,True,30,23
2013.0,2013-10-06,5.0,5.0,,NWE,CIN,L 6-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Rob Gronkowski,False,6,13
2013.0,2013-10-13,6.0,6.0,,NWE,NOR,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Rob Gronkowski,True,30,27
2013.0,2013-10-20,7.0,7.0,24.159,NWE,NYJ,L 27-30,True,17,8,114,14.25,0,47.1%,6.71,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,64%,0,0%,0,0%,True,Rob Gronkowski,False,27,30
2013.0,2013-10-27,8.0,8.0,24.166,NWE,MIA,W 27-17,False,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,50%,0,0%,0,0%,False,Rob Gronkowski,True,27,17
2013.0,2013-11-03,9.0,9.0,24.173,NWE,PIT,W 55-31,True,10,9,143,15.89,1,90.0%,14.30,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,49,64%,0,0%,1,3%,False,Rob Gronkowski,True,55,31
2013.0,2013-11-18,10.0,11.0,24.188,NWE,CAR,L 20-24,True,7,5,59,11.80,1,71.4%,8.43,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,63,88%,0,0%,0,0%,True,Rob Gronkowski,False,20,24
2013.0,2013-11-24,11.0,12.0,24.194,NWE,DEN,W 34-31,True,10,7,90,12.86,1,70.0%,9.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,87,100%,0,0%,0,0%,False,Rob Gronkowski,True,34,31
2013.0,2013-12-01,12.0,13.0,24.201,NWE,HOU,W 34-31,True,12,6,127,21.17,1,50.0%,10.58,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,63,90%,0,0%,0,0%,True,Rob Gronkowski,True,34,31
