Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-08,1.0,1.0,24.129,NWE,BUF,W 23-21,False,14,101,7.21,0,10,7,58,8.29,0,70.0%,5.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,60%,0,0%,11,33%,True,Shane Vereen,True,23,21
2013.0,2013-09-12,2.0,2.0,,NWE,NYJ,W 13-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Shane Vereen,True,13,10
2013.0,2013-09-22,3.0,3.0,,NWE,TAM,W 23-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Shane Vereen,True,23,3
2013.0,2013-09-29,4.0,4.0,,NWE,ATL,W 30-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Shane Vereen,True,30,23
2013.0,2013-10-06,5.0,5.0,,NWE,CIN,L 6-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Shane Vereen,False,6,13
2013.0,2013-10-13,6.0,6.0,,NWE,NOR,W 30-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Shane Vereen,True,30,27
2013.0,2013-10-20,7.0,7.0,,NWE,NYJ,L 27-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Shane Vereen,False,27,30
2013.0,2013-10-27,8.0,8.0,,NWE,MIA,W 27-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Shane Vereen,True,27,17
2013.0,2013-11-03,9.0,9.0,,NWE,PIT,W 55-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Shane Vereen,True,55,31
2013.0,2013-11-18,10.0,11.0,24.2,NWE,CAR,L 20-24,False,1,7,7.00,0,11,8,65,8.13,0,72.7%,5.91,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,47%,0,0%,3,14%,True,Shane Vereen,False,20,24
2013.0,2013-11-24,11.0,12.0,24.206,NWE,DEN,W 34-31,False,10,31,3.10,0,11,8,60,7.50,0,72.7%,5.45,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,53%,0,0%,6,15%,False,Shane Vereen,True,34,31
2013.0,2013-12-01,12.0,13.0,24.213,NWE,HOU,W 34-31,True,10,38,3.80,0,6,5,37,7.40,1,83.3%,6.17,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,59%,0,0%,0,0%,True,Shane Vereen,True,34,31
2013.0,2013-12-08,13.0,14.0,24.22,NWE,CLE,W 27-26,False,3,9,3.00,1,17,12,153,12.75,0,70.6%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,54%,0,0%,3,10%,False,Shane Vereen,True,27,26
2013.0,2013-12-15,14.0,15.0,24.227,NWE,MIA,L 20-24,False,2,13,6.50,0,7,3,8,2.67,0,42.9%,1.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,59%,0,0%,5,19%,True,Shane Vereen,False,20,24
2013.0,2013-12-22,15.0,16.0,24.234,NWE,BAL,W 41-7,False,2,6,3.00,0,2,1,4,4.00,1,50.0%,2.00,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,7,10%,0,0%,1,3%,True,Shane Vereen,True,41,7
2013.0,2013-12-29,16.0,17.0,24.241,NWE,BUF,W 34-20,False,2,3,1.50,0,5,3,42,14.00,1,60.0%,8.40,0,0,,0,0,0,,0,0,,,2,44,22.00,0,1,6,0.0,0,0,0,,,1,0,0,0,0,0,19,25%,0,0%,2,7%,False,Shane Vereen,True,34,20
2014.0,2014-09-07,1.0,1.0,25.128,NWE,MIA,L 20-33,False,7,36,5.14,1,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,71%,0,0%,0,0%,True,Shane Vereen,False,20,33
2014.0,2014-09-14,2.0,2.0,25.135,NWE,MIN,W 30-7,False,6,40,6.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,29%,0,0%,0,0%,True,Shane Vereen,True,30,7
2014.0,2014-09-21,3.0,3.0,25.142,NWE,OAK,W 16-9,False,7,20,2.86,0,6,4,17,4.25,0,66.7%,2.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,0,0%,False,Shane Vereen,True,16,9
2014.0,2014-09-29,4.0,4.0,25.15,NWE,KAN,L 14-41,True,8,26,3.25,0,5,5,41,8.20,0,100.0%,8.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,58%,0,0%,0,0%,True,Shane Vereen,False,14,41
2014.0,2014-10-05,5.0,5.0,25.156,NWE,CIN,W 43-17,False,9,90,10.00,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,40%,0,0%,0,0%,False,Shane Vereen,True,43,17
2014.0,2014-10-12,6.0,6.0,25.163,NWE,BUF,W 37-22,False,5,4,0.80,0,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,51%,0,0%,0,0%,True,Shane Vereen,True,37,22
2014.0,2014-10-16,7.0,7.0,25.167,NWE,NYJ,W 27-25,True,11,43,3.91,0,8,5,71,14.20,2,62.5%,8.88,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,46,81%,0,0%,0,0%,False,Shane Vereen,True,27,25
2014.0,2014-10-26,8.0,8.0,25.177,NWE,CHI,W 51-23,True,5,22,4.40,0,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,43%,0,0%,0,0%,False,Shane Vereen,True,51,23
