Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,23.311,DET,,ARI,W 35-23,False,7,4,69,17.25,2,57.1%,9.86,0,0,,0,2,12,0,0,0,0,0,0,44,62%,0,0%,1,3%,False,Kenny Golladay
2017,2017-09-18,2,2,23.319,DET,@,NYG,W 24-10,False,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0,0,0,0,0,0,33,53%,0,0%,0,0%,True,Kenny Golladay
2017,2017-09-24,3,3,23.325,DET,,ATL,L 26-30,False,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,45,64%,0,0%,0,0%,False,Kenny Golladay
2017,2017-10-01,4,4,,DET,@,MIN,W 14-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2017,2017-10-08,5,5,,DET,,CAR,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2017,2017-10-15,6,6,,DET,@,NOR,L 38-52,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2017,2017-10-29,7,8,,DET,,PIT,L 15-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kenny Golladay
2017,2017-11-06,8,9,,DET,@,GNB,W 30-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kenny Golladay
2017,2017-11-12,9,10,24.009,DET,,CLE,W 38-24,False,3,2,64,32.00,0,66.7%,21.33,0,0,,0,0,0,0,0,0,0,0,0,11,21%,0,0%,0,0%,False,Kenny Golladay
2017,2017-11-19,10,11,24.016,DET,@,CHI,W 27-24,False,3,2,52,26.00,0,66.7%,17.33,0,0,,0,0,0,0,0,0,0,0,0,35,56%,0,0%,0,0%,True,Kenny Golladay
2017,2017-11-23,11,12,24.020,DET,,MIN,L 23-30,False,4,2,61,30.50,0,50.0%,15.25,0,0,,0,0,0,0,0,0,0,0,0,40,68%,0,0%,0,0%,False,Kenny Golladay
2017,2017-12-03,12,13,24.030,DET,@,BAL,L 20-44,True,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0,0,0,0,0,0,0,48,76%,0,0%,0,0%,True,Kenny Golladay
2017,2017-12-10,13,14,24.037,DET,@,TAM,W 24-21,True,4,3,17,5.67,0,75.0%,4.25,1,9,9.00,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,True,Kenny Golladay
2017,2017-12-16,14,15,24.043,DET,,CHI,W 20-10,True,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,Kenny Golladay
2017,2017-12-24,15,16,24.051,DET,@,CIN,L 17-26,True,8,4,28,7.00,0,50.0%,3.50,0,0,,0,0,0,0,0,0,0,0,0,58,95%,0,0%,0,0%,True,Kenny Golladay
2017,2017-12-31,16,17,24.058,DET,,GNB,W 35-11,True,3,2,80,40.00,1,66.7%,26.67,0,0,,0,1,6,0,0,0,0,0,0,51,88%,0,0%,0,0%,False,Kenny Golladay
2018,2018-09-10,1,1,24.311,DET,,NYJ,L 17-48,True,12,7,114,16.29,0,58.3%,9.50,0,0,,0,0,0,0,0,0,1,0,0,65,93%,0,0%,0,0%,False,Kenny Golladay
2018,2018-09-16,2,2,24.317,DET,@,SFO,L 27-30,True,9,6,89,14.83,1,66.7%,9.89,0,0,,0,1,6,0,0,0,0,0,0,71,92%,0,0%,0,0%,True,Kenny Golladay
2018,2018-09-23,3,3,24.324,DET,,NWE,W 26-10,True,7,6,53,8.83,1,85.7%,7.57,0,0,,0,1,6,0,0,0,0,0,0,64,88%,0,0%,0,0%,False,Kenny Golladay
2018,2018-09-30,4,4,24.331,DET,@,DAL,L 24-26,True,4,4,74,18.50,0,100.0%,18.50,0,0,,0,0,0,0,0,0,0,0,0,53,98%,0,0%,0,0%,True,Kenny Golladay
2018,2018-10-07,5,5,24.338,DET,,GNB,W 31-23,True,9,4,98,24.50,1,44.4%,10.89,0,0,,0,1,6,0,0,0,0,0,0,49,79%,0,0%,0,0%,False,Kenny Golladay
2018,2018-10-21,6,7,24.352,DET,@,MIA,W 32-21,False,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,0,0,0,0,0,0,49,77%,0,0%,0,0%,True,Kenny Golladay
2018,2018-10-28,7,8,24.359,DET,,SEA,L 14-28,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0,0,0,0,0,0,54,92%,0,0%,0,0%,False,Kenny Golladay
2018,2018-11-04,8,9,25.001,DET,@,MIN,L 9-24,True,4,3,46,15.33,0,75.0%,11.50,1,8,8.00,0,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,True,Kenny Golladay
2018,2018-11-11,9,10,25.008,DET,@,CHI,L 22-34,True,13,6,78,13.00,1,46.2%,6.00,0,0,,0,1,6,1,0,0,1,0,0,75,96%,0,0%,0,0%,True,Kenny Golladay
2018,2018-11-18,10,11,25.015,DET,,CAR,W 20-19,True,15,8,113,14.13,1,53.3%,7.53,0,0,,0,1,6,0,0,0,0,0,0,61,94%,0,0%,1,4%,False,Kenny Golladay
2018,2018-11-22,11,12,25.019,DET,,CHI,L 16-23,True,8,5,90,18.00,0,62.5%,11.25,0,0,,0,0,0,0,0,0,0,0,0,65,98%,0,0%,0,0%,False,Kenny Golladay
