Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-18,2.0,2.0,,PIT,CIN,W 24-16,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Le'Veon Bell,True,24,16
2016.0,2016-09-25,3.0,3.0,,PIT,PHI,L 3-34,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Le'Veon Bell,False,3,34
2016.0,2016-10-02,4.0,4.0,24.227,PIT,KAN,W 43-14,True,18,144,8.00,0,6,5,34,6.80,0,83.3%,5.67,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,52,88%,0,0%,2,7%,False,Le'Veon Bell,True,43,14
2016.0,2016-10-09,5.0,5.0,24.234,PIT,NYJ,W 31-13,True,20,66,3.30,0,11,9,88,9.78,0,81.8%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,73,96%,0,0%,0,0%,False,Le'Veon Bell,True,31,13
2016.0,2016-10-16,6.0,6.0,24.241,PIT,MIA,L 15-30,True,10,53,5.30,0,7,6,55,9.17,0,85.7%,7.86,0,0,,0,0,0,,0,0,,,1,0,2,0,0,0,0,0,0,53,96%,0,0%,0,0%,True,Le'Veon Bell,False,15,30
2016.0,2016-10-23,7.0,7.0,24.248,PIT,NWE,L 16-27,True,21,81,3.86,0,13,10,68,6.80,0,76.9%,5.23,0,0,,0,0,0,,0,0,,,,0,0,1,0,0,1,0,0,72,99%,0,0%,0,0%,False,Le'Veon Bell,False,16,27
2016.0,2016-11-06,8.0,9.0,24.262,PIT,BAL,L 14-21,True,14,32,2.29,0,9,6,38,6.33,0,66.7%,4.22,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,1,4,0,65,94%,0,0%,0,0%,True,Le'Veon Bell,False,14,21
2016.0,2016-11-13,9.0,10.0,24.269,PIT,DAL,L 30-35,True,17,57,3.35,1,10,9,77,8.56,1,90.0%,7.70,0,0,,0,0,0,,0,0,,,,2,12,1,0,0,0,0,0,74,100%,0,0%,0,0%,False,Le'Veon Bell,False,30,35
2016.0,2016-11-20,10.0,11.0,24.276,PIT,CLE,W 24-9,True,28,146,5.21,1,9,8,55,6.88,0,88.9%,6.11,0,0,,0,0,0,,0,0,,,,1,6,1,0,0,0,0,0,69,100%,0,0%,0,0%,True,Le'Veon Bell,True,24,9
2016.0,2016-11-24,11.0,12.0,24.28,PIT,IND,W 28-7,True,23,120,5.22,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,0,,,,1,6,0,0,0,0,0,0,47,87%,0,0%,0,0%,True,Le'Veon Bell,True,28,7
2016.0,2016-12-04,12.0,13.0,24.29,PIT,NYG,W 24-14,True,29,118,4.07,0,7,6,64,10.67,0,85.7%,9.14,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,0,0,1,1,0,0,0,0,72,99%,0,0%,1,4%,False,Le'Veon Bell,True,24,14
