Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,27.056,OAK,@,TEN,W 26-16,False,2,2,100.0,4,4,100.0,0,14,0,0%,0,0%,12,40%,True,Giorgio Tavecchio
2017,2017-09-17,2,2,27.063,OAK,,NYJ,W 45-20,False,6,6,100.0,1,1,100.0,0,9,0,0%,0,0%,15,50%,False,Giorgio Tavecchio
2017,2017-09-24,3,3,27.070,OAK,@,WAS,L 10-27,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,17%,True,Giorgio Tavecchio
2017,2017-10-01,4,4,27.077,OAK,@,DEN,L 10-16,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,18%,True,Giorgio Tavecchio
2017,2017-10-08,5,5,27.084,OAK,,BAL,L 17-30,False,2,2,100.0,1,1,100.0,0,5,0,0%,0,0%,7,26%,False,Giorgio Tavecchio
2017,2017-10-15,6,6,27.091,OAK,,LAC,L 16-17,False,1,2,50.0,1,1,100.0,0,4,0,0%,0,0%,6,27%,False,Giorgio Tavecchio
2017,2017-10-19,7,7,27.095,OAK,,KAN,W 31-30,False,4,4,100.0,1,3,33.3,0,7,0,0%,0,0%,12,38%,False,Giorgio Tavecchio
2017,2017-10-29,8,8,27.105,OAK,@,BUF,L 14-34,False,2,2,100.0,,,,0,2,0,0%,0,0%,5,19%,True,Giorgio Tavecchio
2017,2017-11-05,9,9,27.112,OAK,@,MIA,W 27-24,False,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,10,38%,True,Giorgio Tavecchio
2017,2017-11-19,10,11,27.126,OAK,,NWE,L 8-33,False,,,,,,,0,0,0,0%,0,0%,2,9%,False,Giorgio Tavecchio
2017,2017-11-26,11,12,27.133,OAK,,DEN,W 21-14,False,3,3,100.0,,1,0.0,0,3,0,0%,0,0%,8,30%,False,Giorgio Tavecchio
2017,2017-12-03,12,13,27.140,OAK,,NYG,W 24-17,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,9,32%,False,Giorgio Tavecchio
2017,2017-12-10,13,14,27.147,OAK,@,KAN,L 15-26,False,1,1,100.0,,,,0,1,0,0%,0,0%,4,15%,True,Giorgio Tavecchio
2017,2017-12-17,14,15,27.154,OAK,,DAL,L 17-20,False,2,2,100.0,1,2,50.0,0,5,0,0%,0,0%,8,33%,False,Giorgio Tavecchio
2017,2017-12-25,15,16,27.162,OAK,@,PHI,L 10-19,False,1,1,100.0,1,2,50.0,0,4,0,0%,0,0%,6,22%,True,Giorgio Tavecchio
2017,2017-12-31,16,17,27.168,OAK,@,LAC,L 10-30,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,5,23%,True,Giorgio Tavecchio
2018,2018-10-22,7,7,28.098,ATL,,NYG,W 23-20,False,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,5,20%,False,Giorgio Tavecchio
2018,2018-11-04,8,9,28.111,ATL,@,WAS,W 38-14,False,5,5,100.0,1,1,100.0,0,8,0,0%,0,0%,6,24%,True,Giorgio Tavecchio
2018,2018-11-11,9,10,28.118,ATL,@,CLE,L 16-28,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,2,9%,True,Giorgio Tavecchio
2018,2018-11-18,10,11,,ATL,,DAL,L 19-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Giorgio Tavecchio
2018,2018-11-22,11,12,,ATL,@,NOR,L 17-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Giorgio Tavecchio
2018,2018-12-02,12,13,,ATL,,BAL,L 16-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Giorgio Tavecchio
2018,2018-12-09,13,14,,ATL,@,GNB,L 20-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Giorgio Tavecchio
2018,2018-12-16,14,15,,ATL,,ARI,W 40-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Giorgio Tavecchio
2018,2018-12-23,15,16,,ATL,@,CAR,W 24-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Giorgio Tavecchio
2018,2018-12-30,16,17,,ATL,@,TAM,W 34-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Giorgio Tavecchio
,19 Games,,,,,,,8-11-0,False,41,42,97.6,21,26,80.8,0,104,,,,,,,False,Giorgio Tavecchio
