Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-10-01,3,4,24.189,SDG,BAL,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,0,,0,,,,,,,True,False,13,16,Nate Kaeding
2006,2006-10-08,4,5,24.196,SDG,PIT,False,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,True,23,13,Nate Kaeding
2006,2006-10-15,5,6,24.203,SDG,SFO,False,6,6,100.0,2,2,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,True,True,48,19,Nate Kaeding
2006,2006-10-22,6,7,24.210,SDG,KAN,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,True,False,27,30,Nate Kaeding
2006,2006-10-29,7,8,24.217,SDG,STL,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,True,38,24,Nate Kaeding
2006,2006-11-05,8,9,24.224,SDG,CLE,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,True,32,25,Nate Kaeding
2006,2006-11-12,9,10,24.231,SDG,CIN,False,7,7,100.0,,,,0,7,0.0,1,0,1,0,0,0,0,,,,,,,,,True,True,49,41,Nate Kaeding
2006,2006-11-19,10,11,24.238,SDG,DEN,False,5,5,100.0,,,,0,5,0.0,,,,,,0,0,,,,,,,,,True,True,35,27,Nate Kaeding
2006,2006-11-26,11,12,24.245,SDG,OAK,False,3,3,100.0,,,,0,3,0.0,2,0,2,0,0,0,0,,,,,,,,,False,True,21,14,Nate Kaeding
2006,2006-12-03,12,13,24.252,SDG,BUF,False,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,0,0,0,,0,,,,,,,True,True,24,21,Nate Kaeding
2006,2006-12-10,13,14,24.259,SDG,DEN,False,6,6,100.0,2,2,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,False,True,48,20,Nate Kaeding
2006,2006-12-17,14,15,24.266,SDG,KAN,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,True,20,9,Nate Kaeding
2006,2006-12-24,15,16,24.273,SDG,SEA,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,True,20,17,Nate Kaeding
