Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-10-20,7.0,7.0,24.084,JAX,CIN,W 27-17,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,253,42.17,0,0,0%,0,0%,14,45%,True,Logan Cooke,True,27,17
2019.0,2019-10-27,8.0,8.0,24.091,JAX,NYJ,W 29-15,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,153,38.25,0,0,0%,0,0%,17,65%,False,Logan Cooke,True,29,15
2019.0,2019-11-03,9.0,9.0,24.098,JAX,HOU,L 3-26,False,0,0,,0,0,0,,1,19,,,0.0,0,0,0,0,0,1,0,0,0,0,0,3,153,51.00,0,0,0%,0,0%,7,32%,False,Logan Cooke,False,3,26
2019.0,2019-11-17,10.0,11.0,24.112,JAX,IND,L 13-33,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,280,46.67,0,0,0%,0,0%,11,44%,True,Logan Cooke,False,13,33
2019.0,2019-11-24,11.0,12.0,24.119,JAX,TEN,L 20-42,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,288,48.00,0,0,0%,0,0%,11,35%,True,Logan Cooke,False,20,42
2019.0,2019-12-01,12.0,13.0,24.126,JAX,TAM,L 11-28,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,183,45.75,0,0,0%,0,0%,9,38%,False,Logan Cooke,False,11,28
2019.0,2019-12-08,13.0,14.0,24.133,JAX,LAC,L 10-45,False,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0.0,0,0,0,0,0,0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,11,39%,False,Logan Cooke,False,10,45
2019.0,2019-12-15,14.0,15.0,24.14,JAX,OAK,W 20-16,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,248,49.60,0,0,0%,0,0%,14,50%,True,Logan Cooke,True,20,16
2019.0,2019-12-22,15.0,16.0,24.147,JAX,ATL,L 12-24,False,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0.0,0,0,0,0,0,0,0,0,0,0,0,5,254,50.80,0,0,0%,0,0%,10,40%,True,Logan Cooke,False,12,24
2019.0,2019-12-29,16.0,17.0,24.154,JAX,IND,W 38-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,118,59.00,0,0,0%,0,0%,12,44%,False,Logan Cooke,True,38,20
2020.0,2020-09-13,1.0,1.0,25.047,JAX,IND,W 27-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,11,46%,False,Logan Cooke,True,27,20
2020.0,2020-09-20,2.0,2.0,25.054,JAX,TEN,L 30-33,False,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,2,80,40.00,0,1,1%,0,0%,12,43%,True,Logan Cooke,False,30,33
2020.0,2020-09-24,3.0,3.0,25.058,JAX,MIA,L 13-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,157,52.33,0,0,0%,0,0%,8,35%,False,Logan Cooke,False,13,31
2020.0,2020-10-04,4.0,4.0,25.068,JAX,CIN,L 25-33,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,88,44.00,0,0,0%,0,0%,9,29%,True,Logan Cooke,False,25,33
2020.0,2020-10-11,5.0,5.0,25.075,JAX,HOU,L 14-30,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,143,47.67,0,0,0%,0,0%,10,42%,True,Logan Cooke,False,14,30
2020.0,2020-10-18,6.0,6.0,25.082,JAX,DET,L 16-34,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,76,38.00,0,0,0%,0,0%,8,31%,False,Logan Cooke,False,16,34
2020.0,2020-10-25,7.0,7.0,25.089,JAX,LAC,L 29-39,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,227,45.40,0,0,0%,0,0%,11,37%,True,Logan Cooke,False,29,39
2020.0,2020-11-08,8.0,9.0,25.103,JAX,HOU,L 25-27,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,234,46.80,0,0,0%,0,0%,13,42%,False,Logan Cooke,False,25,27
2020.0,2020-11-15,9.0,10.0,25.11,JAX,GNB,L 20-24,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,275,45.83,0,0,0%,0,0%,16,53%,True,Logan Cooke,False,20,24
2020.0,2020-11-22,10.0,11.0,25.117,JAX,PIT,L 3-27,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,324,54.00,0,0,0%,0,0%,10,36%,False,Logan Cooke,False,3,27
2020.0,2020-11-29,11.0,12.0,25.124,JAX,CLE,L 25-27,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,137,45.67,0,0,0%,0,0%,14,54%,False,Logan Cooke,False,25,27
2020.0,2020-12-06,12.0,13.0,25.131,JAX,MIN,L 24-27,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,258,51.60,0,0,0%,0,0%,16,47%,True,Logan Cooke,False,24,27
2020.0,2020-12-13,13.0,14.0,25.138,JAX,TEN,L 10-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,0,0,0%,0,0%,7,28%,False,Logan Cooke,False,10,31
2020.0,2020-12-20,14.0,15.0,,JAX,BAL,L 14-40,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Logan Cooke,False,14,40
2020.0,2020-12-27,15.0,16.0,,JAX,CHI,L 17-41,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,False,Logan Cooke,False,17,41
2020.0,2021-01-03,16.0,17.0,25.159,JAX,IND,L 14-28,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,335,47.86,0,0,0%,0,0%,9,32%,True,Logan Cooke,False,14,28
2021.0,2021-09-12,1.0,1.0,26.046,JAX,HOU,L 21-37,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,297,49.50,0,0,0%,0,0%,10,29%,True,Logan Cooke,False,21,37
2021.0,2021-09-19,2.0,2.0,26.053,JAX,DEN,L 13-23,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,227,56.75,0,0,0%,0,0%,7,28%,False,Logan Cooke,False,13,23
2021.0,2021-09-26,3.0,3.0,26.06,JAX,ARI,L 19-31,False,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,6,289,48.17,0,0,0%,0,0%,9,31%,False,Logan Cooke,False,19,31
2021.0,2021-09-30,4.0,4.0,26.064,JAX,CIN,L 21-24,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,183,45.75,0,0,0%,0,0%,11,48%,True,Logan Cooke,False,21,24
