Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,23.122,PIT,DEN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,142,47.33,0,0,0%,0,0%,6,27%,True,False,19,31,Drew Butler
2012,2012-09-16,2,2,23.129,PIT,NYJ,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,205,41.00,0,0,0%,0,0%,10,37%,False,True,27,10,Drew Butler
2012,2012-09-23,3,3,23.136,PIT,OAK,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,108,36.00,0,0,0%,0,0%,8,29%,True,False,31,34,Drew Butler
2012,2012-10-07,4,5,23.150,PIT,PHI,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,185,46.25,0,0,0%,0,0%,10,43%,False,True,16,14,Drew Butler
2012,2012-10-11,5,6,23.154,PIT,TEN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,123,41.00,1,0,0%,0,0%,10,31%,True,False,23,26,Drew Butler
2012,2012-10-21,6,7,23.164,PIT,CIN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,94,47.00,0,0,0%,0,0%,6,23%,True,True,24,17,Drew Butler
2012,2012-10-28,7,8,23.171,PIT,WAS,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,152,50.67,0,0,0%,0,0%,8,32%,False,True,27,12,Drew Butler
2012,2012-11-04,8,9,23.178,PIT,NYG,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,165,41.25,0,0,0%,0,0%,9,32%,True,True,24,20,Drew Butler
2012,2012-11-12,9,10,23.186,PIT,KAN,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,256,42.67,0,0,0%,0,0%,10,33%,False,True,16,13,Drew Butler
2012,2012-11-18,10,11,23.192,PIT,BAL,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,8,357,44.63,0,0,0%,0,0%,10,34%,False,False,10,13,Drew Butler
2012,2012-11-25,11,12,23.199,PIT,CLE,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,275,45.83,0,0,0%,0,0%,8,27%,True,False,14,20,Drew Butler
