Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-11-17,11,11,23.243,BUF,,NYJ,W 37-14,True,20,28,71.43,245,2,0,121.9,1,0,8.75,10.18,7,9,1.29,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,EJ Manuel
2013,2013-12-01,12,13,23.257,BUF,,ATL,L 31-34,True,18,32,56.25,210,1,0,86.7,0,0,6.56,7.19,4,3,0.75,1,1,6,1,0,0,1,-5,0,63,98%,0,0%,0,0%,False,EJ Manuel
2013,2013-12-08,13,14,23.264,BUF,@,TAM,L 6-27,True,18,33,54.55,184,0,4,31.2,7,37,5.58,0.12,5,29,5.80,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,EJ Manuel
2013,2013-12-15,14,15,23.271,BUF,@,JAX,W 27-20,True,17,24,70.83,193,2,1,105.0,4,25,8.04,7.83,10,37,3.70,1,1,6,2,1,0,0,0,0,76,100%,0,0%,0,0%,True,EJ Manuel
2013,2013-12-22,15,16,,BUF,,MIA,W 19-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,EJ Manuel
2013,2013-12-29,16,17,,BUF,@,NWE,L 20-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,EJ Manuel
2014,2014-09-07,1,1,24.172,BUF,@,CHI,W 23-20,True,16,22,72.73,173,1,1,91.7,1,6,7.86,6.73,6,19,3.17,1,1,6,0,0,0,0,0,0,57,100%,0,0%,0,0%,True,EJ Manuel
2014,2014-09-14,2,2,24.179,BUF,,MIA,W 29-10,True,16,26,61.54,202,1,0,98.6,0,0,7.77,8.54,4,6,1.50,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,False,EJ Manuel
2014,2014-09-21,3,3,24.186,BUF,,SDG,L 10-22,True,23,39,58.97,238,1,0,85.2,3,33,6.10,6.62,5,24,4.80,0,0,0,1,0,0,1,0,0,70,100%,0,0%,0,0%,False,EJ Manuel
2014,2014-09-28,4,4,24.193,BUF,@,HOU,L 17-23,True,21,44,47.73,225,2,2,59.4,2,5,5.11,3.98,1,3,3.00,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,True,EJ Manuel
2014,2014-10-05,5,5,,BUF,@,DET,W 17-14,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,EJ Manuel
2014,2014-10-12,6,6,,BUF,,NWE,L 22-37,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,EJ Manuel
2014,2014-10-19,7,7,,BUF,,MIN,W 17-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,EJ Manuel
2014,2014-10-26,8,8,,BUF,@,NYJ,W 43-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,EJ Manuel
