Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-10-27,7,8,26.157,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,3,3,100.0,0,13,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,37,35,Jay Feely
2002,2002-11-03,8,9,26.164,ATL,BAL,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,17,Jay Feely
2002,2002-11-10,9,10,26.171,ATL,PIT,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,34,34,Jay Feely
2002,2002-11-17,10,11,26.178,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Jay Feely
2002,2002-11-24,11,12,26.185,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,5,6,83.3,,1,0.0,0,5,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,41,0,Jay Feely
2002,2002-12-01,12,13,26.192,ATL,MIN,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,30,24,Jay Feely
2002,2002-12-08,13,14,26.199,ATL,TAM,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,34,Jay Feely
2002,2002-12-15,14,15,26.206,ATL,SEA,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,24,30,Jay Feely
2002,2002-12-22,15,16,26.213,ATL,DET,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,5,5,100.0,0,18,0.0,1,0,1,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,36,15,Jay Feely
2002,2002-12-29,16,17,26.220,ATL,CLE,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,16,24,Jay Feely
2003,2003-09-07,1,1,27.107,ATL,DAL,False,0,0,,0,0,0,0,,0,0.0%,,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,13,Jay Feely
2003,2003-09-14,2,2,27.114,ATL,WAS,False,0,0,,0,0,0,0,,0,0.0%,,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,31,33,Jay Feely
2003,2003-09-21,3,3,27.121,ATL,TAM,False,0,0,,0,0,0,0,,0,0.0%,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,31,Jay Feely
2003,2003-09-28,4,4,27.128,ATL,CAR,False,0,0,,0,0,0,0,,0,0.0%,,,,,1,2,50.0,0,3,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,23,Jay Feely
2003,2003-10-05,5,5,27.135,ATL,MIN,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,26,39,Jay Feely
2003,2003-10-13,6,6,27.143,ATL,STL,False,0,0,,0,0,0,0,,0,0.0%,,,,,,1,0.0,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,0,36,Jay Feely
2003,2003-10-19,7,7,27.149,ATL,NOR,False,0,0,,0,0,0,0,,0,0.0%,,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,17,45,Jay Feely
